file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\PicassoFragment.java,com.makeramen.roundedimageview.example.PicassoFragment$PicassoItem,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,8,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\ExampleActivity.java,com.makeramen.roundedimageview.example.ExampleActivity,class,11,11,0,11,10,2,0,13,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,1,0,0,0,7,8,0,3,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\roundedimageview\src\main\java\com\makeramen\roundedimageview\RoundedTransformationBuilder.java,com.makeramen.roundedimageview.RoundedTransformationBuilder,class,8,10,2,8,12,1,0,6,48,0.8333333,0.0,0.0,12,0,12,0,0,0,12,0,0,0,6,0,0,6,0,0,1,0,0,67,11,0,0,0,0,0,5,17,0,6,0,1,0,0,51,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\ColorFragment.java,com.makeramen.roundedimageview.example.ColorFragment$ColorItem,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,4,4,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,13,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\PicassoFragment.java,com.makeramen.roundedimageview.example.PicassoFragment$PicassoAdapter,innerclass,11,11,0,11,3,2,0,18,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,24,1,0,1,0,2,0,3,6,0,5,1,0,0,0,24,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\roundedimageview\src\main\java\com\makeramen\roundedimageview\RoundedDrawable.java,com.makeramen.roundedimageview.RoundedDrawable,class,21,24,3,21,111,2,0,72,720,0.9163222,0.0,0.0,44,6,36,6,2,0,38,0,0,0,22,2,2,20,0,0,14,0,12,461,47,4,21,1,15,6,64,82,72,53,3,0,0,0,129,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\RoundedFragment.java,com.makeramen.roundedimageview.example.RoundedFragment$ExampleType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\roundedimageview\src\main\java\com\makeramen\roundedimageview\RoundedTransformationBuilder.java,com.makeramen.roundedimageview.RoundedTransformationBuilder$Anonymous1,anonymous,2,2,0,2,3,1,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,4,4,1,1,1,1,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\example\src\main\java\com\makeramen\roundedimageview\example\ColorFragment.java,com.makeramen.roundedimageview.example.ColorFragment,class,9,10,1,9,1,3,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,1,14,0,2,0,2,0,0,2,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RoundedImageView\roundedimageview\src\main\java\com\makeramen\roundedimageview\RoundedImageView.java,com.makeramen.roundedimageview.RoundedImageView,class,21,23,2,21,101,2,0,49,838,0.9407406,0.0,0.0,45,1,37,7,1,0,38,0,0,0,24,9,4,20,0,0,10,0,10,382,27,4,26,2,4,4,31,85,2,44,2,0,0,0,162,1,0
