file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\EasyHttp.java,com.zhouyou.http.EasyHttp$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\constant\ComParamContact.java,com.zhouyou.http.demo.constant.ComParamContact$Token,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,0,15,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\EasyHttp.java,com.zhouyou.http.EasyHttp$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\EasyHttp.java,com.zhouyou.http.EasyHttp$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\EasyHttp.java,com.zhouyou.http.EasyHttp$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\utils\RxUtil.java,com.zhouyou.http.utils.RxUtil$Anonymous4$Anonymous6,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\utils\RxUtil.java,com.zhouyou.http.utils.RxUtil$Anonymous4$Anonymous5,anonymous,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cache\stategy\CacheAndRemoteDistinctStrategy.java,com.zhouyou.http.cache.stategy.CacheAndRemoteDistinctStrategy,class,7,7,0,7,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,2,0,2,0,2,0,0,14,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\PutRequest.java,com.zhouyou.http.request.PutRequest,class,22,25,3,22,16,3,0,25,28,0.0,0.0,0.0,8,0,6,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,4,66,12,0,6,0,0,5,0,3,0,3,1,6,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\constant\AppConstant.java,com.zhouyou.http.demo.constant.AppConstant,class,2,2,0,2,1,1,0,3,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,13,0,0,0,0,0,7,0,6,1,6,0,1,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\interceptor\GzipRequestInterceptor.java,com.zhouyou.http.interceptor.GzipRequestInterceptor,class,7,8,1,7,4,1,0,8,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,3,0,2,0,0,3,0,2,0,2,1,1,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\DeleteRequest.java,com.zhouyou.http.request.DeleteRequest$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\DeleteRequest.java,com.zhouyou.http.request.DeleteRequest$Anonymous2,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\DeleteRequest.java,com.zhouyou.http.request.DeleteRequest$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\func\ApiResultFunc.java,com.zhouyou.http.func.ApiResultFunc,class,10,16,6,10,19,1,0,29,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,104,3,0,4,2,2,12,6,18,0,15,5,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cache\stategy\CacheAndRemoteStrategy.java,com.zhouyou.http.cache.stategy.CacheAndRemoteStrategy,class,6,6,0,6,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,2,0,2,0,1,0,0,13,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\model\SkinTestResult.java,com.zhouyou.http.demo.model.SkinTestResult$SkinTypeListBean$TestResultBean,innerclass,0,0,0,0,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,9,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\constant\ComParamContact.java,com.zhouyou.http.demo.constant.ComParamContact$Login,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,5,0,0,0,0,0,3,0,3,0,3,0,0,0,0,15,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\customapi\test4\GwclBean.java,com.zhouyou.http.demo.customapi.test4.GwclBean,class,1,4,3,1,121,1,0,0,6900,0.97520727,0.0,0.0,121,0,121,0,0,0,121,0,0,0,60,0,0,60,0,0,0,0,0,485,121,0,0,0,0,61,0,60,2,60,0,0,0,0,130,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\api\ApiService.java,com.zhouyou.http.api.ApiService,interface,19,25,6,19,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\callback\CallBackProxy.java,com.zhouyou.http.callback.CallBackProxy,class,8,16,8,8,9,1,0,11,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,6,34,2,0,2,0,1,0,5,11,0,6,2,0,0,0,14,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\interceptor\CacheInterceptor.java,com.zhouyou.http.interceptor.CacheInterceptor,class,7,9,2,7,10,1,1,10,0,0.55,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,2,0,0,5,0,2,0,3,29,2,0,0,0,0,13,5,7,3,7,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\transformer\HandleErrTransformer.java,com.zhouyou.http.transformer.HandleErrTransformer,class,6,8,2,6,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\interceptor\MyTokenInterceptor.java,com.zhouyou.http.demo.interceptor.MyTokenInterceptor,class,20,23,3,20,61,2,0,67,101,0.8666667,0.0,0.0,15,0,3,12,0,0,3,0,0,0,2,0,0,1,0,1,0,0,17,246,22,6,15,1,0,12,15,61,6,47,4,3,0,0,89,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cache\RxCache.java,com.zhouyou.http.cache.RxCache,class,15,36,21,15,20,1,0,9,155,0.8947368,0.0,0.0,19,0,17,2,0,0,17,0,0,0,8,0,0,8,0,0,8,0,1,239,17,0,0,1,0,5,1,10,2,10,1,6,2,0,50,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\callback\CallBack.java,com.zhouyou.http.callback.CallBack,class,4,22,18,4,6,1,0,3,15,0.0,0.0,0.0,6,0,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\interceptor\GzipRequestInterceptor.java,com.zhouyou.http.interceptor.GzipRequestInterceptor$Anonymous1,anonymous,3,3,0,3,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,1,0,1,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SearchActivity.java,com.zhouyou.http.demo.SearchActivity$Anonymous2$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\utils\Utils.java,com.zhouyou.http.utils.Utils,class,7,26,19,7,45,1,0,27,153,0.0,0.0,0.0,18,18,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,153,31,1,7,1,15,9,15,17,0,15,3,0,0,0,78,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cache\core\LruDiskCache.java,com.zhouyou.http.cache.core.LruDiskCache,class,6,9,3,6,28,2,0,19,0,0.375,0.0,0.0,8,0,1,1,6,0,7,0,0,0,2,0,0,2,0,0,0,0,4,114,20,0,10,6,0,2,6,12,3,11,2,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cache\core\MemoryCache.java,com.zhouyou.http.cache.core.MemoryCache,class,2,2,0,2,6,2,0,0,15,0.0,0.0,0.0,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous12,anonymous,8,8,0,8,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,7,0,0,0,0,0,1,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous14,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous15,anonymous,5,5,0,5,4,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous16,anonymous,8,8,0,8,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,7,0,0,0,0,0,1,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\callback\ProgressDialogCallBack.java,com.zhouyou.http.callback.ProgressDialogCallBack,class,9,16,7,9,21,2,0,11,27,0.725,0.0,0.0,10,0,7,3,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,66,4,0,5,0,0,0,0,6,0,4,2,1,0,0,29,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous18,anonymous,4,4,0,4,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\Api\LoginService.java,com.zhouyou.http.demo.Api.LoginService,interface,7,8,1,7,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\MApplication.java,com.zhouyou.http.demo.MApplication,class,9,11,2,9,3,2,0,23,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,3,30,2,0,1,0,0,4,13,5,4,4,1,0,1,0,25,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\body\UIProgressResponseCallBack.java,com.zhouyou.http.body.UIProgressResponseCallBack,class,5,7,2,5,2,2,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,2,1,0,2,0,0,2,0,0,66,0,0,0,0,0,0,1,5,0,3,0,0,2,0,40,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\callback\CallClazzProxy.java,com.zhouyou.http.callback.CallClazzProxy,class,6,20,14,6,6,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,23,2,0,2,0,1,0,0,6,0,3,1,0,0,0,12,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\DownloadRequest.java,com.zhouyou.http.request.DownloadRequest,class,13,16,3,13,5,2,0,6,0,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,0,0,0,31,4,0,0,0,0,2,0,2,0,2,0,1,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\DownloadActivity.java,com.zhouyou.http.demo.DownloadActivity$Anonymous2,anonymous,3,3,0,3,5,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,1,3,1,1,4,1,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\DownloadActivity.java,com.zhouyou.http.demo.DownloadActivity$Anonymous1,anonymous,3,3,0,3,5,1,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,1,5,1,1,6,1,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous10,anonymous,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\SceneActivity.java,com.zhouyou.http.demo.SceneActivity$Anonymous11,anonymous,3,3,0,3,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\utils\ACache.java,com.zhouyou.http.demo.utils.ACache$ACacheManager$Anonymous1,anonymous,1,1,0,1,3,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,1,0,0,0,3,5,0,3,2,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\cookie\PersistentCookieStore.java,com.zhouyou.http.cookie.PersistentCookieStore,class,8,10,2,8,34,1,0,43,24,0.6666667,0.0,0.0,12,0,7,0,5,0,12,0,0,0,3,1,0,3,0,0,3,0,6,141,12,6,4,2,3,8,12,32,10,28,5,0,0,0,79,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\CustomRequest.java,com.zhouyou.http.request.CustomRequest$Anonymous2,anonymous,6,6,0,6,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\request\CustomRequest.java,com.zhouyou.http.request.CustomRequest$Anonymous3,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\rxeasyhttp\src\main\java\com\zhouyou\http\subsciber\ProgressSubscriber.java,com.zhouyou.http.subsciber.ProgressSubscriber$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxEasyHttp\app\src\main\java\com\zhouyou\http\demo\utils\MD5.java,com.zhouyou.http.demo.utils.MD5,class,4,9,5,4,16,1,0,17,0,0.5,0.0,0.0,4,4,4,0,0,0,5,0,0,0,2,2,0,2,0,0,1,0,10,76,10,3,2,3,1,10,10,21,6,18,2,0,0,0,50,1,0
