file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\TakeUntilExampleActivity.java,com.rxjava2.android.samples.ui.operators.TakeUntilExampleActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\TakeUntilExampleActivity.java,com.rxjava2.android.samples.ui.operators.TakeUntilExampleActivity$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\DisposableExampleActivity.java,com.rxjava2.android.samples.ui.operators.DisposableExampleActivity$Anonymous3,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\FlowableExampleActivity.java,com.rxjava2.android.samples.ui.operators.FlowableExampleActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\DisposableExampleActivity.java,com.rxjava2.android.samples.ui.operators.DisposableExampleActivity$Anonymous2,anonymous,0,0,0,0,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,6,0,0,4,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\DisposableExampleActivity.java,com.rxjava2.android.samples.ui.operators.DisposableExampleActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\FlowableExampleActivity.java,com.rxjava2.android.samples.ui.operators.FlowableExampleActivity$Anonymous3,anonymous,1,1,0,1,3,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,5,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\PublishSubjectExampleActivity.java,com.rxjava2.android.samples.ui.operators.PublishSubjectExampleActivity$Anonymous3,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,0,6,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\ReplaySubjectExampleActivity.java,com.rxjava2.android.samples.ui.operators.ReplaySubjectExampleActivity$Anonymous3,anonymous,1,1,0,1,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,0,6,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\RxJava2-Android-Samples\app\src\main\java\com\rxjava2\android\samples\ui\operators\FlowableExampleActivity.java,com.rxjava2.android.samples.ui.operators.FlowableExampleActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,-1,0
