file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"onMeasure/2[int,int]",false,137,2,0,0,0,2,2,12,0,1,2,2,0,0,0,1,0,1,0,10,11,0,1,0,0,0,12,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,getSettings/0,false,183,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,expand/0,false,199,1,2,1,1,1,3,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,updateCurrentWidth/1[float],false,292,1,4,1,3,3,3,13,0,2,1,3,0,0,0,0,0,2,0,0,5,5,1,0,0,0,15,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"ScalingLayout/2[iammert.com.view.scalinglib.Context,iammert.com.view.scalinglib.AttributeSet]",true,90,5,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,collapse/0,false,207,1,2,1,1,1,3,4,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,setProgress/1[float],false,219,2,3,1,2,3,2,6,1,0,1,2,1,4,0,0,0,0,0,2,0,2,1,0,0,0,15,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,updateCurrentMargins/1[float],false,309,1,2,1,1,1,1,6,0,0,1,1,0,0,0,0,0,0,0,8,4,8,0,0,0,0,12,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,ScalingLayout/1[iammert.com.view.scalinglib.Context],true,85,3,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,updateCurrentElevation/0,false,332,2,3,1,2,4,6,11,0,0,0,6,1,1,0,0,1,0,0,1,0,0,2,0,0,0,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,getState/0,false,192,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"ScalingLayout/4[iammert.com.view.scalinglib.Context,iammert.com.view.scalinglib.AttributeSet,int,int]",true,101,6,1,0,1,1,1,4,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,setListener/1[iammert.com.view.scalinglib.ScalingLayoutListener],false,226,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"updateViewOutline/3[int,int,float]",false,237,1,4,1,3,4,6,13,0,0,3,6,0,0,0,0,1,0,0,1,0,0,2,0,0,0,16,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,updateState/1[float],false,321,2,3,1,2,3,2,12,0,0,1,2,1,1,0,2,0,0,0,1,3,0,1,0,0,0,9,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"init/2[iammert.com.view.scalinglib.Context,iammert.com.view.scalinglib.AttributeSet]",false,112,8,6,4,2,1,7,19,0,0,2,7,0,0,0,0,0,0,0,7,7,0,0,1,0,0,34,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,dispatchDraw/1[iammert.com.view.scalinglib.Canvas],false,168,1,0,0,0,1,6,8,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,setRadius/1[float],false,258,2,7,2,5,2,8,13,1,0,1,8,5,3,0,0,0,1,0,5,1,0,1,0,0,0,29,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,getOutlineProvider/0,false,360,3,1,1,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,notifyListener/0,false,346,2,5,1,4,4,4,13,0,0,0,4,0,0,0,3,0,0,0,0,0,1,2,0,0,0,12,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"onSizeChanged/4[int,int,int,int]",false,151,3,5,0,5,3,7,14,0,0,4,7,1,1,0,0,0,0,0,2,3,0,2,0,0,0,16,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,updateCurrentRadius/1[float],false,283,1,2,1,1,2,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout,"ScalingLayout/3[iammert.com.view.scalinglib.Context,iammert.com.view.scalinglib.AttributeSet,int]",true,95,5,1,0,1,1,1,4,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\app\src\main\java\iammert\com\view\scalinglayout\MainActivity.java,iammert.com.view.scalinglayout.MainActivity$Anonymous3,onClick/1[iammert.com.view.scalinglayout.View],false,32,3,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout$Anonymous1,onAnimationUpdate/1[iammert.com.view.scalinglib.ValueAnimator],false,130,2,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayout.java,iammert.com.view.scalinglib.ScalingLayout$Anonymous2,"getOutline/2[iammert.com.view.scalinglib.View,iammert.com.view.scalinglib.Outline]",false,363,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ScalingLayout\scalinglib\src\main\java\iammert\com\view\scalinglib\ScalingLayoutListener.java,iammert.com.view.scalinglib.ScalingLayoutListener,onCollapsed/0,false,9,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
