file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\shapeofview\src\main\java\io\github\florent37\shapeofview\shapes\CutCornerView.java,io.github.florent37.shapeofview.shapes.CutCornerView,class,10,12,2,10,26,3,0,19,186,0.88571435,0.0,0.0,21,0,19,2,0,0,19,0,0,0,5,0,0,5,0,0,1,0,0,109,9,0,1,0,0,0,12,19,9,7,1,1,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\shapeofview\src\main\java\io\github\florent37\shapeofview\shapes\ArcView.java,io.github.florent37.shapeofview.shapes.ArcView$Anonymous1,anonymous,2,2,0,2,11,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,79,2,0,1,0,0,0,40,3,20,3,2,0,0,0,29,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\shapeofview\src\main\java\io\github\florent37\shapeofview\shapes\StarView.java,io.github.florent37.shapeofview.shapes.StarView,class,8,9,1,8,8,3,0,6,9,0.5,0.0,0.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,51,1,0,1,0,0,0,2,5,0,3,1,1,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\TabbedMainActivity.java,io.github.florent37.shapeofview.sample.TabbedMainActivity$FakeAdapter,innerclass,4,4,0,4,4,2,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,1,1,0,1,0,0,0,0,0,15,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\shapeofview\src\main\java\io\github\florent37\shapeofview\shapes\StarView.java,io.github.florent37.shapeofview.shapes.StarView$Anonymous1,anonymous,1,1,0,1,4,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20,2,1,1,0,5,0,10,9,16,9,1,0,0,0,21,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\ErrorActivity.java,io.github.florent37.shapeofview.sample.ErrorActivity,class,8,9,1,8,3,3,0,8,1,0.5,NaN,NaN,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,55,1,1,0,0,0,0,2,4,0,4,1,0,2,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\JackmanActivity.java,io.github.florent37.shapeofview.sample.JackmanActivity,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\ShapeOfViewMainActivity.java,io.github.florent37.shapeofview.sample.ShapeOfViewMainActivity,class,11,11,0,11,1,2,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,9,1,0,0,9,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\TabIndicatorFollower.java,io.github.florent37.shapeofview.sample.TabIndicatorFollower$Anonymous1,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShapeOfView\app\src\main\java\io\github\florent37\shapeofview\sample\ShapeOfViewStarActivity.java,io.github.florent37.shapeofview.sample.ShapeOfViewStarActivity,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
