file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Reflector.java,com.github.amlcurran.showcaseview.targets.Reflector,interface,2,8,6,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,class,6,7,1,6,9,1,0,8,12,0.6944445,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,3,0,0,39,3,0,0,0,2,0,6,5,2,5,0,0,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\NoAnimationFactory.java,com.github.amlcurran.showcaseview.NoAnimationFactory,class,6,7,1,6,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\legacy\MultipleShowcaseSampleActivity.java,com.github.amlcurran.showcaseview.sample.legacy.MultipleShowcaseSampleActivity,class,6,7,1,6,5,2,0,10,3,1.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,2,2,0,2,0,0,2,0,0,27,1,0,0,0,0,0,2,2,0,2,1,1,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\NewShowcaseDrawer.java,com.github.amlcurran.showcaseview.NewShowcaseDrawer,class,5,7,2,5,6,2,0,4,0,0.5555555,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,1,0,3,0,0,3,0,0,29,3,0,0,0,2,0,4,4,2,4,0,0,0,0,33,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\ShowcaseViewApi.java,com.github.amlcurran.showcaseview.ShowcaseViewApi,interface,1,2,1,1,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\MainActivity.java,com.github.amlcurran.showcaseview.sample.MainActivity$HardcodedListAdapter,innerclass,6,6,0,6,4,2,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,17,2,0,1,0,2,0,0,2,0,1,1,0,0,0,17,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\ShowcaseDrawer.java,com.github.amlcurran.showcaseview.ShowcaseDrawer,interface,3,10,7,3,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\ActionItemsSampleActivity.java,com.github.amlcurran.showcaseview.sample.ActionItemsSampleActivity,class,8,9,1,8,3,2,0,17,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0,0,1,0,1,0,2,0,2,1,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\EventsActivity.java,com.github.amlcurran.showcaseview.sample.EventsActivity$ShakeButtonListener,innerclass,4,4,0,4,2,2,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,10,0,0,0,0,0,0,1,2,0,2,0,0,0,0,18,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\ShowcaseView.java,com.github.amlcurran.showcaseview.ShowcaseView,class,36,54,18,36,91,2,0,92,960,0.9367245,0.0,0.0,52,1,27,20,3,2,32,0,0,0,31,6,5,26,0,0,11,0,5,505,13,0,14,0,1,2,26,74,7,48,2,4,1,0,216,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\AnimationFactory.java,com.github.amlcurran.showcaseview.AnimationFactory,interface,5,9,4,5,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\AnimationFactory.java,com.github.amlcurran.showcaseview.AnimationFactory$AnimationEndListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\ToolbarActionItemTarget.java,com.github.amlcurran.showcaseview.sample.ToolbarActionItemTarget,class,6,6,0,6,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\ViewTarget.java,com.github.amlcurran.showcaseview.targets.ViewTarget,class,5,19,14,5,3,1,0,4,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,1,0,0,0,0,0,5,5,4,4,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\ActionBarViewWrapper.java,com.github.amlcurran.showcaseview.targets.ActionBarViewWrapper,class,3,6,3,3,30,1,0,20,0,0.3809524,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,144,13,2,4,6,0,28,0,27,2,24,4,0,0,0,73,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\legacy\MultipleShowcaseSampleActivity.java,com.github.amlcurran.showcaseview.sample.legacy.MultipleShowcaseSampleActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\EventsActivity.java,com.github.amlcurran.showcaseview.sample.EventsActivity$WobblyInterpolator,innerclass,1,1,0,1,2,1,0,1,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,11,1,0,0,0,0,0,1,3,2,3,0,0,0,0,18,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\MemoryManagementTesting.java,com.github.amlcurran.showcaseview.sample.MemoryManagementTesting$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\ShotStateStore.java,com.github.amlcurran.showcaseview.ShotStateStore,class,3,6,3,3,7,1,0,6,0,0.5,0.0,0.0,5,0,1,0,0,4,5,0,0,0,4,2,0,3,0,1,3,0,0,24,2,0,1,0,0,3,1,6,2,5,1,0,0,0,32,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\AppCompatReflector.java,com.github.amlcurran.showcaseview.targets.AppCompatReflector,class,5,7,2,5,6,1,0,6,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,23,3,0,2,0,0,4,0,4,1,3,1,0,0,0,32,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\FragmentDemoActivity.java,com.github.amlcurran.showcaseview.sample.FragmentDemoActivity$FirstDemoFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\TextDrawer.java,com.github.amlcurran.showcaseview.TextDrawer,class,15,17,2,15,42,2,0,17,19,0.80827063,0.0,0.0,14,0,14,0,0,0,14,0,0,0,19,3,0,19,0,0,8,0,1,182,2,1,8,0,3,1,24,57,21,27,3,0,1,0,101,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\AnimatorAnimationFactory.java,com.github.amlcurran.showcaseview.AnimatorAnimationFactory,class,11,12,1,11,4,1,0,7,2,0.5625,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,3,0,4,0,0,4,0,0,37,0,0,0,0,0,3,2,9,0,9,0,2,0,0,41,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Target.java,com.github.amlcurran.showcaseview.targets.Target,interface,2,12,10,2,1,1,0,0,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,1,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\ActionBarReflector.java,com.github.amlcurran.showcaseview.targets.ActionBarReflector,class,5,7,2,5,5,1,0,3,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,18,2,0,1,0,0,2,0,2,1,2,1,0,0,0,36,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\AnimatorAnimationFactory.java,com.github.amlcurran.showcaseview.AnimatorAnimationFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\OnShowcaseEventListener.java,com.github.amlcurran.showcaseview.OnShowcaseEventListener,interface,3,12,9,3,4,1,0,0,6,0.75,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,1,0,0,53,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\AnimatorAnimationFactory.java,com.github.amlcurran.showcaseview.AnimatorAnimationFactory$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Reflector.java,com.github.amlcurran.showcaseview.targets.Reflector$ActionBarType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\CustomTextActivity.java,com.github.amlcurran.showcaseview.sample.CustomTextActivity,class,6,7,1,6,1,2,0,21,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,3,0,3,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\MultiEventListener.java,com.github.amlcurran.showcaseview.sample.MultiEventListener,class,3,4,1,3,9,1,0,6,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,27,0,4,0,0,0,0,0,1,0,1,1,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\animations\AnimationSampleActivity.java,com.github.amlcurran.showcaseview.sample.animations.AnimationSampleActivity,class,9,11,2,9,9,2,0,15,1,0.4,0.0,0.0,3,0,1,1,1,0,2,0,0,0,5,0,0,5,0,0,0,0,0,45,0,1,0,0,0,2,7,5,0,5,2,0,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\SingleShotActivity.java,com.github.amlcurran.showcaseview.sample.SingleShotActivity,class,5,6,1,5,1,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\sample\src\main\java\com\github\amlcurran\showcaseview\sample\CustomShowcaseActivity.java,com.github.amlcurran.showcaseview.sample.CustomShowcaseActivity$CustomShowcaseView,innerclass,7,7,0,7,9,1,0,9,12,0.7037037,0.0,0.0,9,0,9,0,0,0,9,0,0,0,6,0,0,6,0,0,6,0,0,49,3,0,0,0,0,0,8,12,8,8,0,0,0,0,44,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\ApiUtils.java,com.github.amlcurran.showcaseview.ApiUtils,class,1,3,2,1,3,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
