file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Reflector.java,com.github.amlcurran.showcaseview.targets.Reflector,getActionBarView/0,false,27,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Reflector.java,com.github.amlcurran.showcaseview.targets.Reflector,showcaseActionItem/1[int],false,25,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\targets\Reflector.java,com.github.amlcurran.showcaseview.targets.Reflector,getHomeButton/0,false,23,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,MaterialShowcaseDrawer/1[com.github.amlcurran.showcaseview.Resources],true,17,3,1,1,0,1,5,9,0,0,1,5,0,0,0,0,0,0,0,2,3,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,"drawToCanvas/2[com.github.amlcurran.showcaseview.Canvas,com.github.amlcurran.showcaseview.Bitmap]",false,64,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,setShowcaseColour/1[int],false,28,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,erase/1[com.github.amlcurran.showcaseview.Bitmap],false,59,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,setBackgroundColour/1[int],false,54,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,getBlockedRadius/0,false,49,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,"drawShowcase/4[com.github.amlcurran.showcaseview.Bitmap,float,float,float]",false,33,2,0,0,0,1,1,4,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,getShowcaseHeight/0,false,44,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\MaterialShowcaseDrawer.java,com.github.amlcurran.showcaseview.MaterialShowcaseDrawer,getShowcaseWidth/0,false,39,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ShowcaseView\library\src\main\java\com\github\amlcurran\showcaseview\NoAnimationFactory.java,com.github.amlcurran.showcaseview.NoAnimationFactory,"fadeInView/3[com.github.amlcurran.showcaseview.View,long,com.github.amlcurran.showcaseview.AnimationFactory.AnimationStartListener]",false,9,2,1,0,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
