file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\model\SlideMenuItem.java,yalantis.com.sidemenu.model.SlideMenuItem,class,1,2,1,1,5,1,0,0,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\main\java\yalantis\com\sidemenu\sample\fragment\ContentFragment.java,yalantis.com.sidemenu.sample.fragment.ContentFragment$Anonymous1,anonymous,2,2,0,2,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$Anonymous5,anonymous,2,2,0,2,4,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,1,0,1,0,1,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$Anonymous4,anonymous,1,1,0,1,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$Anonymous3,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$Anonymous2,anonymous,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,1,0,1,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,1,2,1,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\main\java\yalantis\com\sidemenu\sample\fragment\ContentFragment.java,yalantis.com.sidemenu.sample.fragment.ContentFragment,class,10,12,2,10,6,2,0,13,13,0.9305556,0.0,0.0,6,1,6,0,0,0,6,0,0,0,12,8,8,2,2,0,8,0,0,52,3,0,0,0,0,8,0,15,0,16,0,1,0,0,55,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\main\java\yalantis\com\sidemenu\sample\MainActivity.java,yalantis.com.sidemenu.sample.MainActivity,class,20,21,1,20,16,2,0,39,44,0.8194445,0.0,0.0,12,0,7,3,2,0,9,0,0,0,6,0,0,6,0,0,0,0,3,120,7,0,1,0,0,0,2,21,0,20,1,2,0,0,83,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator$ViewAnimatorListener,interface,3,3,0,3,4,1,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\animation\FlipAnimation.java,yalantis.com.sidemenu.animation.FlipAnimation,class,4,5,1,4,3,2,0,7,0,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,5,0,0,5,0,0,4,0,0,31,0,0,0,0,2,0,0,11,3,11,0,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\interfaces\ScreenShotable.java,yalantis.com.sidemenu.interfaces.ScreenShotable,interface,1,6,5,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\androidTest\java\yalantis\com\sidemenu\sample\ApplicationTest.java,yalantis.com.sidemenu.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\main\java\yalantis\com\sidemenu\sample\MainActivity.java,yalantis.com.sidemenu.sample.MainActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\app\src\main\java\yalantis\com\sidemenu\sample\MainActivity.java,yalantis.com.sidemenu.sample.MainActivity$Anonymous2,anonymous,2,2,0,2,5,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,2,0,0,0,1,0,0,0,19,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\androidTest\java\yalantis\com\sidemenu\ApplicationTest.java,ApplicationTest,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\interfaces\Resourceble.java,yalantis.com.sidemenu.interfaces.Resourceble,interface,0,4,4,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Side-Menu.Android\library\src\main\java\yalantis\com\sidemenu\util\ViewAnimator.java,yalantis.com.sidemenu.util.ViewAnimator,class,13,19,6,13,10,1,0,25,0,0.64285713,0.0,0.0,7,0,2,5,0,0,2,0,0,0,8,1,1,7,0,0,2,0,0,127,0,3,0,0,3,0,14,23,6,22,1,5,1,0,67,1,0
