file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,"add/2[int,int]",false,41,5,3,0,3,1,4,3,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,create/0,false,58,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,Creator/1[com.ogaclejapan.smarttablayout.utils.Context],true,37,2,2,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,"add/2[java.lang.CharSequence,int]",false,49,3,2,0,2,1,2,3,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,"add/3[int,float,int]",false,45,5,3,0,3,1,4,3,1,0,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\utils-v4\src\main\java\com\ogaclejapan\smarttablayout\utils\ViewPagerItems.java,com.ogaclejapan.smarttablayout.utils.ViewPagerItems$Creator,add/1[com.ogaclejapan.smarttablayout.utils.ViewPagerItem],false,53,2,3,3,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabIndicationInterpolator.java,com.ogaclejapan.smarttablayout.SmartTabIndicationInterpolator$SmartIndicationInterpolator,getRightEdge/1[float],false,72,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabIndicationInterpolator.java,com.ogaclejapan.smarttablayout.SmartTabIndicationInterpolator$SmartIndicationInterpolator,getLeftEdge/1[float],false,67,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabIndicationInterpolator.java,com.ogaclejapan.smarttablayout.SmartTabIndicationInterpolator$SmartIndicationInterpolator,SmartIndicationInterpolator/1[float],true,61,2,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabIndicationInterpolator.java,com.ogaclejapan.smarttablayout.SmartTabIndicationInterpolator$SmartIndicationInterpolator,getThickness/1[float],false,77,1,2,0,2,1,2,3,1,0,1,2,2,1,0,0,0,1,0,2,0,3,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabIndicationInterpolator.java,com.ogaclejapan.smarttablayout.SmartTabIndicationInterpolator$SmartIndicationInterpolator,SmartIndicationInterpolator/0,true,57,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabLayout.java,com.ogaclejapan.smarttablayout.SmartTabLayout$TabProvider,"createTabView/3[com.ogaclejapan.smarttablayout.ViewGroup,int,com.ogaclejapan.smarttablayout.PagerAdapter]",false,546,3,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabStrip.java,com.ogaclejapan.smarttablayout.SmartTabStrip,getTabColorizer/0,false,248,1,2,2,0,2,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SmartTabLayout\library\src\main\java\com\ogaclejapan\smarttablayout\SmartTabStrip.java,com.ogaclejapan.smarttablayout.SmartTabStrip,setDividerColors/1[int[]],false,228,2,2,1,1,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,false
