file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-modules\ace-generator\src\main\java\com\github\wxiaoqi\security\generator\config\DynamicDataSourceContextHolder.java,com.github.wxiaoqi.security.generator.config.DynamicDataSourceContextHolder,setDataSourceKey/1[java.lang.String],false,31,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-modules\ace-generator\src\main\java\com\github\wxiaoqi\security\generator\config\DynamicDataSourceContextHolder.java,com.github.wxiaoqi.security.generator.config.DynamicDataSourceContextHolder,clearDataSourceKey/0,false,47,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-modules\ace-generator\src\main\java\com\github\wxiaoqi\security\generator\config\DynamicDataSourceContextHolder.java,com.github.wxiaoqi.security.generator.config.DynamicDataSourceContextHolder,getDataSourceKey/0,false,40,0,3,3,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,getChildren/0,false,12,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,setChildren/1[java.util.List<com.github.wxiaoqi.security.common.vo.TreeNode>],false,16,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,getId/0,false,22,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,getParentId/0,false,30,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,add/1[com.github.wxiaoqi.security.common.vo.TreeNode],false,38,1,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,setId/1[int],false,26,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Spring-Cloud-Platform\ace-dev-base\ace-common\src\main\java\com\github\wxiaoqi\security\common\vo\TreeNode.java,com.github.wxiaoqi.security.common.vo.TreeNode,setParentId/1[int],false,34,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
