file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter14\consul-miya\src\main\java\com\forezp\ConsulMiyaApplication.java,com.forezp.ConsulMiyaApplication,home/0,false,16,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter14\consul-miya\src\main\java\com\forezp\ConsulMiyaApplication.java,com.forezp.ConsulMiyaApplication,main/1[java.lang.String[]],false,20,2,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter10-5-jdbc\config-server\src\main\java\com\forezp\ConfigServerApplication.java,com.forezp.ConfigServerApplication,main/1[java.lang.String[]],false,11,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter14\consul-miya\src\test\java\com\forezp\ConsulMiyaApplicationTests.java,com.forezp.ConsulMiyaApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-chapter5\service-ribbon\src\main\java\com\forezp\serviceribbon\web\HelloControler.java,HelloControler,hi/1[String],false,22,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-boot-admin-cloud\admin-server\src\main\java\com\forezp\adminserver\AdminServerApplication.java,AdminServerApplication,main/1[String[]],false,13,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter-sleuth\zipkin-server\src\test\java\com\forezp\ZipkinServerApplicationTests.java,com.forezp.ZipkinServerApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-gateway-limiter\src\main\java\gateway\UriKeyResolver.java,gateway.UriKeyResolver,resolve/1[gateway.ServerWebExchange],false,16,2,0,0,0,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-chapter5\service-feign\src\main\java\com\forezp\servicefeign\web\HiController.java,HiController,sayHi/1[String],false,24,3,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-2020-chapter1\consumer\src\main\java\io\github\forezp\consumer\web\ConsumerController.java,io.github.forezp.consumer.web.ConsumerController,hiFeign/0,false,15,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-chapter3\service-feign\src\main\java\com\forezp\servicefeign\clients\SchedualServiceHi.java,com.forezp.servicefeign.clients.SchedualServiceHi,sayHiFromClientOne/1[java.lang.String],false,16,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\springcloud-alibaba\nacos-config\nacos-consumer\src\main\java\com\forezp\NacosConsumerApplication.java,com.forezp.NacosConsumerApplication,main/1[java.lang.String[]],false,16,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\springcloud-alibaba\nacos-config\nacos-consumer\src\main\java\com\forezp\NacosConsumerApplication.java,com.forezp.NacosConsumerApplication,restTemplate/0,false,23,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\chapter13\service-lucy\src\test\java\com\forezp\ServiceLucyApplicationTests.java,com.forezp.ServiceLucyApplicationTests,contextLoads/0,false,13,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-boot-admin-cloud\admin-server\src\main\java\com\forezp\adminserver\SecuritySecureConfig.java,com.forezp.adminserver.SecuritySecureConfig,SecuritySecureConfig/1[com.forezp.adminserver.AdminServerProperties],true,14,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SpringCloudLearning\sc-f-boot-admin-cloud\admin-server\src\main\java\com\forezp\adminserver\SecuritySecureConfig.java,com.forezp.adminserver.SecuritySecureConfig,configure/1[com.forezp.adminserver.HttpSecurity],false,19,2,0,0,0,1,15,5,0,1,1,15,0,0,0,0,0,0,5,0,1,4,0,0,0,0,16,4,0,false
