file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\MainActivity.java,com.jaeger.statusbarutil.MainActivity$Anonymous7,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SimpleFragment.java,com.jaeger.statusbarutil.SimpleFragment,class,8,10,2,8,3,2,0,4,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,16,1,0,0,0,0,0,0,2,0,2,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\UseInFragmentActivity.java,com.jaeger.statusbarutil.UseInFragmentActivity$Anonymous3,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\MainActivity.java,com.jaeger.statusbarutil.MainActivity$Anonymous8,anonymous,2,2,0,2,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\UseInFragmentActivity.java,com.jaeger.statusbarutil.UseInFragmentActivity$Anonymous2,anonymous,1,1,0,1,5,1,0,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,3,2,0,2,2,0,0,0,18,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\MainActivity.java,com.jaeger.statusbarutil.MainActivity$Anonymous9,anonymous,2,2,0,2,4,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageViewActivity.java,com.jaeger.statusbarutil.ImageViewActivity,class,9,10,1,9,5,3,0,14,1,0.6666667,0.0,0.0,3,0,1,0,2,0,3,0,0,0,5,0,0,5,0,0,0,0,1,44,1,0,2,0,0,0,1,5,0,5,1,1,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\UseInFragmentActivity.java,com.jaeger.statusbarutil.UseInFragmentActivity$Anonymous1,anonymous,0,0,0,0,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\MainActivity.java,com.jaeger.statusbarutil.MainActivity,class,12,12,0,12,2,3,0,13,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,15,0,0,15,0,0,0,0,1,127,0,0,0,0,0,0,1,16,0,16,0,9,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SwipeBackActivity.java,com.jaeger.statusbarutil.SwipeBackActivity,class,7,8,1,7,3,3,0,10,0,0.33333334,0.0,0.0,2,0,0,0,2,0,2,0,0,0,3,0,0,3,0,0,0,0,1,29,0,0,1,0,0,0,1,3,0,3,1,1,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ColorStatusBarActivity.java,com.jaeger.statusbarutil.ColorStatusBarActivity$Anonymous2,anonymous,2,2,0,2,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ColorStatusBarActivity.java,com.jaeger.statusbarutil.ColorStatusBarActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,2,2,0,1,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageViewActivity.java,com.jaeger.statusbarutil.ImageViewActivity$Anonymous1,anonymous,2,2,0,2,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SwipeBackActivity.java,com.jaeger.statusbarutil.SwipeBackActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,3,2,0,1,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SwitchModeActivity.java,com.jaeger.statusbarutil.SwitchModeActivity,class,6,7,1,6,3,3,0,10,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,3,0,0,3,0,0,0,0,1,37,0,0,1,0,0,0,0,3,0,3,1,2,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageStatusBarActivity.java,com.jaeger.statusbarutil.ImageStatusBarActivity,class,9,12,3,9,5,3,0,13,0,0.6666667,0.0,0.0,3,0,0,1,2,0,2,0,0,0,8,1,1,7,0,0,1,0,2,62,0,0,0,0,0,1,1,6,0,8,1,2,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageFragment.java,com.jaeger.statusbarutil.ImageFragment,class,6,7,1,6,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SwitchModeActivity.java,com.jaeger.statusbarutil.SwitchModeActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ColorStatusBarActivity.java,com.jaeger.statusbarutil.ColorStatusBarActivity,class,8,9,1,8,3,3,0,13,1,0.5833333,0.0,0.0,2,0,0,0,2,0,2,0,0,0,6,0,0,6,0,0,0,0,1,47,0,0,1,0,0,0,1,5,0,6,1,2,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\SwitchModeActivity.java,com.jaeger.statusbarutil.SwitchModeActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\library\src\androidTest\java\com\example\library\ApplicationTest.java,com.example.library.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\library\src\main\java\com\jaeger\library\StatusBarUtil.java,com.jaeger.library.StatusBarUtil,class,13,31,18,13,97,1,0,67,716,0.88414633,0.0,0.0,41,41,28,13,0,0,28,0,0,0,4,4,1,3,0,0,4,0,57,398,15,1,20,2,9,8,80,59,15,54,4,1,0,0,130,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\BaseActivity.java,com.jaeger.statusbarutil.BaseActivity,class,4,12,8,4,4,2,7,8,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\library\src\main\java\com\jaeger\library\StatusBarUtil.java,com.jaeger.library.StatusBarUtil$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageStatusBarActivity.java,com.jaeger.statusbarutil.ImageStatusBarActivity$Anonymous1,anonymous,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\UseInFragmentActivity.java,com.jaeger.statusbarutil.UseInFragmentActivity,class,11,12,1,11,2,3,0,11,1,0.5,0.0,0.0,2,0,0,0,2,0,2,0,0,0,3,0,0,3,0,0,0,0,1,59,0,0,0,0,0,4,0,3,0,3,0,3,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\StatusBarUtil\sample\src\main\java\com\jaeger\statusbarutil\ImageStatusBarActivity.java,com.jaeger.statusbarutil.ImageStatusBarActivity$Anonymous2,anonymous,2,2,0,2,3,1,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,-1,0
