file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnSwitchCheckedChangeListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\app\src\main\java\com\allen\supertextview\ListActivity.java,com.allen.supertextview.ListActivity,class,11,13,2,11,6,2,0,17,2,0.55,0.0,0.0,4,0,1,2,1,0,2,0,0,0,5,0,0,5,0,0,0,0,0,59,2,2,0,0,0,24,3,10,4,10,1,2,0,0,64,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnLeftImageViewClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnCheckBoxCheckedChangeListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnCenterTvClickListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\app\src\main\java\com\allen\supertextview\ClickActivity.java,com.allen.supertextview.ClickActivity,class,20,21,1,20,1,2,0,20,0,0.25,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,117,0,0,0,0,0,0,0,3,0,4,0,19,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\app\src\main\java\com\allen\supertextview\MainActivity.java,com.allen.supertextview.MainActivity,class,12,12,0,12,16,2,0,8,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,105,0,0,0,0,0,9,9,15,0,15,1,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnRightTextGroupClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnEditTextChangeListener,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SuperTextView\library\src\main\java\com\allen\library\SuperTextView.java,com.allen.library.SuperTextView$OnRightImageViewClickListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
