file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\App.java,App,class,3,4,1,3,3,1,0,1,0,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,12,1,0,1,0,0,0,0,1,0,1,1,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,com.yanzhenjie.recyclerview.sample.adapter.ExpandedAdapter$ParentHolder,innerclass,7,7,0,7,2,3,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,2,0,2,0,0,0,0,17,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.VerticalActivity$VerticalAdapter,innerclass,5,5,0,5,6,2,0,6,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,18,2,0,1,0,0,0,1,1,0,1,0,0,0,0,24,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\group\MenuActivity.java,GroupViewHolder,innerclass,2,3,1,2,2,1,0,2,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\support\src\main\java\com\yanzhenjie\recyclerview\Horizontal.java,com.yanzhenjie.recyclerview.Horizontal$Checker,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,25,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalAdapter,innerclass,5,6,1,5,6,1,0,6,4,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,18,2,0,1,0,0,0,1,1,0,1,0,0,0,0,24,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\support\src\main\java\com\yanzhenjie\recyclerview\ExpandableAdapter.java,com.yanzhenjie.recyclerview.ExpandableAdapter$Anonymous1,anonymous,1,1,0,1,3,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,0,1,0,0,0,1,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\StaggeredActivity.java,StaggeredActivity,class,13,14,1,13,5,1,0,18,0,0.33333334,NaN,NaN,2,0,0,1,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,60,0,2,1,0,0,2,5,9,2,9,2,1,0,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\entity\Group.java,com.yanzhenjie.recyclerview.sample.activity.expanded.entity.Group,class,5,15,10,5,12,1,0,6,13,0.67499995,0.0,0.0,10,0,9,0,1,0,10,0,0,0,4,1,1,3,0,0,1,0,0,47,4,0,1,0,1,0,4,7,0,4,0,1,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\MainAdapter.java,ViewHolder,innerclass,2,19,9,10,2,1,4,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\adapter\ExpandedAdapter.java,ChildHolder,innerclass,3,4,1,3,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\fragment\MenuFragment.java,MenuFragment,class,14,15,1,14,4,1,0,13,1,0.5833334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,55,1,1,0,0,0,2,2,7,1,7,1,3,0,0,38,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\group\MenuActivity.java,com.yanzhenjie.recyclerview.sample.activity.group.MenuActivity$GroupAdapter$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\support\src\main\java\com\yanzhenjie\recyclerview\SwipeMenuLayout.java,com.yanzhenjie.recyclerview.SwipeMenuLayout,class,17,23,6,17,109,2,0,78,393,0.9114834,0.0,0.0,38,0,32,3,2,1,35,0,0,0,22,1,1,21,0,0,1,0,21,407,25,0,33,0,12,1,29,92,33,65,4,0,0,0,152,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,8,5,0,5,1,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\ExpandableActivity.java,ExpandableActivity,class,7,8,1,7,6,1,0,7,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,3,0,0,0,1,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\x\src\main\java\com\yanzhenjie\recyclerview\SwipeMenuLayout.java,SwipeMenuLayout,class,14,18,4,14,109,1,0,69,393,0.9114834,0.0,0.0,38,0,32,3,2,1,35,0,0,0,22,1,1,21,0,0,1,0,0,407,25,0,33,0,12,1,29,92,33,65,4,0,0,0,152,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\VerticalActivity.java,VerticalActivity,class,6,7,1,6,2,1,0,4,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,59,1,0,0,0,0,0,0,1,0,1,0,1,2,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\nested\CardViewActivity.java,CardViewActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\move\DragTouchListActivity.java,com.yanzhenjie.recyclerview.sample.activity.move.DragTouchListActivity,class,6,7,1,6,3,4,0,3,3,0.6666667,0.0,0.0,3,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,30,2,0,0,0,0,0,0,1,0,1,0,1,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\x\src\main\java\com\yanzhenjie\recyclerview\OnItemClickListener.java,OnItemClickListener,interface,0,11,11,0,1,1,4,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\menu\DefineActivity.java,com.yanzhenjie.recyclerview.sample.activity.menu.DefineActivity$Anonymous1,anonymous,2,2,0,2,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,2,0,0,0,0,1,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\xSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\header\HeaderViewActivity.java,HeaderViewActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\group\LayoutActivity.java,com.yanzhenjie.recyclerview.sample.activity.group.LayoutActivity,class,8,10,2,8,5,2,0,13,3,0.0,0.0,0.0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,2,0,0,3,0,6,0,4,1,1,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwipeRecyclerView\supportSample\src\main\java\com\yanzhenjie\recyclerview\sample\activity\expanded\GridActivity.java,com.yanzhenjie.recyclerview.sample.activity.expanded.GridActivity,class,12,14,2,12,5,3,0,20,0,0.33333334,NaN,NaN,2,0,0,1,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,60,0,2,1,0,0,2,5,9,2,9,2,1,0,0,51,1,0
