file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\library\src\main\java\com\kyleduo\switchbutton\ColorUtils.java,com.kyleduo.switchbutton.ColorUtils,generateBackColorWithTintColor/1[int],false,35,2,2,2,0,1,0,5,1,2,1,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,22,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\library\src\main\java\com\kyleduo\switchbutton\ColorUtils.java,com.kyleduo.switchbutton.ColorUtils,generateThumbColorWithTintColor/1[int],false,14,2,2,2,0,1,0,5,1,2,1,0,0,0,0,0,0,0,0,6,2,3,0,0,0,0,22,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\StyleActivity.java,com.kyleduo.switchbutton.demo.StyleActivity,onCreate/1[com.kyleduo.switchbutton.demo.Bundle],false,15,3,2,0,2,3,5,36,0,2,1,5,0,0,0,2,0,0,0,0,7,0,1,2,0,0,33,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity,toast/1[java.lang.String],false,196,0,1,1,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity,findView/0,false,127,5,2,1,1,2,6,29,0,0,0,6,0,0,0,0,0,0,0,2,12,0,0,2,0,0,32,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity,onCreate/1[com.kyleduo.switchbutton.demo.Bundle],false,27,6,2,0,2,3,8,76,0,4,1,8,1,1,2,0,0,0,0,2,4,0,1,5,0,0,40,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity,onClick/1[com.kyleduo.switchbutton.demo.View],false,164,2,7,0,7,9,10,31,0,1,1,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous5$Anonymous6,onAnimationStart/1[com.kyleduo.switchbutton.demo.Animator],false,90,2,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous5$Anonymous6,onAnimationEnd/1[com.kyleduo.switchbutton.demo.Animator],false,96,2,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous5$Anonymous6,onAnimationRepeat/1[com.kyleduo.switchbutton.demo.Animator],false,107,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous5$Anonymous6,onAnimationCancel/1[com.kyleduo.switchbutton.demo.Animator],false,102,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous7,"onCheckedChanged/2[com.kyleduo.switchbutton.demo.CompoundButton,boolean]",false,118,3,3,0,3,2,3,6,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\SwitchButton\SwitchButton\demo\src\main\java\com\kyleduo\switchbutton\demo\UseActivity.java,com.kyleduo.switchbutton.demo.UseActivity$Anonymous5,onClick/1[com.kyleduo.switchbutton.demo.View],false,85,3,0,0,0,1,4,21,0,1,1,4,0,0,0,0,0,0,1,3,1,0,0,1,0,0,15,1,0,false
