file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getColumnHeaderItemViewType/1[int],false,180,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"setAllItems/3[java.util.List<CH>,java.util.List<RH>,java.util.List<java.util.List<C>>]",false,128,5,4,0,4,1,4,6,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"changeColumnHeader/2[int,CH]",false,328,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"removeRow/2[int,boolean]",false,264,1,3,0,3,2,4,8,0,0,2,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,setRowHeaderItems/1[java.util.List<RH>],false,98,4,2,0,2,2,2,8,1,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,removeRow/1[int],false,259,1,4,2,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,initialize/0,false,69,5,1,0,1,1,1,6,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,setCellItems/1[java.util.List<java.util.List<C>>],false,110,6,4,0,4,2,4,9,1,0,1,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"updateCornerViewState/2[java.util.List<CH>,java.util.List<RH>]",false,141,7,4,0,4,9,7,23,2,5,2,7,0,0,0,6,0,1,0,0,6,0,2,0,0,0,23,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getRowHeaderItem/1[int],false,235,2,1,1,0,5,3,6,2,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getCellColumnItems/1[int],false,338,3,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"changeRowHeaderItem/2[int,RH]",false,310,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"changeRowHeaderItemRange/2[int,java.util.List<RH>]",false,314,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"changeCellItem/3[int,int,C]",false,318,2,2,0,2,3,4,7,0,1,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,dispatchColumnHeaderDataSetChangesToListeners/1[java.util.List<CH>],false,364,5,1,0,1,3,1,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,14,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getRowHeaderRecyclerViewAdapter/0,false,204,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getCellRowItems/1[int],false,255,3,2,1,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getTableView/0,false,360,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"addRowRange/3[int,java.util.List<RH>,java.util.List<java.util.List<C>>]",false,305,4,2,0,2,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"removeRowRange/2[int,int]",false,280,1,2,0,2,1,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"addRow/3[int,RH,java.util.List<C>]",false,300,4,2,0,2,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,setRowHeaderWidth/1[int],false,212,1,2,2,0,2,1,7,0,1,1,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,removeColumn/1[int],false,342,2,3,1,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,getColumnHeaderItem/1[int],false,226,2,1,1,0,5,3,6,2,0,1,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"changeColumnHeaderRange/2[int,java.util.List<CH>]",false,332,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,setTableView/1[com.evrencoskun.tableview.ITableView],false,64,3,2,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"addAdapterDataSetChangedListener/1[com.evrencoskun.tableview.adapter.AdapterDataSetChangedListener<CH,RH,C>]",false,394,5,0,0,0,2,1,6,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,17,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,"getCellItem/2[int,int]",false,244,2,0,0,0,8,5,6,2,0,2,5,0,0,0,2,0,1,0,2,0,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\TableView\tableview\src\main\java\com\evrencoskun\tableview\adapter\AbstractTableAdapter.java,com.evrencoskun.tableview.adapter.AbstractTableAdapter,dispatchCellDataSetChangesToListeners/1[java.util.List<java.util.List<C>>],false,380,5,1,0,1,3,1,7,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,13,2,0,false
