file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\structure\card\FlowCard.java,com.tmall.wireless.tangram.structure.card.FlowCard,FlowCard/0,true,33,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\op\InsertGroupOp.java,com.tmall.wireless.tangram.op.InsertGroupOp,"InsertGroupOp/2[java.lang.Integer,com.tmall.wireless.tangram.dataparser.concrete.Card]",true,37,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\util\LifeCycleHelper.java,com.tmall.wireless.tangram.util.LifeCycleHelper$Anonymous1,test/1[E],false,41,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,getDefaultCellBinderResolver/0,false,124,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,"registerCard/2[java.lang.String,java.lang.Class<? extends com.tmall.wireless.tangram.dataparser.concrete.Card>]",false,107,1,5,4,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,getDefaultCardBinderResolver/0,false,128,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,"registerCell/3[java.lang.String,java.lang.Class<? extends com.tmall.wireless.tangram.structure.BaseCell>,java.lang.Class<V>]",false,69,5,6,3,3,1,3,4,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,"registerCell/3[java.lang.String,java.lang.Class<? extends com.tmall.wireless.tangram.structure.BaseCell>,com.tmall.wireless.tangram.structure.viewcreator.ViewHolderCreator]",false,81,3,3,2,1,1,2,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,setMVHelper/1[com.tmall.wireless.tangram.MVHelper],false,54,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Tangram-Android\tangram\src\main\java\com\tmall\wireless\tangram\DefaultResolverRegistry.java,com.tmall.wireless.tangram.DefaultResolverRegistry,getMVHelper/0,false,58,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
