file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\lastfmapi\callbacks\AlbumInfoListener.java,com.naman14.timber.lastfmapi.callbacks.AlbumInfoListener,albumInfoSuccess/1[com.naman14.timber.lastfmapi.models.LastfmAlbum],false,21,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\lastfmapi\callbacks\AlbumInfoListener.java,com.naman14.timber.lastfmapi.callbacks.AlbumInfoListener,albumInfoFailed/0,false,23,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,onCreate/1[com.naman14.timber.provider.SQLiteDatabase],false,43,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,19,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,queryRecentIds/1[java.lang.String],false,126,2,1,1,0,1,2,4,1,1,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,addSongId/1[long],false,57,4,2,1,1,8,16,44,1,5,1,16,1,1,0,5,3,0,3,3,9,3,4,0,0,0,35,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,RecentStore/1[com.naman14.timber.provider.Context],true,32,2,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,deleteAll/0,false,120,1,0,0,0,1,2,4,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,getInstance/1[com.naman14.timber.provider.Context],false,36,2,9,8,1,2,1,6,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,57,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,removeItem/1[long],false,112,1,0,0,0,1,3,4,0,1,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,"onUpgrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",false,49,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\provider\RecentStore.java,com.naman14.timber.provider.RecentStore,"onDowngrade/3[com.naman14.timber.provider.SQLiteDatabase,int,int]",false,52,2,1,0,1,1,2,4,0,0,3,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,18,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\fragments\QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,onPreExecute/0,false,128,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\fragments\QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,doInBackground/1[java.lang.String[]],false,96,2,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\fragments\QueueFragment.java,com.naman14.timber.fragments.QueueFragment$loadQueueSongs,onPostExecute/1[java.lang.String],false,102,3,6,0,6,1,9,20,0,1,1,9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,16,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\dialogs\CreatePlaylistDialog.java,com.naman14.timber.dialogs.CreatePlaylistDialog$Anonymous1,"onInput/2[com.naman14.timber.dialogs.MaterialDialog,java.lang.CharSequence]",false,47,5,3,0,3,5,10,14,0,2,2,10,0,0,0,3,0,1,3,2,2,0,2,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\nowplaying\Timber6.java,com.naman14.timber.nowplaying.Timber6,updateRepeatState/0,false,82,3,2,1,1,7,9,30,0,1,0,9,0,0,0,6,0,0,0,2,1,0,2,1,0,0,18,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\nowplaying\Timber6.java,com.naman14.timber.nowplaying.Timber6,updateShuffleState/0,false,59,3,2,1,1,4,9,18,0,1,0,9,0,0,0,3,0,0,0,2,1,0,2,1,0,0,18,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\nowplaying\Timber6.java,com.naman14.timber.nowplaying.Timber6,"onCreateView/3[com.naman14.timber.nowplaying.LayoutInflater,com.naman14.timber.nowplaying.ViewGroup,com.naman14.timber.nowplaying.Bundle]",false,33,9,3,0,3,1,9,17,1,1,3,9,0,0,0,0,0,2,0,0,3,0,0,1,0,0,29,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\Timber\app\src\main\java\com\naman14\timber\nowplaying\Timber6.java,com.naman14.timber.nowplaying.Timber6,onMetaChanged/0,false,115,5,4,0,4,2,7,9,0,2,0,7,0,0,0,1,0,0,0,0,2,0,1,0,0,0,9,1,0,false
