file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\ReplaceCallBack.java,com.github.tencent.ReplaceCallBack,"replace/3[java.lang.String,int,java.util.regex.Matcher]",false,6,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-android\sdk\src\main\java\com\tencent\sonic\sdk\download\SonicDownloadEngine.java,com.tencent.sonic.sdk.download.SonicDownloadEngine$Anonymous1,onFinish/0,false,172,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-android\sdk\src\main\java\com\tencent\sonic\sdk\download\SonicDownloadEngine.java,com.tencent.sonic.sdk.download.SonicDownloadEngine$Anonymous2,run/0,false,208,1,25,0,25,1,3,6,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-android\sdk\src\main\java\com\tencent\sonic\sdk\SonicSessionStream.java,com.tencent.sonic.sdk.SonicSessionStream$Callback,"onClose/2[boolean,java.io.ByteArrayOutputStream]",false,69,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\SonicUtil.java,com.github.tencent.SonicUtil,hex/1[byte[]],false,21,1,1,1,0,2,4,7,1,2,1,4,0,0,1,0,0,1,0,5,2,0,1,0,0,0,11,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\SonicUtil.java,com.github.tencent.SonicUtil,"encrypt/2[java.lang.String,java.lang.String]",false,35,1,2,1,1,7,8,22,3,3,2,8,1,1,0,2,1,0,5,0,4,0,1,0,0,0,19,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\SonicUtil.java,com.github.tencent.SonicUtil,"pregMatch/2[java.lang.String,java.lang.String]",false,89,0,1,1,0,2,4,8,2,2,2,4,0,0,0,0,0,0,1,1,2,0,1,0,0,0,10,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\SonicUtil.java,com.github.tencent.SonicUtil,getAllHttpHeaders/1[com.github.tencent.HttpServletRequest],false,103,1,1,1,0,3,5,12,1,4,1,5,0,0,1,1,0,0,0,0,4,0,2,0,0,0,14,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-java\src\main\java\com\github\tencent\SonicUtil.java,com.github.tencent.SonicUtil,"replaceAllCallBack/3[java.lang.String,java.util.regex.Pattern,com.github.tencent.ReplaceCallBack]",false,63,1,2,1,1,5,7,19,3,3,3,7,0,0,1,1,0,0,0,2,3,0,3,0,0,0,20,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VasSonic\sonic-android\sdk\src\main\java\com\tencent\sonic\sdk\SonicConfig.java,com.tencent.sonic.sdk.SonicConfig,SonicConfig/0,true,76,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
