file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,onCancelButtonClicked/1[com.lody.virtual.client.stub.View],false,218,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,onSaveInstanceState/1[com.lody.virtual.client.stub.Bundle],false,200,1,0,0,0,4,8,17,0,0,1,8,0,0,0,3,0,0,0,0,0,0,2,0,0,0,27,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,overrideDescriptionIfSupplied/1[java.lang.String],false,493,1,1,1,0,2,4,9,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,onDestroy/0,false,192,0,0,0,0,2,3,6,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,runAddAccountForAuthenticator/1[java.lang.String],false,307,2,4,2,2,2,8,9,0,3,1,8,0,0,0,0,0,0,1,0,3,1,1,0,0,0,15,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getReleventAccountTypes/1[com.lody.virtual.client.stub.Intent],false,451,3,3,1,2,3,6,18,1,4,1,6,0,0,1,1,0,0,0,0,5,0,1,0,0,0,44,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getAcceptableAccountChoices/1[com.lody.virtual.client.ipc.VAccountManager],false,431,2,2,1,1,6,4,14,1,2,1,4,0,0,1,2,0,0,0,0,2,0,2,0,0,0,32,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,setNonLabelThemeAndCallSuperCreate/1[com.lody.virtual.client.stub.Bundle],false,353,1,1,1,0,2,2,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,startChooseAccountTypeActivity/0,false,377,3,3,2,1,1,8,11,0,1,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,35,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,populateUIAccountList/1[java.lang.String[]],false,506,4,2,1,1,2,7,17,0,1,1,7,0,0,0,1,0,0,2,0,1,1,1,1,0,0,45,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,"onActivityResult/3[int,int,com.lody.virtual.client.stub.Intent]",false,236,5,4,0,4,21,15,59,3,6,3,15,2,1,2,14,0,0,9,0,11,3,5,0,0,0,58,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\VirtualApp\VirtualApp\lib\src\main\java\com\lody\virtual\client\stub\ChooseTypeAndAccountActivity.java,com.lody.virtual.client.stub.ChooseTypeAndAccountActivity,getListOfDisplayableOptions/1[java.util.ArrayList<com.lody.virtual.client.stub.Account>],false,414,1,1,1,0,2,4,8,1,2,1,4,0,0,1,0,0,0,0,2,4,1,1,0,0,0,10,2,0,false
