file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\PushListener.java,com.fangxuele.tool.push.ui.listener.PushListener$Anonymous2,anonymous,1,1,0,1,3,1,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,4,0,4,0,4,0,0,0,0,24,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\dialog\SystemEnvResultDialog.java,com.fangxuele.tool.push.ui.dialog.SystemEnvResultDialog,class,5,7,2,5,7,6,0,19,3,0.5555556,0.0,0.0,6,0,4,2,0,0,5,0,0,0,3,0,0,3,0,0,0,0,2,59,1,0,0,0,0,3,67,8,0,10,0,1,0,2,76,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\PushListener.java,com.fangxuele.tool.push.ui.listener.PushListener$Anonymous1,anonymous,1,1,0,1,3,1,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,5,0,4,0,4,0,0,0,0,24,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\TabListener.java,com.fangxuele.tool.push.ui.listener.TabListener$Anonymous1,anonymous,10,10,0,10,9,1,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,31,0,0,2,0,0,3,5,3,1,2,2,0,0,0,22,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\bean\VersionSummary.java,com.fangxuele.tool.push.bean.VersionSummary$Version,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,4,0,0,0,0,14,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgsender\WxMpSubscribeMsgSender.java,com.fangxuele.tool.push.logic.msgsender.WxMpSubscribeMsgSender,class,7,8,1,7,5,1,0,10,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,0,0,1,34,4,0,0,1,0,0,1,5,0,5,2,0,0,0,27,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\MessageEditListener.java,com.fangxuele.tool.push.ui.listener.MessageEditListener,class,8,8,0,8,17,1,0,52,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,142,4,0,10,2,0,22,7,10,4,14,4,1,0,4,45,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\dialog\SwitchWxAccountDialog.java,com.fangxuele.tool.push.ui.dialog.SwitchWxAccountDialog,class,15,18,3,15,17,6,0,74,1,0.61538464,0.0,0.0,6,0,4,2,0,0,5,0,0,0,13,2,0,13,0,0,1,0,12,207,2,2,2,1,0,34,158,50,1,45,5,2,0,5,130,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\listener\BoostListener.java,com.fangxuele.tool.push.ui.listener.BoostListener,class,8,9,1,8,30,1,0,66,1,0.5,0.0,0.0,2,2,1,0,0,1,2,0,0,0,4,4,0,4,0,0,1,0,5,216,3,2,11,1,2,61,33,41,28,30,4,1,0,7,62,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgmaker\DingMsgMaker.java,com.fangxuele.tool.push.logic.msgmaker.DingMsgMaker,class,6,8,2,6,8,2,0,25,0,0.22727273,0.0,0.0,2,0,2,0,0,0,2,0,0,0,11,11,6,5,0,0,0,0,17,59,1,0,2,0,0,3,0,20,0,17,2,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\form\msg\QiNiuYunMsgForm.java,com.fangxuele.tool.push.ui.form.msg.QiNiuYunMsgForm,class,14,18,4,14,33,1,0,99,24,0.84615386,0.0,0.0,8,3,6,2,0,0,7,0,0,0,13,3,0,13,0,0,0,0,39,219,3,3,6,0,0,29,138,67,8,57,2,0,0,1,119,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\ui\component\TableInCellButtonColumn.java,com.fangxuele.tool.push.ui.component.TableInCellButtonColumn,class,1,13,12,1,8,2,0,23,0,0.4666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,4,49,3,0,1,0,0,9,0,6,0,6,1,0,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgsender\BdYunMsgSender.java,com.fangxuele.tool.push.logic.msgsender.BdYunMsgSender,class,11,13,2,11,10,1,0,20,0,0.375,0.0,0.0,4,1,3,1,0,0,3,0,0,0,2,1,1,1,0,0,0,0,1,58,4,0,3,1,0,0,1,14,0,13,3,0,0,0,50,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgmaker\YunPianMsgMaker.java,com.fangxuele.tool.push.logic.msgmaker.YunPianMsgMaker,class,5,7,2,5,2,2,0,6,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,2,13,1,0,0,0,0,0,1,4,0,4,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\dao\TMsgDingMapper.java,com.fangxuele.tool.push.dao.TMsgDingMapper,interface,2,5,3,2,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgsender\HttpMsgSender.java,com.fangxuele.tool.push.logic.msgsender.HttpMsgSender,class,18,21,3,18,70,1,0,74,16,0.6666667,0.0,0.0,8,2,6,2,0,0,6,0,0,0,3,2,2,1,0,0,0,0,4,248,14,8,14,4,0,25,4,44,1,31,4,0,0,0,63,1,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\WePush\src\main\java\com\fangxuele\tool\push\logic\msgsender\MsgSenderFactory.java,com.fangxuele.tool.push.logic.msgsender.MsgSenderFactory,class,19,23,4,19,18,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,0,0,0,0,18,0,1,1,0,0,0,31,1,0
