file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\SplineChart03View.java,com.demo.xclcharts.view.SplineChart03View$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,2,0,1,1,1,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\renderer\axis\DataAxis.java,org.xclcharts.renderer.axis.DataAxis,class,1,56,55,1,19,3,1,1,104,0.8487395,0.0,0.0,17,0,17,0,0,0,17,0,0,0,7,0,0,6,1,0,0,0,1,64,8,0,1,0,2,0,7,16,0,7,1,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\BarChart3D02View.java,com.demo.xclcharts.view.BarChart3D02View,class,26,28,2,26,15,5,0,61,27,0.70454544,0.0,0.0,11,0,5,5,1,0,6,0,0,0,4,0,0,4,0,0,0,0,2,112,2,0,2,2,0,13,24,10,1,10,1,2,0,0,71,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\BarChart10View.java,com.demo.xclcharts.view.BarChart10View$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,2,0,2,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\BarChart10View.java,com.demo.xclcharts.view.BarChart10View$Anonymous1,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,1,1,0,3,0,3,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\chart\BarChart.java,org.xclcharts.chart.BarChart,class,29,54,25,29,142,4,2,100,688,0.8928572,0.0,0.0,40,0,20,0,20,0,40,0,0,0,7,1,0,6,1,0,1,0,11,511,40,8,44,0,7,5,80,179,28,104,4,0,0,0,141,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\BarChart03View.java,com.demo.xclcharts.view.BarChart03View,class,21,23,2,21,20,5,0,73,50,0.8,0.0,0.0,13,0,5,7,1,0,6,0,0,0,5,0,0,5,0,0,0,0,4,170,1,3,0,4,1,17,50,22,3,22,4,2,0,0,84,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\event\click\PositionRecord.java,org.xclcharts.event.click.PositionRecord,class,0,35,35,0,11,1,2,0,9,0.5714286,0.0,0.0,7,0,4,0,3,0,7,1,0,0,2,0,0,0,2,0,0,0,0,26,4,0,2,0,0,0,8,7,0,3,1,0,0,0,14,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\BarChart11View.java,com.demo.xclcharts.view.BarChart11View,class,26,28,2,26,16,5,0,80,27,0.72727275,0.0,0.0,11,0,5,5,1,0,6,0,0,0,4,0,0,4,0,0,0,0,3,143,2,0,3,2,0,13,51,11,3,11,1,2,0,0,65,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\event\click\ChartBarListener.java,org.xclcharts.event.click.ChartBarListener,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\event\click\ArcPosition.java,org.xclcharts.event.click.ArcPosition,class,4,15,11,4,15,2,1,8,31,0.79999995,0.0,0.0,10,0,8,1,1,0,9,0,0,0,6,0,0,0,6,0,0,0,8,46,10,0,5,0,0,0,9,10,0,9,2,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\SplineChart05View.java,com.demo.xclcharts.view.SplineChart05View,class,32,34,2,32,23,5,0,97,30,0.7833333,0.0,0.0,12,0,5,6,1,0,6,0,0,0,5,0,0,4,0,1,0,0,2,174,3,1,3,2,0,10,58,24,3,24,3,0,0,0,81,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\renderer\LnChart.java,org.xclcharts.renderer.LnChart,class,25,46,21,25,88,4,5,70,112,0.8854167,0.0,0.0,16,0,7,2,7,0,14,0,0,0,6,1,0,3,3,0,1,0,16,289,21,3,26,0,3,5,95,89,33,45,4,0,0,0,109,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\SpinnerActivity.java,com.demo.xclcharts.SpinnerActivity$Anonymous1,anonymous,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\renderer\axis\CategoryAxisRender.java,org.xclcharts.renderer.axis.CategoryAxisRender,class,5,17,12,5,9,4,0,7,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,1,0,0,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\view\CircleChart02View.java,com.demo.xclcharts.view.CircleChart02View,class,9,14,5,9,11,3,0,18,13,0.67857146,0.0,0.0,7,0,6,0,1,0,7,0,0,0,4,0,0,4,0,0,0,0,1,62,0,0,0,2,0,6,23,10,1,5,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\CircleChartActivity.java,com.demo.xclcharts.CircleChartActivity,class,13,15,2,13,6,2,0,16,6,0.75,0.0,0.0,4,0,2,1,1,0,3,0,0,0,4,0,0,0,0,4,0,0,0,62,2,0,0,0,0,3,6,13,4,9,1,1,0,0,53,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\renderer\axis\Axis.java,org.xclcharts.renderer.axis.Axis,class,2,58,56,2,24,1,2,8,178,0.88095236,0.0,0.0,21,0,18,3,0,0,18,0,0,0,8,0,0,8,0,0,0,0,0,91,8,0,3,0,0,0,4,20,0,8,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\lib\src\main\java\org\xclcharts\common\DrawHelper.java,org.xclcharts.common.DrawHelper,class,12,48,36,12,44,1,0,36,196,0.8928572,0.0,0.0,21,1,18,3,0,0,18,0,0,1,4,1,0,4,0,0,0,0,2,193,13,1,9,2,3,3,42,30,37,15,3,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XCL-Charts\demo\src\main\java\com\demo\xclcharts\DialChart2Activity.java,com.demo.xclcharts.DialChart2Activity$Anonymous1,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,4,5,5,5,0,0,0,0,11,-1,0
