file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous10$Anonymous11,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,0,0,0,0,0,0,1,1,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous15$Anonymous16,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous8,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous6,anonymous,3,3,0,3,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous13$Anonymous14,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous8$Anonymous9,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\library\src\main\java\com\hjq\permissions\XXPermissions.java,com.hjq.permissions.XXPermissions,class,17,26,9,17,92,1,0,55,1447,0.94545454,0.0,0.0,55,46,53,2,0,0,53,0,0,0,7,3,1,6,0,0,2,0,93,313,44,1,14,1,1,2,7,28,1,24,2,1,0,0,66,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous26,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous1,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\XXPermissions\app\src\main\java\com\hjq\permissions\demo\MainActivity.java,com.hjq.permissions.demo.MainActivity$Anonymous27,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
