file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-driver\src\main\java\io\aeron\driver\PublicationParams.java,io.aeron.driver.PublicationParams,class,8,14,6,8,71,1,0,45,74,0.82142866,0.0,0.0,20,9,1,11,0,8,9,0,0,0,14,0,0,0,0,14,0,0,27,205,4,0,29,1,6,71,16,55,25,36,3,0,0,0,130,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-cluster\src\main\java\io\aeron\cluster\ClusterBackup.java,io.aeron.cluster.ClusterBackup$SourceType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-archive\src\test\java\io\aeron\archive\ControlSessionDemuxerV6Test.java,io.aeron.archive.ControlSessionDemuxerV6Test,class,20,21,1,20,4,1,0,37,0,0.17857143,0.0,0.0,4,0,0,1,0,3,3,0,0,0,7,2,2,5,0,0,7,0,0,62,0,0,0,0,0,6,34,31,0,31,0,0,0,0,77,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-cluster\src\main\java\io\aeron\cluster\service\BoundedLogAdapter.java,io.aeron.cluster.service.BoundedLogAdapter,class,19,21,2,19,27,1,0,49,10,0.8290599,0.0,0.0,9,0,2,1,0,6,8,0,0,0,13,0,0,13,0,0,11,0,1,113,6,0,8,0,3,3,2,23,12,20,3,0,0,0,91,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-client\src\test\java\io\aeron\ClientConductorTest.java,io.aeron.ClientConductorTest$PrintError,innerclass,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-cluster\src\main\java\io\aeron\cluster\ConsensusModuleSnapshotTaker.java,io.aeron.cluster.ConsensusModuleSnapshotTaker,class,17,20,3,17,16,2,0,38,21,0.85714287,0.0,0.0,7,0,2,1,0,4,6,0,0,0,6,1,0,6,0,0,6,0,0,78,1,4,0,0,0,0,6,15,4,15,3,0,0,0,66,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-client\src\test\java\io\aeron\CommonContextTest.java,io.aeron.CommonContextTest,class,12,12,0,12,10,1,0,38,43,0.8,0.0,0.0,10,0,0,0,0,10,10,0,0,0,1,0,0,1,0,0,0,0,21,103,0,0,0,4,0,16,4,24,1,27,1,0,0,2,119,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-archive\src\test\java\io\aeron\archive\ArchiveCountersTest.java,io.aeron.archive.ArchiveCountersTest,class,12,12,0,12,5,1,0,28,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,7,57,0,0,0,0,0,11,25,20,9,26,1,0,0,6,80,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-driver\src\main\java\io\aeron\driver\CongestionControlSupplier.java,io.aeron.driver.CongestionControlSupplier,interface,5,10,5,5,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-client\src\main\java\io\aeron\security\NullCredentialsSupplier.java,io.aeron.security.NullCredentialsSupplier,class,2,6,4,2,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,9,2,0,0,0,0,0,0,1,0,1,0,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-archive\src\test\java\io\aeron\archive\checksum\Crc32Test.java,io.aeron.archive.checksum.Crc32Test,class,3,3,0,3,2,1,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,1,5,9,2,9,1,0,0,1,21,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aeron\aeron-system-tests\src\test\java\io\aeron\cluster\FailedFirstElectionClusterTest.java,io.aeron.cluster.FailedFirstElectionClusterTest$FailFirstElectionIntercept,innerclass,4,4,0,4,3,1,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,2,1,1,1,1,1,0,0,0,16,9,0
