file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous2,anonymous,2,2,0,2,6,1,0,6,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous1,anonymous,0,0,0,0,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$BackupType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous4,anonymous,4,4,0,4,2,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,3,1,5,2,6,2,1,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous3,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\EntryThumbnail.java,org.shadowice.flocke.andotp.Utilities.EntryThumbnail$AssetType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\FileHelper.java,org.shadowice.flocke.andotp.Utilities.FileHelper,class,1,3,2,1,3,1,0,5,1,0.0,0.0,0.0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,1,2,1,0,3,5,0,5,2,0,0,0,21,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity,class,55,62,7,55,170,4,0,184,321,0.917857,0.0,0.0,35,0,12,17,6,0,18,0,0,0,24,4,1,23,0,0,3,0,10,680,12,7,74,2,5,11,14,87,2,75,4,8,1,7,258,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$AuthMethod,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\AutoFillable\AutoFillableTextInputEditText.java,org.shadowice.flocke.andotp.View.AutoFillable.AutoFillableTextInputEditText$AutoFillTextListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Settings.java,org.shadowice.flocke.andotp.Utilities.Settings,class,21,56,35,21,139,1,0,107,4273,0.9183673,0.0,0.0,98,0,85,13,0,0,85,0,0,0,4,2,0,4,0,0,4,0,29,464,76,1,11,4,0,76,6,58,0,49,3,0,0,0,188,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$ProcessLifecycleObserver,innerclass,4,4,0,4,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Dialogs\ManualEntryDialog.java,org.shadowice.flocke.andotp.Dialogs.ManualEntryDialog$UpdateCallback,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\EntryViewHolder.java,org.shadowice.flocke.andotp.View.EntryViewHolder$Anonymous1,anonymous,3,3,0,3,2,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,2,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\BackupHelper.java,org.shadowice.flocke.andotp.Utilities.BackupHelper$BackupFile,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,7,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\AboutActivity.java,org.shadowice.flocke.andotp.Activities.AboutActivity,class,9,10,1,9,3,5,0,12,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0,0,0,0,0,0,6,0,6,0,0,1,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$TapMode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous6,anonymous,3,3,0,3,6,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,4,0,0,0,0,0,0,0,1,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous5,anonymous,1,1,0,1,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\ItemTouchHelper\ItemTouchHelperViewHolder.java,org.shadowice.flocke.andotp.View.ItemTouchHelper.ItemTouchHelperViewHolder,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\IntroScreenActivity.java,org.shadowice.flocke.andotp.Activities.IntroScreenActivity$EncryptionFragment$EncryptionChangedCallback,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous8,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\MainActivity.java,org.shadowice.flocke.andotp.Activities.MainActivity$Anonymous7,anonymous,1,1,0,1,4,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\EntryThumbnail.java,org.shadowice.flocke.andotp.Utilities.EntryThumbnail$EntryThumbnails,enum,2,2,0,2,10,1,0,7,5,0.5,0.0,0.0,6,2,4,0,0,2,6,0,0,0,2,0,0,2,0,0,2,0,4,28,4,2,0,0,0,2,0,5,1,3,2,0,0,0,430,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$SearchIncludes,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Tasks\GenericBackupTask.java,org.shadowice.flocke.andotp.Tasks.GenericBackupTask,class,12,16,4,12,7,2,3,10,4,0.5,0.0,0.0,4,0,1,0,3,0,4,2,0,0,4,0,0,0,4,0,3,0,5,30,3,0,2,0,0,0,0,9,0,7,2,0,0,0,22,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\EntryViewHolder.java,org.shadowice.flocke.andotp.View.EntryViewHolder$AdapterPositionSafeCallbackConsumer,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\BackupActivity.java,org.shadowice.flocke.andotp.Activities.BackupActivity$Anonymous1,anonymous,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\EntryViewHolder.java,org.shadowice.flocke.andotp.View.EntryViewHolder$Callback,interface,1,1,0,1,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Tasks\EncryptedBackupTask.java,org.shadowice.flocke.andotp.Tasks.EncryptedBackupTask,class,9,12,3,9,3,3,0,2,1,0.33333334,0.0,0.0,3,0,1,0,2,0,3,0,0,0,2,0,0,2,0,0,2,0,2,16,2,0,0,0,0,0,0,3,0,3,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\IntroScreenActivity.java,org.shadowice.flocke.andotp.Activities.IntroScreenActivity$IntroFinishedFragment$SaveSettingsCallback,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\BackupActivity.java,org.shadowice.flocke.andotp.Activities.BackupActivity,class,39,42,3,39,122,5,0,103,430,0.9184028,0.0,0.0,32,0,6,20,5,1,12,0,0,0,18,1,0,18,0,0,1,0,15,456,5,0,51,3,0,5,7,63,0,64,5,1,0,6,174,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Dialogs\HideableDialog.java,org.shadowice.flocke.andotp.Dialogs.HideableDialog,class,13,15,2,13,10,2,0,11,0,0.25,0.0,0.0,4,1,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,33,0,0,4,0,0,0,1,7,0,7,1,0,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Tasks\UiBasedBackgroundTask.java,org.shadowice.flocke.andotp.Tasks.UiBasedBackgroundTask$UiCallback,interface,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Tasks\EncryptedRestoreTask.java,org.shadowice.flocke.andotp.Tasks.EncryptedRestoreTask,class,8,9,1,8,5,3,0,10,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,0,0,2,0,0,2,0,11,40,2,0,0,1,0,1,1,16,2,13,2,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Receivers\BackupBroadcastReceiver.java,org.shadowice.flocke.andotp.Receivers.BackupBroadcastReceiver,class,3,5,2,3,1,2,2,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,0,1,0,0,0,0,9,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\SecretKeyWrapper.java,org.shadowice.flocke.andotp.Utilities.SecretKeyWrapper,class,2,3,1,2,3,1,0,6,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,1,16,2,0,0,0,0,2,0,2,0,2,0,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\ThemedActivity.java,org.shadowice.flocke.andotp.Activities.ThemedActivity,class,7,9,2,7,3,2,1,15,1,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,2,22,0,0,0,0,0,0,0,5,0,4,0,0,0,0,25,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\SettingsActivity.java,org.shadowice.flocke.andotp.Activities.SettingsActivity$SettingsFragment,innerclass,21,21,0,21,31,2,0,48,2,0.72307694,0.0,0.0,5,0,5,0,0,0,5,0,0,0,13,0,0,9,0,4,0,0,1,159,6,0,17,0,5,1,0,25,0,39,5,0,0,8,79,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\androidTest\java\org\shadowice\flocke\andotp\ApplicationTest.java,org.shadowice.flocke.andotp.ApplicationTest,class,11,11,0,11,11,1,0,34,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,39,126,0,1,0,4,0,79,81,28,5,25,1,0,0,0,83,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\PanicResponderActivity.java,org.shadowice.flocke.andotp.Activities.PanicResponderActivity,class,6,6,0,6,5,2,0,10,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,2,17,0,0,1,0,0,3,0,4,0,4,2,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\IntroScreenActivity.java,org.shadowice.flocke.andotp.Activities.IntroScreenActivity$EncryptionFragment,innerclass,13,13,0,13,6,2,0,13,4,0.65000004,0.0,0.0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,1,41,2,1,0,0,0,0,1,8,0,7,1,1,1,0,33,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$NotificationChannel,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Tasks\BackupTaskResult.java,org.shadowice.flocke.andotp.Tasks.BackupTaskResult,class,4,14,10,4,4,1,0,0,0,0.5,0.0,0.0,4,2,4,0,0,0,4,0,0,0,7,0,7,0,0,0,4,0,0,31,2,0,0,0,0,0,0,14,0,7,0,0,1,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\View\EntriesCardAdapter.java,org.shadowice.flocke.andotp.View.EntriesCardAdapter$Callback,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Utilities\Constants.java,org.shadowice.flocke.andotp.Utilities.Constants$TagFunctionality,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Database\EntryList.java,org.shadowice.flocke.andotp.Database.EntryList$MostUsedComparator,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\andOTP\app\src\main\java\org\shadowice\flocke\andotp\Activities\IntroScreenActivity.java,org.shadowice.flocke.andotp.Activities.IntroScreenActivity$AuthenticationFragment$Anonymous3,anonymous,4,4,0,4,8,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,6,0,0,0,0,2,0,2,0,0,0,0,14,-1,0
