file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\example\src\main\java\com\h6ah4i\android\example\advrecyclerview\demo_wa_insertion\CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],false,41,8,3,0,3,2,7,18,0,5,1,7,0,0,0,0,0,0,0,0,7,0,1,0,0,1,35,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\example\src\main\java\com\h6ah4i\android\example\advrecyclerview\demo_wa_insertion\CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],false,69,4,1,0,1,1,10,8,1,4,1,10,0,0,0,0,0,0,0,0,2,0,0,0,0,1,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,getStart/0,false,34,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,"ItemDraggableRange/2[int,int]",true,25,0,5,5,0,2,0,7,0,0,2,0,0,0,0,0,0,1,3,0,2,1,1,0,0,0,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,getClassName/0,false,47,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,toString/0,false,53,2,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,3,0,0,1,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,checkInRange/1[int],false,42,0,5,5,0,3,0,3,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\draggable\ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,getEnd/0,false,38,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\example\src\main\java\com\h6ah4i\android\example\advrecyclerview\demo_d_staggered_grid\DraggableStaggeredGridExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.DraggableStaggeredGridExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.Bundle],false,33,3,2,0,2,2,6,8,0,0,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\example\src\main\java\com\h6ah4i\android\example\advrecyclerview\demo_d_staggered_grid\DraggableStaggeredGridExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.DraggableStaggeredGridExampleActivity,getDataProvider/0,false,47,3,2,1,1,1,3,4,1,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\swipeable\SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,"SwipingItemOperator/4[com.h6ah4i.android.widget.advrecyclerview.swipeable.RecyclerViewSwipeManager,RecyclerView.ViewHolder,int,boolean]",true,57,5,7,1,6,1,8,14,0,0,4,8,1,1,0,0,0,0,0,0,12,0,0,0,0,0,23,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\swipeable\SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,start/0,false,74,2,4,1,3,1,6,7,0,3,0,6,1,1,0,0,0,2,0,2,5,4,0,0,0,0,25,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-advancedrecyclerview\library\src\main\java\com\h6ah4i\android\widget\advrecyclerview\swipeable\SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,"clip/3[int,int,int]",false,149,0,1,1,0,1,2,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,false
