file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,class,16,21,5,16,35,1,0,36,201,0.90468216,0.0,0.0,26,0,19,3,4,0,23,0,0,0,23,2,2,21,0,0,7,0,9,240,7,1,7,0,2,0,44,42,24,37,2,5,0,0,106,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageSepiaToneFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageSepiaToneFilter,class,2,2,0,2,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageColorBurnBlendFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageColorBurnBlendFilter,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,13,0,1,1,1,0,0,0,0,44,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageDilationFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageDilationFilter,class,2,3,1,2,13,5,0,2,10,0.8000001,0.0,0.0,5,2,2,3,0,0,2,0,0,0,8,8,8,0,0,0,8,0,2,45,8,0,0,0,0,216,9,8,8,8,1,0,0,0,99,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageRGBFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageRGBFilter,class,2,3,1,2,7,2,0,8,1,0.6734694,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,1,1,6,0,0,1,0,0,42,0,0,0,0,0,17,3,10,1,7,0,0,0,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\GPUImage.java,jp.co.cyberagent.android.gpuimage.GPUImage$ResponseListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\GPUImageView.java,jp.co.cyberagent.android.gpuimage.GPUImageView$LoadingView,innerclass,7,7,0,7,4,2,0,5,6,0.0,0.0,0.0,4,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageOverlayBlendFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageOverlayBlendFilter,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,34,0,1,1,1,0,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter$Anonymous6,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-gpuimage\library\src\main\java\jp\co\cyberagent\android\gpuimage\filter\GPUImageBoxBlurFilter.java,jp.co.cyberagent.android.gpuimage.filter.GPUImageBoxBlurFilter,class,3,4,1,3,6,5,0,3,0,0.6111111,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,2,2,1,0,0,2,0,0,31,2,0,0,0,0,45,1,4,2,3,0,1,0,0,76,1,0
