file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-sample\src\main\java\com\joanzapata\iconify\sample\IconAdapter.java,com.joanzapata.iconify.sample.IconAdapter$ViewHolder,innerclass,4,4,0,4,1,2,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-sample\src\main\java\com\joanzapata\iconify\sample\MainActivity.java,com.joanzapata.iconify.sample.MainActivity,class,8,8,0,8,1,2,0,7,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,3,0,0,0,0,3,0,0,1,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-sample\src\main\java\com\joanzapata\iconify\sample\IconAdapter.java,com.joanzapata.iconify.sample.IconAdapter,class,6,7,1,6,4,2,0,5,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,26,2,0,0,0,0,2,0,3,1,3,0,0,1,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-material-community\src\main\java\com\joanzapata\iconify\fonts\MaterialCommunityIcons.java,com.joanzapata.iconify.fonts.MaterialCommunityIcons,enum,0,1,1,0,3,1,0,2,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,959,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify\src\main\java\com\joanzapata\iconify\Iconify.java,com.joanzapata.iconify.Iconify$IconifyInitializer,innerclass,3,3,0,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-sample\src\main\java\com\joanzapata\iconify\sample\FontIconsViewPagerAdapter.java,com.joanzapata.iconify.sample.FontIconsViewPagerAdapter,class,12,13,1,12,7,2,0,14,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,33,4,0,1,0,0,0,0,6,1,6,0,0,1,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify\src\main\java\com\joanzapata\iconify\internal\ParsingUtil.java,com.joanzapata.iconify.internal.ParsingUtil$Anonymous1$Anonymous2,anonymous,0,0,0,0,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-ionicons\src\main\java\com\joanzapata\iconify\fonts\IoniconsIcons.java,com.joanzapata.iconify.fonts.IoniconsIcons,enum,0,1,1,0,3,1,0,2,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,417,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-material\src\main\java\com\joanzapata\iconify\fonts\MaterialModule.java,com.joanzapata.iconify.fonts.MaterialModule,class,3,4,1,3,2,1,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-iconify\android-iconify-sample\src\main\java\com\joanzapata\iconify\sample\FontIconsViewPagerAdapter.java,com.joanzapata.iconify.sample.FontIconsViewPagerAdapter$FontWithTitle,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
