file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\android\support\v7\viewpager\R.java,android.support.v7.viewpager.R$dimen,dimen/0,true,37,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\android\support\loader\R.java,android.support.loader.R$drawable,drawable/0,true,63,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\android\support\fragment\R.java,android.support.fragment.R$integer,integer/0,true,127,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\androidx\versionedparcelable\R.java,androidx.versionedparcelable.R,R/0,true,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\module_news\src\main\java\com\fly\tour\news\mvvm\model\NewsDetailModel.java,com.fly.tour.news.mvvm.model.NewsDetailModel,NewsDetailModel/1[com.fly.tour.news.mvvm.model.Application],true,27,2,3,1,2,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\module_news\src\main\java\com\fly\tour\news\mvvm\model\NewsDetailModel.java,com.fly.tour.news.mvvm.model.NewsDetailModel,getNewsDetailById/1[int],false,32,5,4,1,3,1,4,3,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_common\src\main\java\com\fly\tour\common\event\common\BaseActivityEvent.java,com.fly.tour.common.event.common.BaseActivityEvent,BaseActivityEvent/1[int],true,13,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\android\support\fragment\R.java,android.support.fragment.R$attr,attr/0,true,13,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_fly_db\build\generated\not_namespaced_r_class_sources\debug\generateDebugRFile\out\android\support\compat\R.java,android.support.compat.R$dimen,dimen/0,true,37,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_refresh_layout\src\main\java\com\refresh\lib\SuperSwipeRefreshLayout.java,com.refresh.lib.SuperSwipeRefreshLayout$OnPushLoadMoreListener,onPushDistance/1[int],false,1231,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_refresh_layout\src\main\java\com\refresh\lib\SuperSwipeRefreshLayout.java,com.refresh.lib.SuperSwipeRefreshLayout$OnPushLoadMoreListener,onLoadMore/0,false,1229,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-mvp-mvvm-flytour\lib_refresh_layout\src\main\java\com\refresh\lib\SuperSwipeRefreshLayout.java,com.refresh.lib.SuperSwipeRefreshLayout$OnPushLoadMoreListener,onPushEnable/1[boolean],false,1233,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
