file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\androidTest\java\com\mobsandgeeks\saripaar\tests\QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,class,4,4,0,4,7,2,0,7,0,0.14285715,0.0,0.0,7,0,6,0,1,0,7,0,0,0,1,0,0,1,0,0,0,0,18,38,0,0,0,0,0,1,0,2,0,2,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\main\java\com\mobsandgeeks\saripaar\tests\ui\CustomAnnotationActivity.java,com.mobsandgeeks.saripaar.tests.ui.CustomAnnotationActivity$Anonymous1,anonymous,3,3,0,3,2,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\androidTest\java\com\mobsandgeeks\saripaar\tests\UnorderedSequencingTest.java,com.mobsandgeeks.saripaar.tests.UnorderedSequencingTest,class,4,4,0,4,5,2,0,9,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,6,26,0,1,0,0,0,7,0,4,0,4,1,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\androidTest\java\com\mobsandgeeks\saripaar\tests\Constants.java,com.mobsandgeeks.saripaar.tests.Constants,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,19,0,0,0,0,0,17,0,17,0,17,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\main\java\com\mobsandgeeks\saripaar\tests\ui\UnorderedValidateActivity.java,com.mobsandgeeks.saripaar.tests.ui.UnorderedValidateActivity,class,15,16,1,15,6,2,0,9,0,0.625,0.0,0.0,4,0,3,0,1,0,4,0,0,0,6,0,0,6,0,0,0,0,1,49,0,0,0,0,0,0,2,8,0,8,1,1,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\main\java\com\mobsandgeeks\saripaar\tests\ui\ValidateInvisibleViewsActivity.java,com.mobsandgeeks.saripaar.tests.ui.ValidateInvisibleViewsActivity,class,15,16,1,15,8,2,0,11,0,0.55,0.0,0.0,5,0,4,0,1,0,5,0,0,0,4,0,0,4,0,0,0,0,0,45,0,0,0,0,0,0,0,8,0,8,1,0,0,0,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar\src\main\java\com\mobsandgeeks\saripaar\Validator.java,com.mobsandgeeks.saripaar.Validator,class,60,93,33,60,135,2,0,100,899,0.92546576,0.0,0.0,46,4,19,26,0,1,21,0,0,1,14,1,0,14,0,0,2,0,22,520,23,13,38,3,2,27,22,139,5,116,5,1,5,0,321,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar\src\main\java\com\mobsandgeeks\saripaar\rule\AssertTrueRule.java,com.mobsandgeeks.saripaar.rule.AssertTrueRule,class,2,2,0,2,3,3,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,1,0,0,1,0,0,0,0,1,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar\src\main\java\com\mobsandgeeks\saripaar\rule\CheckedRule.java,com.mobsandgeeks.saripaar.rule.CheckedRule,class,2,2,0,2,4,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,1,0,0,0,0,1,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-saripaar\saripaar-tests\src\androidTest\java\com\mobsandgeeks\saripaar\tests\CustomViewDataAdapterTest.java,com.mobsandgeeks.saripaar.tests.CustomViewDataAdapterTest,class,4,4,0,4,4,2,0,6,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,7,21,0,0,0,0,0,2,0,1,0,1,0,0,0,0,18,1,0
