file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$BadgeAdapter,innerclass,8,8,0,8,7,2,0,12,8,0.6666667,0.0,0.0,5,0,5,0,0,0,5,0,0,0,3,1,0,3,0,0,1,0,1,46,4,0,2,0,0,1,2,8,1,4,1,0,1,0,24,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$BadgeAdapter$ViewHolder,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity,class,11,11,0,11,2,3,0,20,1,0.5277778,0.0,0.0,2,0,1,0,1,0,2,0,0,0,18,1,0,1,0,17,1,0,0,215,0,0,0,0,0,24,6,38,0,24,0,9,1,0,49,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\com\readystatesoftware\viewbadger\BadgeView.java,com.readystatesoftware.viewbadger.BadgeView,class,18,30,12,18,49,2,0,39,447,0.92467535,0.0,0.0,35,0,27,8,0,0,27,0,0,0,22,13,5,17,0,0,11,0,2,242,10,0,6,1,4,1,32,56,1,37,2,0,0,0,173,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\Cheeses.java,viewbadger.demo.Cheeses,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,654,0,1,0,1,0,0,0,0,95,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$Anonymous9,anonymous,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\android-viewbadger\src\viewbadger\demo\DemoActivity.java,viewbadger.demo.DemoActivity$Anonymous8,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
