file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\MorphTransitionsActivity.java,com.hitherejoe.animate.ui.activity.MorphTransitionsActivity,class,9,11,2,9,5,3,0,11,6,0.0,0.0,0.0,4,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,1,0,0,0,0,5,0,5,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\util\AnimUtils.java,com.hitherejoe.animate.util.AnimUtils$FloatProperty,innerclass,3,3,0,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1033,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\WindowTransitionsActivityExplode.java,com.hitherejoe.animate.ui.activity.WindowTransitionsActivityExplode,class,9,11,2,9,4,3,0,12,3,0.6666667,NaN,NaN,3,0,0,2,1,0,1,0,0,0,3,0,0,1,0,2,0,0,0,30,0,0,1,0,0,0,0,3,0,5,1,1,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\util\MorphButtonToDialog.java,com.hitherejoe.animate.util.MorphButtonToDialog,class,11,13,2,11,18,2,0,24,5,0.61904764,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,2,0,3,0,0,2,0,0,56,6,1,5,0,0,1,14,17,1,15,2,0,0,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\GridAdapter.java,com.hitherejoe.animate.ui.adapter.GridAdapter$ViewHolder,innerclass,5,5,0,5,3,2,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,1,0,1,1,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\MainActivity.java,com.hitherejoe.animate.ui.activity.MainActivity,class,8,9,1,8,2,3,0,8,1,0.5,NaN,NaN,2,0,0,1,1,0,1,0,0,0,2,0,0,1,0,1,0,0,0,51,0,0,0,0,0,0,0,3,0,4,0,1,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\widget\ForegroundFrame.java,com.hitherejoe.animate.ui.widget.ForegroundFrame,class,15,20,5,15,11,3,0,23,47,0.77272725,0.0,0.0,11,0,5,6,0,0,5,0,0,0,2,1,0,2,0,0,2,0,0,107,1,0,0,0,0,1,10,9,4,9,0,3,1,0,77,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\CircularRevealActivity.java,com.hitherejoe.animate.ui.activity.CircularRevealActivity,class,20,22,2,20,9,3,0,32,11,0.77777773,0.0,0.0,6,0,2,3,1,0,3,0,0,0,6,0,0,3,0,3,0,0,2,73,0,0,2,0,2,0,7,10,4,12,1,2,0,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\AnimationApisAdapter.java,com.hitherejoe.animate.ui.adapter.AnimationApisAdapter,class,8,9,1,8,4,2,0,5,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,35,2,0,0,0,0,0,0,3,0,3,0,0,2,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\SharedTransitionInToolbarActivity.java,com.hitherejoe.animate.ui.activity.SharedTransitionInToolbarActivity,class,7,8,1,7,3,3,0,10,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,2,0,3,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\widget\GridRecyclerView.java,com.hitherejoe.animate.ui.widget.GridRecyclerView,class,7,8,1,7,7,2,0,10,8,0.6,0.0,0.0,5,0,3,1,1,0,4,0,0,0,2,0,0,2,0,0,0,0,1,33,0,0,1,0,0,0,6,6,1,5,1,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\GridAdapter.java,com.hitherejoe.animate.ui.adapter.GridAdapter,class,8,9,1,8,4,2,0,5,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,34,2,0,0,0,0,0,0,3,0,3,0,0,2,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\PopupActivity.java,com.hitherejoe.animate.ui.activity.PopupActivity,class,15,17,2,15,11,2,0,25,19,0.82857144,0.0,0.0,7,1,5,0,2,0,7,0,0,0,5,3,3,1,0,1,3,0,0,73,1,0,2,0,0,3,4,18,0,17,1,0,0,0,76,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\util\MorphDialogToFab.java,com.hitherejoe.animate.util.MorphDialogToFab,class,12,14,2,12,20,2,0,27,5,0.60714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,3,0,4,0,0,3,0,1,66,6,1,7,0,0,2,11,19,2,18,2,0,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\SharedTransitionsActivity.java,com.hitherejoe.animate.ui.activity.SharedTransitionsActivity,class,14,15,1,14,4,3,0,11,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,0,0,3,0,0,0,27,0,0,1,0,0,0,0,8,0,11,1,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\WindowTransitionsActivity.java,com.hitherejoe.animate.ui.activity.WindowTransitionsActivity,class,10,12,2,10,9,3,0,11,28,0.875,0.0,0.0,8,0,6,1,1,0,7,0,0,0,1,0,0,0,0,1,0,0,0,45,0,0,1,0,0,0,0,8,0,9,1,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\FrameAdapter.java,com.hitherejoe.animate.ui.adapter.FrameAdapter,class,6,8,2,6,7,2,0,5,3,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,22,5,1,0,0,0,0,1,2,0,2,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\util\MorphDialogToButton.java,com.hitherejoe.animate.util.MorphDialogToButton,class,12,14,2,12,18,2,0,24,5,0.7142857,0.0,0.0,7,0,7,0,0,0,7,0,0,0,4,3,0,4,0,0,3,0,1,61,6,1,5,0,0,2,11,16,1,15,2,0,0,0,60,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\SharedTransitionsInActionbarActivity.java,com.hitherejoe.animate.ui.activity.SharedTransitionsInActionbarActivity,class,5,6,1,5,3,3,0,9,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,2,0,2,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\GridAdapter.java,com.hitherejoe.animate.ui.adapter.GridAdapter$OnRecyclerItemClick,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\ViewPropertyAnimatorActivity.java,com.hitherejoe.animate.ui.activity.ViewPropertyAnimatorActivity,class,24,26,2,24,27,3,0,30,11,0.78571427,0.0,0.0,6,0,2,3,1,0,3,0,0,0,7,0,0,0,0,7,0,0,0,82,12,0,5,0,0,0,27,6,0,13,1,0,0,0,65,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\TransitionInActivity.java,com.hitherejoe.animate.ui.activity.TransitionInActivity,class,7,8,1,7,9,3,0,13,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,8,7,7,0,0,1,7,0,0,48,0,0,1,0,0,7,0,15,0,16,1,0,0,0,59,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\AnimationApisAdapter.java,com.hitherejoe.animate.ui.adapter.AnimationApisAdapter$ViewHolder,innerclass,5,5,0,5,3,2,0,3,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,14,0,0,1,0,0,0,0,2,0,2,1,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\util\ApiLevelHelper.java,com.hitherejoe.animate.util.ApiLevelHelper,class,0,1,1,0,4,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\AnimatedVectorDrawablesActivity.java,com.hitherejoe.animate.ui.activity.AnimatedVectorDrawablesActivity,class,8,10,2,8,7,3,0,9,2,0.5625,0.0,0.0,4,0,2,1,1,0,3,0,0,0,8,0,0,6,0,2,0,0,0,38,0,0,1,0,0,0,0,11,0,11,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\CircularRevealActivity.java,com.hitherejoe.animate.ui.activity.CircularRevealActivity$Anonymous1,anonymous,1,1,0,1,4,1,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\ObjectAnimatorActivity.java,com.hitherejoe.animate.ui.activity.ObjectAnimatorActivity,class,7,10,3,7,7,3,0,11,0,0.11111111,0.0,0.0,3,0,1,1,1,0,2,0,0,0,3,0,0,2,0,1,0,0,0,30,0,0,1,0,0,0,2,4,0,4,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\CircularRevealActivity.java,com.hitherejoe.animate.ui.activity.CircularRevealActivity$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\widget\ForegroundFrame.java,com.hitherejoe.animate.ui.widget.ForegroundFrame$Anonymous1$Anonymous2,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\adapter\AnimationApisAdapter.java,com.hitherejoe.animate.ui.adapter.AnimationApisAdapter$OnRecyclerItemClick,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\animate\app\src\main\java\com\hitherejoe\animate\ui\activity\SharedTransitionToolbarActivity.java,com.hitherejoe.animate.ui.activity.SharedTransitionToolbarActivity,class,7,8,1,7,3,3,0,10,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,2,0,3,1,0,0,0,30,1,0
