file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\live\InsertLiveChatMessage.java,com.google.api.services.samples.youtube.cmdline.live.InsertLiveChatMessage,class,7,7,0,7,7,1,0,24,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,5,46,0,0,3,1,0,12,6,10,5,10,2,0,0,0,98,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\AddSubscription.java,com.google.api.services.samples.youtube.cmdline.data.AddSubscription,class,7,8,1,7,6,1,0,26,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2,46,1,0,0,1,0,17,1,13,6,11,1,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\ChannelBulletin.java,com.google.api.services.samples.youtube.cmdline.data.ChannelBulletin,class,10,10,0,10,5,1,0,39,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,0,0,2,54,0,0,2,1,0,17,1,16,6,16,3,0,0,0,97,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\UpdateVideo.java,com.google.api.services.samples.youtube.cmdline.data.UpdateVideo,class,7,8,1,7,10,1,0,31,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,4,67,3,0,1,1,0,23,5,21,8,17,2,0,0,0,87,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\CommentThreads.java,com.google.api.services.samples.youtube.cmdline.data.CommentThreads,class,9,10,1,9,12,1,0,36,6,0.75,NaN,NaN,4,4,1,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,4,118,3,2,0,1,0,56,3,36,18,27,3,0,0,0,87,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\Search.java,com.google.api.services.samples.youtube.cmdline.data.Search,class,7,8,1,7,12,1,0,40,1,0.5555556,NaN,NaN,3,3,1,2,0,0,1,0,0,0,3,3,0,3,0,0,2,0,3,74,1,1,1,2,0,28,3,17,8,15,2,1,0,0,114,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\live\CreateBroadcast.java,com.google.api.services.samples.youtube.cmdline.live.CreateBroadcast,class,11,12,1,11,8,1,0,42,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,3,87,2,0,0,1,0,42,2,25,17,19,1,0,0,0,80,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\Captions.java,com.google.api.services.samples.youtube.cmdline.data.Captions,class,16,17,1,16,28,1,0,61,48,0.76923084,NaN,NaN,13,13,1,12,0,0,1,0,0,0,3,3,0,3,0,0,2,0,27,269,9,1,1,1,0,68,6,59,24,48,3,3,1,0,174,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\ChannelLocalizations.java,com.google.api.services.samples.youtube.cmdline.data.ChannelLocalizations,class,9,10,1,9,23,1,0,46,24,0.5555556,NaN,NaN,9,9,1,8,0,0,1,0,0,0,1,1,0,1,0,0,0,0,13,139,8,1,1,1,0,62,6,37,21,28,2,0,1,0,111,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\api-samples\java\src\main\java\com\google\api\services\samples\youtube\cmdline\data\PlaylistLocalizations.java,com.google.api.services.samples.youtube.cmdline.data.PlaylistLocalizations$Action,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
