file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\it\dgs\src\test\java\com\linecorp\armeria\graphql\GraphQLTest.java,com.linecorp.armeria.graphql.GraphQLTest,class,14,15,1,14,4,1,0,23,6,0.75,0.0,0.0,4,2,0,2,0,2,2,0,0,0,1,1,0,0,0,1,0,0,2,44,3,0,0,0,0,8,1,8,0,12,1,1,0,2,40,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\grpc\src\test\java\com\linecorp\armeria\client\grpc\GrpcClientBuilderTest.java,com.linecorp.armeria.client.grpc.GrpcClientBuilderTest,class,4,4,0,4,8,1,0,24,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,16,2,20,0,18,1,2,0,3,40,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\grpc\src\test\java\com\linecorp\armeria\client\grpc\LazyDynamicEndpointGroupTest.java,com.linecorp.armeria.client.grpc.LazyDynamicEndpointGroupTest,class,15,15,0,15,4,2,0,23,6,0.75,0.0,0.0,4,0,0,0,0,4,4,0,0,0,1,1,0,0,0,1,0,0,0,116,0,0,0,0,0,1,0,20,0,21,0,6,1,1,63,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\grpc\src\test\java\com\linecorp\armeria\server\grpc\GrpcServiceBuilderTest.java,com.linecorp.armeria.server.grpc.GrpcServiceBuilderTest$AbstractThirdTestServiceImpl,innerclass,6,6,0,6,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1034,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\spring\boot2-autoconfigure\src\test\java\com\linecorp\armeria\spring\ArmeriaGracefulShutdownConfigurationTest.java,com.linecorp.armeria.spring.ArmeriaGracefulShutdownConfigurationTest,class,11,11,0,11,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,2,11,0,0,0,0,0,3,0,1,1,3,0,0,1,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\testing-internal\src\main\java\com\linecorp\armeria\internal\testing\CountDownEmptyEndpointStrategy.java,com.linecorp.armeria.internal.testing.CountDownEmptyEndpointStrategy,class,7,8,1,7,2,1,0,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,0,0,23,1,0,0,0,0,0,0,3,0,3,0,1,0,0,34,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\core\src\main\java\com\linecorp\armeria\common\stream\DefaultStreamMessageDuplicator.java,com.linecorp.armeria.common.stream.DefaultStreamMessageDuplicator$CloseEvent,innerclass,2,2,0,2,3,1,0,0,0,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,1,0,1,0,1,2,0,0,15,2,0,1,0,0,2,0,2,1,2,1,0,0,0,15,26,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\core\src\main\java\com\linecorp\armeria\server\RoutingResultType.java,com.linecorp.armeria.server.RoutingResultType,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\core\src\test\java\com\linecorp\armeria\common\auth\OAuth1aTokenTest.java,com.linecorp.armeria.common.auth.OAuth1aTokenTest,class,3,3,0,3,1,1,0,15,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,38,0,2,0,2,0,0,0,0,12,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\armeria\grpc\src\main\java\com\linecorp\armeria\server\grpc\HttpJsonTranscodingOptions.java,com.linecorp.armeria.server.grpc.HttpJsonTranscodingOptions,interface,5,12,7,5,4,1,0,0,6,0.0,0.0,0.0,4,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
