file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\asynchttpclient\Head302Test.java,org.asynchttpclient.Head302Test,testHEAD302/0,false,46,9,10,0,10,2,13,21,0,5,0,13,0,0,0,0,1,0,3,3,5,1,2,1,0,0,32,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\asynchttpclient\Head302Test.java,org.asynchttpclient.Head302Test,configureHandler/0,false,41,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\apache\commons\fileupload2\util\FileItemHeadersImpl.java,org.apache.commons.fileupload2.util.FileItemHeadersImpl,"addHeader/2[java.lang.String,java.lang.String]",false,88,0,1,1,0,1,3,5,0,3,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,12,33,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\apache\commons\fileupload2\util\FileItemHeadersImpl.java,org.apache.commons.fileupload2.util.FileItemHeadersImpl,getHeader/1[java.lang.String],false,52,0,0,0,0,2,3,8,2,2,1,3,0,0,0,1,0,0,0,1,2,0,1,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\apache\commons\fileupload2\util\FileItemHeadersImpl.java,org.apache.commons.fileupload2.util.FileItemHeadersImpl,getHeaders/1[java.lang.String],false,73,0,0,0,0,2,4,8,1,2,1,4,0,0,0,1,0,0,0,0,3,0,1,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\apache\commons\fileupload2\util\FileItemHeadersImpl.java,org.apache.commons.fileupload2.util.FileItemHeadersImpl,getHeaderNames/0,false,65,0,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\ProxyUnauthorized407Interceptor.java,org.asynchttpclient.netty.handler.intercept.ProxyUnauthorized407Interceptor,"exitAfterHandling407/6[org.asynchttpclient.netty.handler.intercept.Channel,org.asynchttpclient.netty.NettyResponseFuture<?>,org.asynchttpclient.netty.handler.intercept.HttpResponse,org.asynchttpclient.Request,org.asynchttpclient.proxy.ProxyServer,org.asynchttpclient.netty.handler.intercept.HttpRequest]",false,61,18,33,1,32,20,40,92,10,12,6,40,2,1,0,6,1,0,15,0,12,1,3,0,0,0,77,1,10,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\ProxyUnauthorized407Interceptor.java,org.asynchttpclient.netty.handler.intercept.ProxyUnauthorized407Interceptor,"ProxyUnauthorized407Interceptor/2[org.asynchttpclient.netty.channel.ChannelManager,org.asynchttpclient.netty.request.NettyRequestSender]",true,55,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\ProxyUnauthorized407Interceptor.java,org.asynchttpclient.netty.handler.intercept.ProxyUnauthorized407Interceptor,"ntlmProxyChallenge/4[java.lang.String,org.asynchttpclient.netty.handler.intercept.HttpHeaders,org.asynchttpclient.Realm,org.asynchttpclient.netty.NettyResponseFuture<?>]",false,198,4,8,1,7,2,12,12,0,3,4,12,0,0,0,0,0,0,4,0,3,2,1,0,0,0,9,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\main\java\org\asynchttpclient\netty\handler\intercept\ProxyUnauthorized407Interceptor.java,org.asynchttpclient.netty.handler.intercept.ProxyUnauthorized407Interceptor,"kerberosProxyChallenge/3[org.asynchttpclient.Realm,org.asynchttpclient.proxy.ProxyServer,org.asynchttpclient.netty.handler.intercept.HttpHeaders]",false,187,4,11,1,10,1,11,4,0,1,3,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\async-http-client\client\src\test\java\org\asynchttpclient\testserver\HttpServer.java,org.asynchttpclient.testserver.HttpServer$ConsumerHandler,ConsumerHandler/1[org.asynchttpclient.testserver.HttpServer.HttpServletResponseConsumer],true,165,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
