file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\code\interpreter\ir\BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,class,6,7,1,6,7,1,0,6,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,2,0,0,32,3,0,0,0,0,3,0,4,1,4,1,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\exception\ExpressionNotFoundException.java,com.googlecode.aviator.exception.ExpressionNotFoundException,class,1,3,2,1,4,5,0,0,6,1.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,15,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\runtime\function\internal\ReducerState.java,com.googlecode.aviator.runtime.function.internal.ReducerState,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\test\java\com\googlecode\aviator\runtime\function\string\StringLengthFunctionUnitTest.java,com.googlecode.aviator.runtime.function.string.StringLengthFunctionUnitTest,class,9,9,0,9,8,1,0,7,0,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,5,33,0,0,0,0,0,11,5,2,0,2,0,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\test\java\com\googlecode\aviator\LambdaUnitTest.java,com.googlecode.aviator.LambdaUnitTest$Foo,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\test\java\com\googlecode\aviator\runtime\function\seq\SeqSortFunctionUnitTest.java,com.googlecode.aviator.runtime.function.seq.SeqSortFunctionUnitTest,class,5,5,0,5,8,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,43,0,5,0,0,0,0,12,20,0,17,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\asm\commons\TableSwitchGenerator.java,com.googlecode.aviator.asm.commons.TableSwitchGenerator,interface,1,2,1,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\runtime\function\system\DecimalFunction.java,com.googlecode.aviator.runtime.function.system.DecimalFunction,class,5,6,1,5,13,2,0,9,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,12,35,7,0,0,0,1,5,1,2,2,2,2,0,0,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\test\java\com\googlecode\aviator\LambdaUnitTest.java,com.googlecode.aviator.LambdaUnitTest,class,6,6,0,6,13,1,0,16,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,51,103,0,3,0,1,0,45,43,20,2,17,1,0,1,0,53,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\aviatorscript\src\main\java\com\googlecode\aviator\runtime\function\seq\SeqRemoveFunction.java,com.googlecode.aviator.runtime.function.seq.SeqRemoveFunction,class,2,3,1,2,5,2,0,7,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,25,3,0,1,0,2,4,1,4,1,4,1,0,0,0,41,1,0
