file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-reportal\src\main\java\azkaban\jobtype\ReportalTeradataRunner.java,azkaban.jobtype.ReportalTeradataRunner$TeradataDataSource,innerclass,1,1,0,1,1,2,0,4,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\metric\inmemoryemitter\InMemoryMetricEmitter.java,azkaban.metric.inmemoryemitter.InMemoryMetricEmitter,class,7,11,4,7,28,1,0,36,3,0.75,0.0,0.0,10,0,6,4,0,0,6,0,0,1,8,4,0,6,2,0,5,0,1,116,2,5,3,0,2,8,12,29,11,24,4,0,0,0,158,1,5
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-exec-server\src\main\java\azkaban\execapp\AbstractFlowPreparer.java,azkaban.execapp.AbstractFlowPreparer,class,12,17,5,12,8,1,2,33,9,0.7083333,0.0,0.0,6,1,3,1,1,1,5,2,0,0,4,2,1,1,2,0,4,0,12,54,2,0,0,2,2,9,2,12,7,13,1,0,0,1,118,1025,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-exec-server\src\main\java\azkaban\execapp\ExecMetrics.java,azkaban.execapp.ExecMetrics,class,10,16,6,10,14,1,0,10,63,0.8914287,0.0,0.0,14,0,13,0,0,1,14,0,0,0,25,13,13,12,0,0,25,0,0,82,3,0,0,0,0,13,0,25,0,25,0,0,0,0,101,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-reportal\src\main\java\azkaban\viewer\reportal\ReportalServlet.java,azkaban.viewer.reportal.ReportalServlet$CleanerThread$Anonymous1,anonymous,0,0,0,0,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-web-server\src\main\java\azkaban\flowtrigger\plugin\ParentLastURLClassLoader.java,azkaban.flowtrigger.plugin.ParentLastURLClassLoader$ChildURLClassLoader,innerclass,1,1,0,1,4,4,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,19,3,0,1,1,0,0,0,2,0,2,2,0,0,0,30,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-reportal\src\main\java\azkaban\jobtype\ReportalPrestoRunner.java,azkaban.jobtype.ReportalPrestoRunner,class,7,8,1,7,11,2,0,31,6,0.71999997,0.0,0.0,5,0,1,3,1,0,2,0,0,0,5,5,3,2,0,0,5,0,4,62,3,1,0,2,0,17,2,18,5,16,2,0,0,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\executor\container\ContainerProxyUserCriteria.java,azkaban.executor.container.ContainerProxyUserCriteria,class,4,5,1,4,7,1,0,6,0,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,26,4,0,0,0,0,1,0,1,0,1,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\test\java\azkaban\database\AzkabanDatabaseUpdaterTest.java,azkaban.database.AzkabanDatabaseUpdaterTest,class,5,6,1,5,4,1,0,10,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,53,0,0,0,1,0,41,1,9,0,9,1,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\test\java\azkaban\executor\container\watch\KubernetesWatchTest.java,azkaban.executor.container.watch.KubernetesWatchTest$FileBackedWatch,innerclass,4,4,0,4,8,2,0,6,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,2,33,2,0,2,2,0,3,0,2,0,2,2,0,0,0,69,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\utils\SystemMemoryInfo.java,azkaban.utils.SystemMemoryInfo,class,4,8,4,4,7,1,0,5,0,0.44444445,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,2,0,3,0,0,3,0,1,26,5,0,2,0,0,2,6,5,4,5,1,0,0,0,90,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-exec-server\src\main\java\azkaban\execapp\ExecutorServlet.java,azkaban.execapp.ExecutorServlet,class,18,20,2,18,72,2,0,80,0,0.625,0.0,0.0,22,0,5,17,0,0,5,0,0,0,4,2,0,4,0,0,2,0,31,351,5,1,8,15,1,59,7,44,6,42,4,0,0,0,185,1,29
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\jobtype\JobPropsProcessor.java,azkaban.jobtype.JobPropsProcessor,class,1,4,3,1,2,1,1,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\executor\ExecutionAttempt.java,azkaban.executor.ExecutionAttempt,class,4,7,3,4,8,1,0,9,0,0.5625,0.0,0.0,8,1,8,0,0,0,8,0,0,0,8,4,4,4,0,0,5,0,1,51,6,0,0,0,0,4,3,22,0,15,0,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\test\java\azkaban\metric\MetricManagerTest.java,azkaban.metric.MetricManagerTest,class,11,11,0,11,5,1,0,29,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,5,55,0,0,0,0,0,13,8,9,1,9,0,0,1,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-exec-server\src\test\java\azkaban\dag\StatusChangeRecorder.java,azkaban.dag.StatusChangeRecorder,class,3,9,6,3,3,1,0,5,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,20,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\test\java\azkaban\project\AzkabanProjectLoaderTest.java,azkaban.project.AzkabanProjectLoaderTest,class,32,33,1,32,13,1,0,73,0,0.68859655,0.0,0.0,12,0,10,2,0,0,10,0,0,0,19,6,1,18,0,0,10,0,5,197,9,0,1,0,2,41,42,66,7,74,1,0,0,8,126,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-web-server\src\test\java\azkaban\fixture\MockResourceContext.java,azkaban.fixture.MockResourceContext,class,8,10,2,8,33,1,0,4,516,0.90909094,0.0,0.0,33,3,33,0,0,0,33,0,0,0,2,0,0,0,0,2,0,0,0,106,24,0,0,0,0,6,0,5,1,5,0,0,0,0,68,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-hadoop-jobtype-plugin\src\test\java\azkaban\jobtype\TestHadoopJobUtilsFilterCommands.java,azkaban.jobtype.TestHadoopJobUtilsFilterCommands,class,4,4,0,4,6,1,0,8,0,0.16666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,6,35,0,0,0,0,0,19,7,7,0,7,0,0,0,0,42,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\io\kubernetes\autoscaling\models\V1beta2VerticalPodAutoscalerSpecResourcePolicy.java,io.kubernetes.autoscaling.models.V1beta2VerticalPodAutoscalerSpecResourcePolicy,class,5,7,2,5,13,1,0,9,0,0.5625,0.0,0.0,8,0,7,1,0,0,7,0,0,0,2,1,1,1,0,0,1,0,2,47,10,0,5,0,0,12,0,7,0,4,1,0,0,0,83,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-core\src\test\java\azkaban\utils\TimeUtilsTest.java,azkaban.utils.TimeUtilsTest,class,2,2,0,2,3,1,0,11,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,27,0,0,0,0,0,6,11,3,1,3,1,0,0,2,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\az-hadoop-jobtype-plugin\src\main\java\azkaban\jobtype\HadoopJavaJobRunnerMain.java,azkaban.jobtype.HadoopJavaJobRunnerMain,class,10,13,3,10,53,1,0,55,33,0.8571428,0.0,0.0,10,4,4,6,0,0,4,0,0,0,14,9,11,3,0,0,9,0,32,286,9,6,22,9,3,53,0,70,23,52,4,1,0,2,146,1,30
C:\Projetos\LabExperimentacao\medicao-lab2\repos\azkaban\azkaban-common\src\main\java\azkaban\metric\inmemoryemitter\InMemoryHistoryNode.java,azkaban.metric.inmemoryemitter.InMemoryHistoryNode,class,0,2,2,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1,0
