file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\indicator\RectangleIndicator.java,com.youth.banner.indicator.RectangleIndicator,class,6,7,1,6,10,3,0,15,8,0.6,0.0,0.0,5,0,3,0,2,0,5,0,0,0,1,0,0,0,0,1,0,0,0,38,2,1,2,0,2,0,8,9,7,8,1,0,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\transformer\BasePageTransformer.java,com.youth.banner.transformer.BasePageTransformer,class,1,9,8,1,0,1,8,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,14,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\app\src\main\java\com\test\banner\adapter\ImageTitleNumAdapter.java,com.test.banner.adapter.ImageTitleNumAdapter,class,6,7,1,6,3,3,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,1,1,1,1,2,1,0,0,1,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\app\src\main\java\com\test\banner\adapter\ImageTitleNumAdapter.java,com.test.banner.adapter.ImageTitleNumAdapter$BannerViewHolder,innerclass,5,5,0,5,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\util\BannerUtils.java,com.youth.banner.util.BannerUtils$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\app\src\main\java\com\test\banner\adapter\ImageTitleAdapter.java,com.test.banner.adapter.ImageTitleAdapter,class,4,6,2,4,3,2,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\util\BannerLifecycleObserverAdapter.java,com.youth.banner.util.BannerLifecycleObserverAdapter,class,5,6,1,5,4,1,0,4,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,3,20,0,0,0,0,0,3,0,2,0,2,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\Banner.java,com.youth.banner.Banner$AutoLoopTask,innerclass,1,1,0,1,5,1,0,5,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,18,1,0,2,0,1,0,2,4,2,4,2,0,0,0,11,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\banner\src\main\java\com\youth\banner\transformer\AlphaPageTransformer.java,com.youth.banner.transformer.AlphaPageTransformer,class,3,3,0,3,6,2,0,2,1,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,28,0,0,0,0,4,0,9,5,8,4,2,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\banner\app\src\main\java\com\test\banner\util\TabLayoutMediator.java,com.test.banner.util.TabLayoutMediator$PagerAdapterObserver,innerclass,3,3,0,3,7,2,0,1,21,0.0,0.0,0.0,7,0,6,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0
