file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,interface,5,13,8,5,15,1,0,9,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,3,27,5,0,2,0,0,0,1,2,1,2,1,0,0,0,111,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\datatypes\IDatatypeFor.java,baritone.api.command.datatypes.IDatatypeFor,interface,3,13,10,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\process\BackfillProcess.java,baritone.process.BackfillProcess,class,18,20,2,18,30,2,0,48,33,0.6,0.0,0.0,10,0,8,2,0,0,8,0,0,0,1,0,1,0,0,0,0,0,7,80,15,2,6,0,0,2,1,5,0,7,2,0,0,3,62,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\command\defaults\InvertCommand.java,baritone.command.defaults.InvertCommand,class,8,9,1,8,7,2,0,9,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,30,3,0,1,0,2,8,1,4,0,2,1,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous16,anonymous,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,1,3,1,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous17,anonymous,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,1,3,1,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous18,anonymous,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,1,3,1,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous19,anonymous,5,5,0,5,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous12,anonymous,7,7,0,7,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,1,0,0,0,2,1,2,1,1,0,0,0,16,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous13,anonymous,7,7,0,7,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,1,0,0,0,2,1,2,1,1,0,0,0,16,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous14,anonymous,7,7,0,7,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,1,0,0,0,2,1,2,1,1,0,0,0,16,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\command\argument\CommandArguments.java,baritone.command.argument.CommandArguments,class,3,7,4,3,7,1,0,11,4,0.5,0.0,0.0,4,3,3,1,0,0,3,0,0,0,1,1,0,1,0,0,1,0,2,24,3,1,0,0,0,5,2,5,0,4,1,0,0,0,67,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous15,anonymous,6,6,0,6,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,2,1,3,1,0,0,0,0,15,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\argument\IArgConsumer.java,baritone.api.command.argument.IArgConsumer,interface,8,64,56,8,58,1,0,0,1653,0.0,0.0,0.0,58,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous10,anonymous,4,4,0,4,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,3,0,3,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\Moves.java,baritone.pathing.movement.Moves$Anonymous11,anonymous,7,7,0,7,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,15,2,0,1,0,0,0,2,1,2,1,1,0,0,0,16,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\buildSrc\src\main\java\baritone\gradle\util\Determinizer.java,baritone.gradle.util.Determinizer,class,7,9,2,7,15,1,0,30,3,0.6666667,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,8,106,1,3,1,2,1,14,4,14,3,13,5,1,0,0,106,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\argparser\IArgParser.java,baritone.api.command.argparser.IArgParser$Stated,interface,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\datatypes\IDatatypePost.java,baritone.api.command.datatypes.IDatatypePost,interface,4,13,9,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\behavior\LookBehavior.java,baritone.behavior.LookBehavior,class,8,17,9,8,21,2,0,9,3,0.5555555,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,3,0,0,0,0,8,71,1,0,5,0,2,0,4,16,4,6,3,0,0,0,57,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\event\events\TickEvent.java,baritone.api.event.events.TickEvent,class,3,12,9,3,5,1,0,0,0,0.5,0.0,0.0,5,1,5,0,0,0,5,0,0,1,4,1,0,4,0,0,3,0,0,27,4,0,0,0,0,0,0,4,0,7,0,0,1,1,35,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\argparser\IArgParserManager.java,baritone.api.command.argparser.IArgParserManager,interface,7,9,2,7,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\utils\schematic\SchematicSystem.java,baritone.utils.schematic.SchematicSystem,enum,3,5,2,3,3,1,0,7,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,2,11,2,0,0,0,0,0,0,1,0,2,0,0,0,1,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\process\IFollowProcess.java,baritone.api.process.IFollowProcess,interface,2,5,3,2,4,1,0,1,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\process\MineProcess.java,baritone.process.MineProcess$Anonymous1,anonymous,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\exception\CommandNoParserForTypeException.java,baritone.api.command.exception.CommandNoParserForTypeException,class,1,2,1,1,1,5,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\selection\SelectionRenderer.java,baritone.selection.SelectionRenderer,class,9,11,2,9,8,1,0,13,1,0.5,0.0,0.0,3,1,2,0,0,1,3,0,0,0,2,1,1,1,0,0,2,0,8,34,1,3,0,0,0,0,7,5,0,5,2,0,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\utils\NotificationHelper.java,baritone.api.utils.NotificationHelper,class,1,2,1,1,13,1,0,15,6,0.75,NaN,NaN,4,4,1,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,6,55,0,0,1,3,0,12,0,5,1,5,3,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\command\registry\Registry.java,baritone.api.command.registry.Registry,class,2,11,9,2,9,1,0,14,0,0.5238095,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,1,2,0,0,3,0,3,35,8,0,0,0,0,0,0,3,0,3,1,0,0,0,176,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\movement\movements\MovementFall.java,baritone.pathing.movement.movements.MovementFall,class,22,28,6,22,47,2,0,44,36,0.8888889,0.0,0.0,9,1,4,3,2,0,6,0,0,0,2,2,0,2,0,0,2,0,14,137,18,4,10,0,3,0,22,29,29,24,4,0,0,0,77,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\pathing\goals\GoalRunAway.java,baritone.api.pathing.goals.GoalRunAway,class,8,11,3,8,23,1,0,20,0,0.2777778,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,16,93,7,7,5,0,1,2,3,35,18,24,4,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\process\PathingCommand.java,baritone.api.process.PathingCommand,class,2,17,15,2,2,1,1,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2,0,1,12,1,0,0,0,0,1,0,2,1,2,0,0,0,0,21,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\pathing\precompute\Ternary.java,baritone.pathing.precompute.Ternary,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\behavior\PathingBehavior.java,baritone.behavior.PathingBehavior,class,33,44,11,33,122,2,0,94,287,0.8835126,0.0,0.0,31,1,22,9,0,0,22,0,0,0,18,0,0,18,0,0,3,0,29,432,38,4,34,0,15,24,17,70,26,47,6,0,0,3,182,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\command\defaults\SchematicaCommand.java,baritone.command.defaults.SchematicaCommand,class,4,5,1,4,5,2,0,5,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,18,3,0,0,0,0,6,1,0,0,0,0,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\launch\java\baritone\launch\mixins\MixinAnvilChunkLoader.java,baritone.launch.mixins.MixinAnvilChunkLoader,class,5,5,0,5,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\launch\java\baritone\launch\mixins\MixinPlayerControllerMP.java,baritone.launch.mixins.MixinPlayerControllerMP,class,6,6,0,6,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\utils\input\Input.java,baritone.api.utils.input.Input,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\utils\schematic\format\DefaultSchematicFormats.java,baritone.utils.schematic.format.DefaultSchematicFormats,enum,0,1,1,0,2,1,0,3,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,44,1,0,0,0,0,3,0,1,0,1,0,3,0,0,55,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\launch\java\baritone\launch\mixins\MixinChunkProviderServer.java,baritone.launch.mixins.MixinChunkProviderServer,class,6,6,0,6,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\utils\schematic\format\defaults\MCEditSchematic.java,baritone.utils.schematic.format.defaults.MCEditSchematic,class,5,6,1,5,8,3,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4,1,0,5,10,16,22,13,13,4,0,0,0,34,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\main\java\baritone\command\defaults\HelpCommand.java,baritone.command.defaults.HelpCommand,class,14,15,1,14,9,2,0,35,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,56,5,0,1,0,0,20,3,10,5,12,2,0,0,3,75,1,0
