file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,hasPath/0,false,86,1,2,1,1,2,1,3,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,22,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,getInProgress/0,false,116,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,getCurrent/0,false,121,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,getNext/0,false,126,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,forceCancel/0,false,100,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,estimatedTicksToGoal/0,false,61,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,cancelEverything/0,false,90,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,getPath/0,false,112,2,1,0,1,1,3,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,ticksRemainingInSegment/0,false,40,1,2,1,1,1,1,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,25,65536,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baritone\src\api\java\baritone\api\behavior\IPathingBehavior.java,baritone.api.behavior.IPathingBehavior,ticksRemainingInSegment/1[boolean],false,52,3,6,2,4,3,6,8,2,2,1,6,1,1,0,1,0,0,0,1,2,1,1,0,0,0,44,65536,0,true
