file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\baseadapter-recyclerview\src\main\java\com\zhy\adapter\recyclerview\CommonAdapter.java,com.zhy.adapter.recyclerview.CommonAdapter$Anonymous1,anonymous,3,3,0,3,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\sample\src\main\java\com\zhy\sample\MultiItemRvActivity.java,com.zhy.sample.MultiItemRvActivity,class,10,11,1,10,1,2,0,11,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,41,0,0,0,0,0,0,0,4,0,4,0,2,0,0,31,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\base-adapter-library\src\androidTest\java\com\zhy\quickdev\adapter\ApplicationTest.java,com.zhy.quickdev.adapter.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\sample\src\main\java\com\zhy\sample\adapter\rv\ChatAdapterForRv.java,com.zhy.sample.adapter.rv.ChatAdapterForRv,class,5,6,1,5,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\base-adapter-library\src\main\java\com\zhy\adapter\abslistview\base\ItemViewDelegateManager.java,com.zhy.adapter.abslistview.base.ItemViewDelegateManager,class,5,7,2,5,22,1,0,13,0,0.09090909,0.0,0.0,11,0,11,0,0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,78,11,3,3,0,0,9,7,13,6,13,2,0,0,0,46,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\baseadapter-recyclerview\src\main\java\com\zhy\adapter\recyclerview\wrapper\EmptyWrapper.java,com.zhy.adapter.recyclerview.wrapper.EmptyWrapper,class,9,12,3,9,19,1,0,11,0,0.625,0.0,0.0,10,0,9,1,0,0,9,0,0,0,4,1,1,3,0,0,1,0,4,67,8,0,4,0,1,0,4,6,1,5,2,1,0,0,41,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\sample\src\main\java\com\zhy\sample\adapter\lv\ChatAdapter.java,com.zhy.sample.adapter.lv.ChatAdapter,class,5,6,1,5,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\baseadapter-recyclerview\src\main\java\com\zhy\adapter\recyclerview\utils\WrapperUtils.java,com.zhy.adapter.recyclerview.utils.WrapperUtils,class,9,12,3,9,5,1,0,8,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,5,0,5,1,1,1,0,29,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\base-adapter-library\src\main\java\com\zhy\adapter\abslistview\base\ItemViewDelegate.java,com.zhy.adapter.abslistview.base.ItemViewDelegate,interface,2,7,5,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\base-adapter-library\src\main\java\com\zhy\adapter\abslistview\CommonAdapter.java,com.zhy.adapter.abslistview.CommonAdapter,class,5,8,3,5,2,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\baseAdapter\sample\src\androidTest\java\com\zhy\sample\ApplicationTest.java,com.zhy.sample.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
