file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter10\ServiceTest\app\src\main\java\com\example\servicetest\MyService.java,com.example.servicetest.MyService$DownloadBinder,innerclass,1,1,0,1,2,2,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter6\LitePalTest\app\src\main\java\com\example\litepaltest\MainActivity.java,com.example.litepaltest.MainActivity$Anonymous3,anonymous,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,1,1,0,1,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter5\BroadcastBestPractice\app\src\androidTest\java\com\example\broadcastbestpractice\ApplicationTest.java,com.example.broadcastbestpractice.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter5\BroadcastTest\app\src\androidTest\java\com\example\broadcasttest\ApplicationTest.java,com.example.broadcasttest.ApplicationTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter6\LitePalTest\app\src\main\java\com\example\litepaltest\MainActivity.java,com.example.litepaltest.MainActivity$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter8\NotificationTest\app\src\test\java\com\example\notificationtest\ExampleUnitTest.java,com.example.notificationtest.ExampleUnitTest,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter6\LitePalTest\app\src\main\java\com\example\litepaltest\MainActivity.java,com.example.litepaltest.MainActivity$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter9\NetworkTest\app\src\main\java\com\example\networktest\ContentHandler.java,com.example.networktest.ContentHandler,class,3,4,1,3,9,2,0,7,2,0.45,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,38,0,0,0,0,0,10,3,4,3,4,1,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter6\LitePalTest\app\src\main\java\com\example\litepaltest\MainActivity.java,com.example.litepaltest.MainActivity$Anonymous2,anonymous,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,2,1,0,1,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\booksource\chapter6\LitePalTest\app\src\main\java\com\example\litepaltest\MainActivity.java,com.example.litepaltest.MainActivity$Anonymous5,anonymous,2,2,0,2,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,10,0,1,5,1,1,0,0,0,13,-1,0
