file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setCameraDrawable/1[com.flipboard.bottomsheet.commons.Drawable],false,498,3,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setMaxItems/1[int],false,409,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setShowCameraOption/1[boolean],false,464,1,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,Builder/1[com.flipboard.bottomsheet.commons.Context],true,394,2,1,1,0,3,1,6,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,24,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setPickerDrawable/1[com.flipboard.bottomsheet.commons.Drawable],false,533,2,1,1,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setTitle/1[int],false,420,2,1,0,1,1,2,3,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,create/0,false,539,2,1,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setImageProvider/1[com.flipboard.bottomsheet.commons.ImagePickerSheetView.ImageProvider],false,453,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setOnTileSelectedListener/1[com.flipboard.bottomsheet.commons.ImagePickerSheetView.OnTileSelectedListener],false,442,2,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\bottomsheet\bottomsheet-commons\src\main\java\com\flipboard\bottomsheet\commons\ImagePickerSheetView.java,com.flipboard.bottomsheet.commons.ImagePickerSheetView$Builder,setCameraDrawable/1[int],false,487,2,1,0,1,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,true
