file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\sql\validate\JoinScope.java,org.apache.calcite.sql.validate.JoinScope,class,7,8,1,7,10,3,0,5,0,0.4166667,0.0,0.0,6,0,5,0,0,1,6,0,0,0,2,0,0,2,0,0,2,0,1,35,6,0,4,0,2,1,0,2,0,2,1,0,0,0,76,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\rel\rules\JoinDeriveIsNotNullFilterRule.java,org.apache.calcite.rel.rules.JoinDeriveIsNotNullFilterRule$Config,interface,5,5,0,5,2,1,0,8,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,1,0,0,0,0,1,0,3,0,0,0,2,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\materialize\LatticeSuggester.java,org.apache.calcite.materialize.LatticeSuggester$SingleTableColRef,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\rel\metadata\RelMdAllPredicates.java,org.apache.calcite.rel.metadata.RelMdAllPredicates,class,35,37,2,35,41,1,0,51,105,1.0,0.0,0.0,15,1,14,1,0,0,14,0,0,0,1,1,1,0,0,0,1,0,10,176,28,9,16,0,0,0,4,50,2,46,4,0,0,2,158,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\test\java\org\apache\calcite\jdbc\CalciteRemoteDriverTest.java,org.apache.calcite.jdbc.CalciteRemoteDriverTest$LocalServiceModifiableFactory,innerclass,7,7,0,7,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,1,0,0,1,0,0,0,2,0,2,1,0,0,0,21,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\sql2rel\RelDecorrelator.java,org.apache.calcite.sql2rel.RelDecorrelator$CorDef,innerclass,3,3,0,3,9,1,0,4,0,0.0,0.0,0.0,5,0,4,0,0,1,5,0,0,0,2,0,2,0,0,0,2,0,2,24,5,0,4,0,2,0,1,3,1,3,1,0,0,0,20,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\plan\volcano\TopDownRuleDriver.java,org.apache.calcite.plan.volcano.TopDownRuleDriver$GroupOptimized,innerclass,3,3,0,3,3,1,0,2,0,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,0,25,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\rel\rules\AggregateJoinTransposeRule.java,org.apache.calcite.rel.rules.AggregateJoinTransposeRule$Config,interface,7,7,0,7,4,1,0,10,6,1.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,0,0,14,3,0,0,0,0,0,0,2,0,5,0,0,0,3,47,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\main\java\org\apache\calcite\rel\rules\PruneEmptyRules.java,org.apache.calcite.rel.rules.PruneEmptyRules$PruneEmptyRule$Config,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\calcite\core\src\test\java\org\apache\calcite\test\CoreQuidemTest.java,org.apache.calcite.test.CoreQuidemTest$Anonymous1,anonymous,1,1,0,1,3,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,4,0,0,2,0,1,0,0,0,5,-1,0
