file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\demo\src\main\java\com\google\android\cameraview\demo\MainActivity.java,com.google.android.cameraview.demo.MainActivity$ConfirmationDialogFragment,"newInstance/4[int,java.lang.String[],int,int]",false,290,3,2,1,1,1,3,10,1,2,4,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\demo\src\main\java\com\google\android\cameraview\demo\MainActivity.java,com.google.android.cameraview.demo.MainActivity$ConfirmationDialogFragment,onCreateDialog/1[com.google.android.cameraview.demo.Bundle],false,303,5,0,0,0,1,7,18,1,1,1,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,35,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\library\src\main\api23\com\google\android\cameraview\Camera2Api23.java,com.google.android.cameraview.Camera2Api23,"Camera2Api23/3[com.google.android.cameraview.CameraViewImpl.Callback,com.google.android.cameraview.PreviewImpl,com.google.android.cameraview.Context]",true,28,3,1,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\library\src\main\api23\com\google\android\cameraview\Camera2Api23.java,com.google.android.cameraview.Camera2Api23,"collectPictureSizes/2[com.google.android.cameraview.SizeMap,com.google.android.cameraview.StreamConfigurationMap]",false,33,4,3,0,3,4,6,11,0,1,2,6,0,0,1,1,0,0,0,0,1,0,2,0,0,0,9,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\library\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,"SavedState/2[com.google.android.cameraview.Parcel,java.lang.ClassLoader]",true,468,1,0,0,0,2,3,7,0,0,2,3,0,0,0,1,0,0,1,1,4,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\library\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,SavedState/1[com.google.android.cameraview.Parcelable],true,476,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\library\src\main\java\com\google\android\cameraview\CameraView.java,com.google.android.cameraview.CameraView$SavedState,"writeToParcel/2[com.google.android.cameraview.Parcel,int]",false,481,1,0,0,0,2,4,7,0,0,2,4,0,0,0,0,0,1,0,3,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\demo\src\main\java\com\google\android\cameraview\demo\AspectRatioFragment.java,com.google.android.cameraview.demo.AspectRatioFragment$Listener,onAspectRatioSelected/1[com.google.android.cameraview.AspectRatio],false,145,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\demo\src\main\java\com\google\android\cameraview\demo\AspectRatioFragment.java,com.google.android.cameraview.demo.AspectRatioFragment,onCreateDialog/1[com.google.android.cameraview.demo.Bundle],false,73,7,1,0,1,2,7,16,1,4,1,7,0,0,0,1,0,0,1,0,4,0,1,1,0,0,36,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cameraview\demo\src\main\java\com\google\android\cameraview\demo\AspectRatioFragment.java,com.google.android.cameraview.demo.AspectRatioFragment,"newInstance/2[java.util.Set<com.google.android.cameraview.AspectRatio>,com.google.android.cameraview.AspectRatio]",false,49,3,2,1,1,1,5,8,1,2,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,9,0,false
