file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\streaming\OutgoingStream.java,org.apache.cassandra.streaming.OutgoingStream,interface,4,14,10,4,8,1,0,0,28,0.0,0.0,0.0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\service\paxos\uncommitted\PaxosRowsTest.java,org.apache.cassandra.service.paxos.uncommitted.PaxosRowsTest,class,21,24,3,21,10,1,0,35,2,0.6875,0.0,0.0,8,5,4,0,0,4,8,0,0,0,4,4,0,0,4,0,1,0,20,68,4,1,1,2,0,4,19,20,1,20,2,0,0,0,70,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\statements\DropRoleStatement.java,org.apache.cassandra.cql3.statements.DropRoleStatement,class,14,14,0,14,15,3,0,20,3,0.4166667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,10,32,4,0,1,0,0,3,0,3,0,3,1,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\tools\nodetool\formatter\TableBuilder.java,org.apache.cassandra.tools.nodetool.formatter.TableBuilder$SharedTable,innerclass,2,2,0,2,8,1,0,12,2,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,1,0,5,29,3,2,1,0,0,0,2,7,0,8,2,0,0,2,20,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous4,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous3,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous6,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\db\transform\DuplicateRowChecker.java,org.apache.cassandra.db.transform.DuplicateRowChecker,class,16,20,4,16,15,2,0,16,18,0.7361111,0.0,0.0,8,2,2,0,5,1,8,0,0,0,9,1,0,1,0,8,6,0,3,65,8,0,2,0,0,3,4,16,0,12,2,2,0,0,52,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous5,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous8,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,3,0,3,1,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous7,anonymous,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\tools\BulkLoader.java,org.apache.cassandra.tools.BulkLoader$ExternalClient,innerclass,6,6,0,6,2,2,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,12,1,0,0,0,0,0,0,2,0,2,0,0,0,0,21,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\utils\concurrent\ConditionTest.java,org.apache.cassandra.utils.concurrent.ConditionTest,class,4,5,1,4,3,2,0,8,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,2,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\cql3\functions\CollectionFcts.java,org.apache.cassandra.cql3.functions.CollectionFcts$Anonymous9,anonymous,3,3,0,3,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,0,1,3,0,3,1,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\service\DatacenterSyncWriteResponseHandler.java,org.apache.cassandra.service.DatacenterSyncWriteResponseHandler,class,7,7,0,7,10,2,0,19,0,0.33333334,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,1,0,3,0,0,3,0,0,39,2,3,2,1,1,0,4,6,2,6,3,0,0,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\tools\stress\src\org\apache\cassandra\stress\operations\userdefined\CASQuery.java,org.apache.cassandra.stress.operations.userdefined.CASQuery$JavaDriverRun,innerclass,4,4,0,4,2,2,0,7,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,13,1,0,0,0,0,0,1,5,0,2,0,0,0,0,21,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\utils\memory\EnsureOnHeap.java,org.apache.cassandra.utils.memory.EnsureOnHeap$CloneToHeap,innerclass,14,14,0,14,12,3,0,6,36,0.0,0.0,0.0,9,0,8,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,47,11,0,2,0,0,0,0,0,0,0,1,2,0,0,26,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\hints\HintsTestUtil.java,org.apache.cassandra.hints.HintsTestUtil$MockFailureDetector,innerclass,3,3,0,3,7,1,0,0,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,24,1,0,0,0,0,0,0,1,0,1,0,0,0,0,26,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\config\EncryptionOptionsEqualityTest.java,org.apache.cassandra.config.EncryptionOptionsEqualityTest,class,5,5,0,5,4,1,0,15,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,42,0,14,0,14,0,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\service\paxos\BallotGenerator.java,org.apache.cassandra.service.paxos.BallotGenerator$Default,innerclass,5,5,0,5,5,1,0,7,10,0.8,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,5,20,5,0,0,0,0,0,0,3,0,3,0,0,0,0,19,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\distributed\org\apache\cassandra\distributed\impl\DirectStreamingConnectionFactory.java,org.apache.cassandra.distributed.impl.DirectStreamingConnectionFactory$DirectConnection$DirectStreamingChannel,innerclass,13,13,0,13,15,3,0,14,23,0.74242425,0.0,0.0,11,0,10,0,0,1,11,0,0,2,6,0,0,3,0,3,4,0,3,173,9,0,2,1,0,3,0,11,1,9,4,0,3,1,42,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\transport\MessageDispatcherTest.java,org.apache.cassandra.transport.MessageDispatcherTest$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\transport\MessageDispatcherTest.java,org.apache.cassandra.transport.MessageDispatcherTest$Anonymous1,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\long\org\apache\cassandra\streaming\LongStreamingTest.java,org.apache.cassandra.streaming.LongStreamingTest$Anonymous1,anonymous,1,1,0,1,3,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,1,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\dht\RangeFetchMapCalculator.java,org.apache.cassandra.dht.RangeFetchMapCalculator$EndpointVertex,innerclass,4,4,0,4,9,2,0,3,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,22,6,0,4,0,0,0,0,2,0,2,1,0,0,0,28,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\long\org\apache\cassandra\streaming\LongStreamingTest.java,org.apache.cassandra.streaming.LongStreamingTest$Anonymous2,anonymous,1,1,0,1,3,1,0,5,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,1,0,0,0,0,0,1,0,1,1,0,0,0,17,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\dht\tokenallocator\OfflineTokenAllocator.java,org.apache.cassandra.dht.tokenallocator.OfflineTokenAllocator$FakeNode,innerclass,2,2,0,2,4,1,0,1,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,13,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\distributed\org\apache\cassandra\distributed\test\AbstractEncryptionOptionsImpl.java,org.apache.cassandra.distributed.test.AbstractEncryptionOptionsImpl$TlsConnection,innerclass,18,18,0,18,18,1,0,42,49,0.7936508,0.0,0.0,14,0,6,2,0,6,12,0,0,5,9,0,0,3,0,6,6,0,2,150,6,0,2,3,0,9,2,23,1,25,2,3,0,2,107,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\unit\org\apache\cassandra\db\CleanupTransientTest.java,org.apache.cassandra.db.CleanupTransientTest$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0,8,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\test\microbench\org\apache\cassandra\test\microbench\instance\ReadTest.java,org.apache.cassandra.test.microbench.instance.ReadTest,class,7,10,3,7,27,3,2,38,22,0.625,0.0,0.0,8,0,6,0,0,2,8,0,0,0,1,0,0,0,0,1,0,0,2,93,11,8,3,2,1,10,13,21,6,16,3,0,1,2,64,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\db\tries\InMemoryReadTrie.java,org.apache.cassandra.db.tries.InMemoryReadTrie$MemtableCursor,innerclass,6,6,0,6,40,2,0,32,80,0.75000006,0.0,0.0,17,0,6,10,0,1,7,0,0,0,4,0,0,4,0,0,0,0,0,142,24,3,4,0,7,1,33,41,22,28,2,0,0,0,149,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cassandra\src\java\org\apache\cassandra\tools\nodetool\stats\CompactionHistoryHolder.java,org.apache.cassandra.tools.nodetool.stats.CompactionHistoryHolder$CompactionHistoryRow,innerclass,1,1,0,1,3,1,0,6,0,0.29166666,0.0,0.0,3,0,1,1,0,1,2,0,0,0,8,0,0,8,0,0,8,0,4,37,2,0,0,0,0,8,0,11,1,11,0,0,0,0,41,10,0
