file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-client\src\main\java\com\dianping\cat\message\encoder\NativeMessageTreeEncoder.java,com.dianping.cat.message.encoder.NativeMessageTreeEncoder$Context,innerclass,4,4,0,4,13,1,0,7,26,0.8125,0.0,0.0,8,0,7,1,0,0,7,0,0,0,2,1,0,2,0,0,0,0,1,44,2,1,3,0,2,1,7,4,0,3,2,0,0,0,31,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\report\page\storage\config\StorageGroupConfigManager.java,com.dianping.cat.report.page.storage.config.StorageGroupConfigManager$Department,innerclass,1,1,0,1,5,1,0,2,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,21,3,0,1,0,0,0,0,4,0,3,1,0,0,0,14,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-core\src\test\java\com\dianping\cat\service\DefaultReportManagerTest.java,com.dianping.cat.service.DefaultReportManagerTest$MockStringBucket,innerclass,1,1,0,1,6,1,0,1,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,0,0,0,0,0,1,0,1,0,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\report\page\overload\Handler.java,com.dianping.cat.report.page.overload.Handler,class,12,12,0,12,5,1,0,11,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,26,0,0,0,1,0,2,0,3,0,5,2,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\system\page\router\Model.java,com.dianping.cat.system.page.router.Model,class,4,6,2,4,4,2,0,0,4,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,2,0,0,0,0,1,0,1,0,1,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-client\src\main\java\com\dianping\cat\component\DefaultComponentContext.java,com.dianping.cat.component.DefaultComponentContext$OverrideComponentFactory,innerclass,3,3,0,3,2,2,0,2,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\system\page\router\Handler.java,com.dianping.cat.system.page.router.Handler,class,21,23,2,21,22,1,0,40,19,0.8571429,0.0,0.0,7,0,2,5,0,0,2,0,0,0,6,0,0,6,0,0,0,0,4,88,5,1,7,0,0,10,2,22,1,24,4,0,0,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\report\page\problem\task\ProblemReportDailyGraphCreator.java,com.dianping.cat.report.page.problem.task.ProblemReportDailyGraphCreator,class,3,5,2,3,2,2,0,1,1,0.625,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,47,0,0,0,0,0,0,1,4,0,4,0,0,1,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\report\task\reload\impl\StorageReportReloader.java,com.dianping.cat.report.task.reload.impl.StorageReportReloader,class,12,13,1,12,9,2,0,26,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,52,3,5,1,0,0,0,2,16,0,16,3,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cat\cat-home\src\main\java\com\dianping\cat\report\page\storage\service\RemoteStorageService.java,com.dianping.cat.report.page.storage.service.RemoteStorageService,class,2,3,1,2,3,2,0,1,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
