file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,"WheelScroller/2[com.lljjcoder.style.citypickerview.widget.wheel.Context,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller.ScrollingListener]",true,85,4,1,1,0,1,1,7,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,setInterpolator/1[com.lljjcoder.style.citypickerview.widget.wheel.Interpolator],false,99,2,1,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,startScrolling/0,false,236,1,3,2,1,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,"scroll/2[int,int]",false,109,1,4,2,2,2,4,7,0,0,2,4,2,2,0,1,0,0,0,5,1,0,0,0,0,0,31,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,stopScrolling/0,false,123,0,2,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,finishScrolling/0,false,246,1,2,1,1,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,onTouchEvent/1[com.lljjcoder.style.citypickerview.widget.wheel.MotionEvent],false,132,3,5,1,4,6,8,21,1,1,1,8,3,3,0,2,0,1,0,1,3,1,2,0,0,0,18,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,setNextMessage/1[int],false,185,1,4,3,1,1,2,4,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,clearMessages/0,false,193,0,2,2,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citypickerview\widget\wheel\WheelScroller.java,com.lljjcoder.style.citypickerview.widget.wheel.WheelScroller,justify/0,false,228,2,4,2,2,1,2,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\citythreelist\ProvinceActivity.java,com.lljjcoder.style.citythreelist.ProvinceActivity$Anonymous1,"onItemSelected/2[com.lljjcoder.style.citythreelist.View,int]",false,51,5,4,0,4,1,7,7,0,1,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,getCode/0,false,10,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,setCode/1[java.lang.String],false,14,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,setAreaList/1[java.util.List<com.example.lib_citydata.bean.Area>],false,30,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,getAreaList/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,getName/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\lib_citydata\src\main\java\com\example\lib_citydata\bean\City.java,com.example.lib_citydata.bean.City,setName/1[java.lang.String],false,22,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,updateSelectedPosition/1[int],false,37,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,"getView/3[int,com.lljjcoder.style.cityjd.View,com.lljjcoder.style.cityjd.ViewGroup]",false,62,7,3,0,3,4,13,19,1,3,3,13,1,1,0,2,0,0,0,0,7,0,1,0,0,0,26,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,getCount/0,false,46,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,getItemId/1[int],false,57,1,1,0,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,getSelectedPosition/0,false,41,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\citypicker\citypickerview\src\main\java\com\lljjcoder\style\cityjd\ProvinceAdapter.java,com.lljjcoder.style.cityjd.ProvinceAdapter,"ProvinceAdapter/2[com.lljjcoder.style.cityjd.Context,java.util.List<com.lljjcoder.bean.ProvinceBean>]",true,32,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
