file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,"process/3[com.alibaba.cobar.route.hint.CobarHint,java.lang.String,java.lang.String]",false,47,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1025,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,"skipSpace/2[com.alibaba.cobar.route.hint.CobarHint,java.lang.String]",false,53,1,4,2,2,6,3,16,0,1,2,3,0,0,1,0,0,0,0,0,1,0,2,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,"parsePrimary/2[com.alibaba.cobar.route.hint.CobarHint,java.lang.String]",false,84,2,7,3,4,9,10,34,3,4,2,10,2,2,2,0,0,0,2,1,6,3,3,0,0,0,25,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,"currentChar/2[com.alibaba.cobar.route.hint.CobarHint,java.lang.String]",false,70,2,8,6,2,1,3,4,1,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,"nextChar/2[com.alibaba.cobar.route.hint.CobarHint,java.lang.String]",false,78,2,7,4,3,1,4,5,1,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\route\com\alibaba\cobar\route\hint\HintParser.java,com.alibaba.cobar.route.hint.HintParser,isDigit/1[char],false,29,0,2,2,0,11,0,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,12,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\expression\primary\literal\LiteralNull.java,com.alibaba.cobar.parser.ast.expression.primary.literal.LiteralNull,"evaluationInternal/1[java.util.Map<? extends java.lang.Object,? extends java.lang.Object>]",false,30,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\expression\primary\literal\LiteralNull.java,com.alibaba.cobar.parser.ast.expression.primary.literal.LiteralNull,accept/1[com.alibaba.cobar.parser.visitor.SQLASTVisitor],false,35,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\stmt\ddl\DDLDropTableStatement.java,com.alibaba.cobar.parser.ast.stmt.ddl.DDLDropTableStatement,accept/1[com.alibaba.cobar.parser.visitor.SQLASTVisitor],false,74,1,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\stmt\ddl\DDLDropTableStatement.java,com.alibaba.cobar.parser.ast.stmt.ddl.DDLDropTableStatement,getMode/0,false,69,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\stmt\ddl\DDLDropTableStatement.java,com.alibaba.cobar.parser.ast.stmt.ddl.DDLDropTableStatement,isIfExists/0,false,65,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\stmt\ddl\DDLDropTableStatement.java,com.alibaba.cobar.parser.ast.stmt.ddl.DDLDropTableStatement,getTableNames/0,false,57,1,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\cobar\server\src\main\parser\com\alibaba\cobar\parser\ast\stmt\ddl\DDLDropTableStatement.java,com.alibaba.cobar.parser.ast.stmt.ddl.DDLDropTableStatement,"DDLDropTableStatement/3[java.util.List<com.alibaba.cobar.parser.ast.expression.primary.Identifier>,boolean,boolean]",true,42,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
