file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\Tokens.java,com.typesafe.config.impl.Tokens$Comment$DoubleSlashComment,innerclass,2,2,0,2,2,3,0,0,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,8,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\PropertiesParser.java,com.typesafe.config.impl.PropertiesParser$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\ConfigResolveOptions.java,com.typesafe.config.ConfigResolveOptions$Anonymous1,anonymous,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\Tokens.java,com.typesafe.config.impl.Tokens$Line,innerclass,3,3,0,3,7,2,0,3,15,0.0,0.0,0.0,6,0,4,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,1,0,2,2,2,0,4,0,0,0,0,0,18,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\ConfigException.java,com.typesafe.config.ConfigException$BadBean,innerclass,1,1,0,1,2,6,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,24,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\test\java\beanconfig\UnsupportedListElementConfig.java,beanconfig.UnsupportedListElementConfig,class,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\SimpleConfigObject.java,com.typesafe.config.impl.SimpleConfigObject,class,22,33,11,22,121,1,0,88,242,0.8414634,0.0,0.0,41,5,16,6,8,11,35,0,3,0,6,3,0,6,0,0,6,0,31,454,56,14,32,2,9,22,11,69,11,53,5,1,2,0,173,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ResolveContext.java,com.typesafe.config.impl.ResolveContext,class,15,31,16,15,48,1,0,35,0,0.46666664,0.0,0.0,18,2,0,4,0,14,14,0,0,0,5,0,0,5,0,0,5,0,38,143,18,1,7,1,1,33,4,26,17,21,4,0,0,0,81,16,13
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ConfigNodeObject.java,com.typesafe.config.impl.ConfigNodeObject,class,13,18,5,13,91,4,0,33,45,0.0,0.0,0.0,10,0,4,2,3,1,8,0,0,0,0,0,0,0,0,0,0,0,18,225,16,6,12,0,27,5,37,53,23,42,5,0,0,0,55,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\PathParser.java,com.typesafe.config.impl.PathParser,class,14,20,6,14,51,1,0,48,76,0.84615386,0.0,0.0,13,13,0,5,5,3,8,0,0,0,1,1,0,0,0,1,0,0,31,176,23,4,14,2,2,12,17,31,11,27,4,0,1,0,89,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\ConfigUtil.java,com.typesafe.config.ConfigUtil,class,1,1,0,1,5,1,0,4,10,0.0,0.0,0.0,5,4,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,63,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ResolveSource.java,com.typesafe.config.impl.ResolveSource$ResultWithPath,innerclass,3,3,0,3,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,2,0,0,0,0,2,2,0,0,11,1,0,0,0,0,3,0,2,1,2,0,0,0,0,12,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\SimpleConfigList.java,com.typesafe.config.impl.SimpleConfigList,class,23,32,9,23,76,2,0,52,342,0.7878788,0.0,0.0,44,2,30,5,3,6,39,0,1,0,3,1,0,3,0,0,3,0,25,311,37,7,10,2,3,23,10,18,9,16,5,3,1,0,120,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ConfigString.java,com.typesafe.config.impl.ConfigString$Unquoted,innerclass,4,4,0,4,3,3,0,0,3,0.0,0.0,0.0,3,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\ConfigFactory.java,com.typesafe.config.ConfigFactory$Anonymous1,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ConfigBoolean.java,com.typesafe.config.impl.ConfigBoolean,class,5,10,5,5,7,2,0,0,3,0.6666667,0.0,0.0,6,0,2,1,1,2,5,0,0,0,2,1,0,2,0,0,2,0,0,23,5,0,0,0,0,2,1,2,0,2,0,0,0,0,28,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\test\java\beanconfig\BytesConfig.java,beanconfig.BytesConfig,class,1,1,0,1,6,1,0,0,9,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\Tokens.java,com.typesafe.config.impl.Tokens$IgnoredWhitespace,innerclass,3,3,0,3,6,2,0,4,0,0.16666667,0.0,0.0,6,0,4,0,1,1,6,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,0,0,2,2,2,1,4,1,0,0,0,0,27,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ConfigParser.java,com.typesafe.config.impl.ConfigParser,class,7,8,1,7,1,1,0,4,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,311,1,0,0,0,0,0,0,1,0,1,0,0,1,0,14,16,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\ConfigImpl.java,com.typesafe.config.impl.ConfigImpl$SystemPropertiesHolder,innerclass,2,2,0,2,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\config\config\src\main\java\com\typesafe\config\impl\MergeableValue.java,com.typesafe.config.impl.MergeableValue,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
