file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples2018\ThreadingNoThreading\app\src\main\java\course\examples\threading\nothreading\NoThreadingExample.java,NoThreadingExample,class,4,4,0,4,4,1,0,10,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,1,0,3,1,1,0,1,1,0,0,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\ThreadingHandlerMessages\src\course\examples\threading\threadinghandlermessages\HandlerMessagesActivity.java,course.examples.threading.threadinghandlermessages.HandlerMessagesActivity$LoadIconTask,innerclass,4,4,0,4,5,1,0,7,1,0.33333334,0.0,0.0,3,0,1,1,0,1,2,0,0,0,2,0,0,2,0,0,2,0,1,30,0,1,0,1,0,0,3,8,1,5,1,0,0,0,22,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples2018\ThreadingHandlerMessages\app\src\main\java\course\examples\threading\threadinghandlermessages\HandlerMessagesActivity.java,HandlerMessagesActivity,class,10,10,0,10,8,1,0,22,0,0.6666667,0.0,0.0,5,0,4,0,1,0,5,0,0,0,9,6,0,6,0,3,6,0,0,45,1,0,3,0,2,6,3,11,0,10,2,0,0,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\UITabLayout\src\course\examples\ui\tablayout\GridFragment.java,course.examples.ui.tablayout.GridFragment,class,8,9,1,8,3,2,0,9,0,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,1,0,2,1,0,1,0,0,26,1,0,0,0,0,1,0,4,0,4,0,1,0,0,37,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\FragmentStaticLayout\src\course\examples\fragments\staticlayout\TitlesFragment.java,course.examples.fragments.staticlayout.TitlesFragment,class,9,9,0,9,13,2,0,21,0,0.5416666,0.0,0.0,12,0,12,0,0,0,12,0,0,0,2,1,0,2,0,0,1,0,0,61,1,0,0,1,0,11,0,3,10,2,1,0,1,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\ContentProviderExample\src\course\examples\contentproviders\contactslist\ContactsListExample.java,course.examples.contentproviders.contactslist.ContactsListExample,class,5,5,0,5,3,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,4,0,4,2,0,0,0,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\UITimePickerFragment\src\course\examples\ui\datepicker\TimePickerFragmentActivity.java,course.examples.ui.datepicker.TimePickerFragmentActivity,class,9,10,1,9,5,3,0,9,2,0.5625,0.0,0.0,4,1,2,2,0,0,2,0,0,0,4,0,0,4,0,0,0,0,4,42,2,0,0,0,0,2,1,4,1,4,1,1,1,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\SensorCompass\src\course\examples\compass\CompassActivity.java,course.examples.compass.CompassActivity,class,10,10,0,10,12,3,0,18,2,0.7111112,0.0,0.0,5,0,2,0,3,0,5,0,0,0,9,0,0,9,0,0,0,0,3,82,0,0,6,0,0,2,11,17,0,13,2,0,1,0,58,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples2018\ThreadingAsyncTask\app\src\main\java\course\examples\threading\threadingasynctask\AsyncTaskFragment.java,course.examples.threading.threadingasynctask.AsyncTaskFragment$OnFragmentInteractionListener,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\coursera-android\Examples\LoggingServiceWithMessengerClient\src\course\examples\services\loggingservicewithmessengerclient\LoggingServiceClient.java,course.examples.services.loggingservicewithmessengerclient.LoggingServiceClient,class,8,9,1,8,6,2,0,14,4,0.71428573,0.0,0.0,4,0,1,1,2,0,3,0,0,0,7,4,0,7,0,0,4,0,0,52,0,0,0,1,0,4,1,8,0,10,1,2,0,0,53,1,0
