file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\util\Util.java,edu.uci.ics.crawler4j.util.Util,class,1,6,5,1,16,1,0,2,28,0.0,0.0,0.0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,7,5,3,0,15,10,31,23,14,17,1,0,0,0,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\fetcher\IdleConnectionMonitorThread.java,edu.uci.ics.crawler4j.fetcher.IdleConnectionMonitorThread,class,1,2,1,1,5,2,0,4,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,1,0,0,27,0,1,0,1,0,1,2,2,0,2,3,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\crawler\WebCrawler.java,edu.uci.ics.crawler4j.crawler.WebCrawler,class,17,27,10,17,76,1,7,90,241,0.882716,0.0,0.0,27,0,12,2,13,0,25,0,0,2,12,1,0,9,3,0,1,0,1,282,16,3,18,3,9,35,11,33,4,28,8,0,0,0,322,1,20
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j-examples\crawler4j-examples-base\src\test\java\edu\uci\ics\crawler4j\examples\localdata\CrawlStat.java,edu.uci.ics.crawler4j.examples.localdata.CrawlStat,class,0,2,2,0,9,1,0,0,18,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,32,3,0,0,0,0,0,0,5,0,3,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j-examples\crawler4j-examples-base\src\test\java\edu\uci\ics\crawler4j\examples\multiple\BasicCrawler.java,edu.uci.ics.crawler4j.examples.multiple.BasicCrawler,class,7,9,2,7,7,2,0,19,1,0.5555556,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,2,0,3,0,0,3,0,1,38,3,1,0,0,0,11,0,11,1,11,2,0,0,0,61,1,7
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j-examples\crawler4j-examples-base\src\test\java\edu\uci\ics\crawler4j\examples\basic\BasicCrawler.java,edu.uci.ics.crawler4j.examples.basic.BasicCrawler,class,6,7,1,6,7,2,0,25,1,0.5,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,48,2,1,1,0,0,15,0,15,0,15,2,0,0,0,105,1,13
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\parser\CssParseData.java,edu.uci.ics.crawler4j.parser.CssParseData,class,4,6,2,4,25,2,0,28,36,0.8888889,NaN,NaN,9,7,1,8,0,0,1,0,0,0,1,1,0,1,0,0,1,0,9,97,13,3,4,0,0,23,12,34,13,30,3,0,0,0,56,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\robotstxt\UserAgentDirectives.java,edu.uci.ics.crawler4j.robotstxt.UserAgentDirectives,class,4,8,4,4,22,1,0,16,18,0.7592592,0.0,0.0,9,0,9,0,0,0,9,0,0,0,6,1,2,4,0,0,1,0,2,126,9,2,2,1,0,9,2,13,0,8,2,0,2,0,114,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\util\Net.java,edu.uci.ics.crawler4j.util.Net,class,7,9,2,7,5,1,0,11,1,0.5555556,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,0,0,3,0,0,0,0,2,33,5,0,1,0,0,0,0,6,0,7,1,0,0,1,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\crawler4j\crawler4j\src\main\java\edu\uci\ics\crawler4j\crawler\Page.java,edu.uci.ics.crawler4j.crawler.Page,class,8,25,17,8,36,1,0,18,281,0.9112425,0.0,0.0,26,0,25,0,1,0,26,0,0,0,13,0,0,1,12,0,1,0,2,138,14,1,5,2,2,2,8,35,2,22,3,0,0,0,132,1,1
