file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\entity\JobGroup.java,com.wugui.datax.admin.entity.JobGroup,class,1,9,8,1,15,1,0,4,62,0.8461538,0.0,0.0,13,0,13,0,0,0,13,0,0,0,7,0,0,7,0,0,0,0,1,51,7,0,1,0,0,7,1,7,0,7,1,0,0,0,24,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\core\route\strategy\ExecutorRouteFailover.java,com.wugui.datax.admin.core.route.strategy.ExecutorRouteFailover,class,6,7,1,6,5,2,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,23,2,1,1,1,1,8,1,5,2,3,2,0,0,0,24,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\tool\meta\Hbase20xsqlMeta.java,com.wugui.datax.admin.tool.meta.Hbase20xsqlMeta,class,3,5,2,3,4,2,0,0,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,16,2,0,2,0,0,0,0,1,0,1,3,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\controller\JobGroupController.java,com.wugui.datax.admin.controller.JobGroupController,class,18,19,1,18,45,1,0,31,0,0.61904764,0.0,0.0,7,0,6,1,0,0,6,0,0,0,3,0,2,1,0,0,0,0,15,108,19,4,23,0,7,40,37,18,6,17,4,0,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-executor\src\main\java\com\wugui\datax\executor\core\config\DataXConfig.java,com.wugui.datax.executor.core.config.DataXConfig,class,8,9,1,8,2,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,1,0,9,0,0,1,0,1,27,1,0,0,0,0,9,0,5,1,11,1,0,0,0,41,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-core\src\main\java\com\wugui\datatx\core\biz\model\HandleProcessCallbackParam.java,com.wugui.datatx.core.biz.model.HandleProcessCallbackParam,class,0,7,7,0,9,1,0,0,4,0.6666667,0.0,0.0,9,0,9,0,0,0,9,0,0,0,4,1,0,4,0,0,1,0,0,34,4,0,0,0,0,4,1,7,2,4,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\DataXAdminApplication.java,com.wugui.datax.admin.DataXAdminApplication,class,8,9,1,8,3,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,13,0,0,2,0,0,10,0,8,2,8,0,0,0,0,25,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-core\src\main\java\com\wugui\datatx\core\glue\GlueFactory.java,com.wugui.datatx.core.glue.GlueFactory,class,5,9,4,5,14,1,1,13,6,0.6,0.0,0.0,5,2,4,1,0,0,4,0,0,0,3,1,0,3,0,0,0,0,1,51,4,0,6,1,0,5,5,11,2,8,4,0,0,0,57,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\config\SecurityConfig.java,com.wugui.datax.admin.config.SecurityConfig,class,16,17,1,16,5,2,0,20,10,0.8,0.0,0.0,5,0,1,0,2,2,5,0,0,0,1,0,0,1,0,0,0,0,0,23,3,0,0,0,0,13,0,2,0,3,0,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\core\route\strategy\ExecutorRouteLast.java,com.wugui.datax.admin.core.route.strategy.ExecutorRouteLast,class,3,4,1,3,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-rpc\src\main\java\com\wugui\datax\rpc\util\ThreadPoolUtil.java,com.wugui.datax.rpc.util.ThreadPoolUtil,class,1,3,2,1,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,4,2,1,2,4,1,0,0,2,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\controller\JobApiController.java,com.wugui.datax.admin.controller.JobApiController,class,12,12,0,12,26,1,0,14,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,16,63,12,0,10,4,0,13,6,8,0,5,1,0,0,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\tool\database\DasColumn.java,com.wugui.datax.admin.tool.database.DasColumn,class,3,4,1,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\mapper\JobDatasourceMapper.java,com.wugui.datax.admin.mapper.JobDatasourceMapper,interface,3,5,2,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\mapper\JobUserMapper.java,com.wugui.datax.admin.mapper.JobUserMapper,interface,4,6,2,4,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-rpc\src\main\java\com\wugui\datax\rpc\remoting\net\impl\netty\client\NettyConnectClient.java,com.wugui.datax.rpc.remoting.net.impl.netty.client.NettyConnectClient$Anonymous1,anonymous,7,7,0,7,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\util\DateFormatUtils.java,com.wugui.datax.admin.util.DateFormatUtils,class,0,1,1,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,1,0,4,4,4,0,0,0,4,0,0,14,1,0,0,0,0,4,0,5,0,5,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-core\src\main\java\com\wugui\datatx\core\thread\JobThread.java,com.wugui.datatx.core.thread.JobThread,class,12,16,4,12,28,2,0,42,0,0.6111111,0.0,0.0,6,0,6,0,0,0,6,0,0,0,9,1,0,9,0,0,0,0,14,133,4,2,9,4,1,14,12,31,7,20,5,0,0,1,71,1,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-rpc\src\main\java\com\wugui\datax\rpc\remoting\invoker\call\XxlRpcInvokeCallback.java,com.wugui.datax.rpc.remoting.invoker.call.XxlRpcInvokeCallback,class,2,6,4,2,5,1,0,3,0,0.2,0.0,0.0,5,3,5,0,0,0,5,2,0,0,1,1,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,2,0,2,0,0,0,0,21,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\tool\datax\writer\BaseWriterPlugin.java,com.wugui.datax.admin.tool.datax.writer.BaseWriterPlugin,class,8,17,9,8,6,2,8,18,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,38,5,0,0,0,0,11,0,9,0,8,1,0,0,0,32,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-rpc\src\main\java\com\wugui\datax\rpc\remoting\net\impl\netty\server\NettyServer.java,com.wugui.datax.rpc.remoting.net.impl.netty.server.NettyServer$Anonymous1,anonymous,10,10,0,10,5,1,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,3,0,3,0,5,0,5,2,1,0,0,29,-1,5
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\tool\pojo\DataxRdbmsPojo.java,com.wugui.datax.admin.tool.pojo.DataxRdbmsPojo,class,2,6,4,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-rpc\src\main\java\com\wugui\datax\rpc\remoting\net\impl\netty\codec\NettyEncoder.java,com.wugui.datax.rpc.remoting.net.impl.netty.codec.NettyEncoder,class,5,7,2,5,3,2,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,3,0,3,1,0,0,0,19,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-core\src\main\java\com\wugui\datatx\core\glue\GlueTypeEnum.java,com.wugui.datatx.core.glue.GlueTypeEnum,enum,1,8,7,1,8,1,0,3,7,0.6666667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,0,0,4,0,0,0,0,1,31,6,1,0,0,0,17,0,4,0,4,2,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\controller\JobDatasourceController.java,com.wugui.datax.admin.controller.JobDatasourceController,class,22,22,0,22,11,3,0,19,0,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,1,34,7,0,2,0,0,36,0,3,0,4,1,0,0,0,34,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\core\util\JacksonUtil.java,com.wugui.datax.admin.core.util.JacksonUtil,class,5,9,4,5,13,1,0,9,0,0.5,0.0,0.0,4,4,4,0,0,0,4,0,0,0,2,2,0,2,0,0,1,0,4,53,7,0,0,3,0,0,0,3,0,3,1,0,0,0,44,1,9
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\util\ServletUtils.java,com.wugui.datax.admin.util.ServletUtils,class,6,8,2,6,61,1,0,61,190,0.975,0.0,0.0,20,20,20,0,0,0,20,0,0,0,4,4,2,2,0,0,2,0,10,217,31,4,18,3,4,37,12,43,5,35,4,0,0,0,124,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\core\route\strategy\ExecutorRouteConsistentHash.java,com.wugui.datax.admin.core.route.strategy.ExecutorRouteConsistentHash,class,5,7,2,5,8,2,0,16,3,0.6666667,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,1,0,1,0,0,0,0,4,44,4,2,0,2,7,6,14,13,5,12,2,0,0,0,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\datax-web\datax-admin\src\main\java\com\wugui\datax\admin\tool\datax\writer\MysqlWriter.java,com.wugui.datax.admin.tool.datax.writer.MysqlWriter,class,2,3,1,2,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
