file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\redis\redis-in-action\src\main\java\io\github\dunwu\db\redis\Chapter08.java,io.github.dunwu.db.redis.Chapter08,class,6,7,1,6,98,2,0,80,250,0.875,0.0,0.0,24,1,24,0,0,0,24,0,0,0,3,3,0,3,0,0,0,0,38,423,24,14,44,5,2,152,132,78,58,64,3,0,1,0,115,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\redis\redis-in-action\src\main\java\io\github\dunwu\db\redis\Chapter09.java,io.github.dunwu.db.redis.Chapter09,class,9,10,1,9,73,2,0,95,239,0.9068324,0.0,0.0,23,1,21,2,0,0,23,0,0,0,7,6,0,7,0,0,5,0,32,345,16,19,15,2,10,72,97,97,44,80,4,0,1,1,137,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-h2\src\test\java\io\github\dunwu\javadb\h2\H2JdbcTest.java,io.github.dunwu.javadb.h2.H2JdbcTest,class,3,3,0,3,6,1,0,13,0,0.625,0.0,0.0,3,2,3,0,0,0,3,0,0,0,8,8,0,8,0,0,6,0,7,44,0,1,0,2,0,27,0,11,6,9,1,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-elasticsearch\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\entities\Operation.java,io.github.dunwu.javadb.elasticsearch.springboot.entities.Operation,class,8,8,0,8,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,5,0,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-elasticsearch\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\entities\Car.java,io.github.dunwu.javadb.elasticsearch.springboot.entities.Car,class,2,5,3,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-hbase\src\main\java\io\github\dunwu\javadb\hbase\HBaseConstant.java,io.github.dunwu.javadb.hbase.HBaseConstant,enum,0,1,1,0,2,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,8,1,0,0,0,0,10,0,1,0,1,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-elasticsearch\src\main\java\io\github\dunwu\javadb\elasticsearch\springboot\repositories\ProductRepository.java,io.github.dunwu.javadb.elasticsearch.springboot.repositories.ProductRepository,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-mysql\src\test\java\io\github\dunwu\javadb\mysql\springboot\MysqlDemoTest.java,io.github.dunwu.javadb.mysql.springboot.MysqlDemoTest,class,5,6,1,5,8,1,0,11,0,0.5833333,0.0,0.0,3,2,3,0,0,0,3,0,0,0,8,8,0,8,0,0,5,0,2,47,0,1,1,3,0,13,0,16,0,16,2,0,0,0,51,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\redis\redis-in-action\src\main\java\io\github\dunwu\db\redis\Chapter01.java,io.github.dunwu.db.redis.Chapter01,class,3,4,1,3,23,1,0,42,43,0.8333333,0.0,0.0,10,1,9,1,0,0,9,0,0,0,3,3,0,3,0,0,3,0,5,109,6,6,1,0,2,45,18,24,26,23,3,0,0,0,73,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\db-tutorial\codes\javadb\javadb-elasticsearch\src\test\java\io\github\dunwu\javadb\elasticsearch\springboot\RestHighLevelClientDocumentSearchApiTest.java,io.github.dunwu.javadb.elasticsearch.springboot.RestHighLevelClientDocumentSearchApiTest,class,15,15,0,15,5,1,0,17,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,1,1,1,0,0,1,0,0,46,0,2,0,0,0,11,5,18,2,19,1,0,0,0,47,1,0
