file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\treegen\JarPackageTreeTask.java,com.getkeepsafe.dexcount.treegen.JarPackageTreeTask,class,8,10,2,8,4,3,0,4,6,0.0,0.0,0.0,4,0,1,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\android\dexdeps\DexDataException.java,com.android.dexdeps.DexDataException,class,0,1,1,0,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\treegen\ApkPackageTreeTask.java,com.getkeepsafe.dexcount.treegen.ApkPackageTreeTask,class,12,14,2,12,4,4,0,11,3,0.0,0.0,0.0,3,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,1,0,0,1,1,5,1,5,1,0,0,0,30,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\PrintOptions.java,com.getkeepsafe.dexcount.PrintOptions$Builder,innerclass,5,5,0,5,16,1,0,0,120,0.0,0.0,0.0,16,0,16,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1033,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\treegen\workers\ApkishWorker.java,com.getkeepsafe.dexcount.treegen.workers.ApkishWorker,class,8,12,4,8,4,3,0,14,6,0.75,0.0,0.0,4,0,0,1,3,0,3,0,0,0,1,1,0,1,0,0,1,0,1,31,4,0,0,1,0,0,0,4,0,5,2,0,1,1,24,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\treegen\workers\BaseWorker.java,com.getkeepsafe.dexcount.treegen.workers.BaseWorker$Params,interface,5,5,0,5,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\DexMethodCountPlugin.java,com.getkeepsafe.dexcount.DexMethodCountPlugin,class,11,13,2,11,9,1,0,26,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,4,0,4,0,0,4,0,4,50,4,1,1,1,0,9,5,15,0,14,2,0,0,0,66,1,4
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\CountReporter.java,com.getkeepsafe.dexcount.CountReporter,class,5,7,2,5,19,1,0,31,0,0.5306123,0.0,0.0,7,0,2,5,0,0,2,0,0,0,7,1,0,7,0,0,7,0,8,97,1,0,2,1,2,34,7,27,13,23,2,0,0,0,115,1,16
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\source\DexFile.java,com.getkeepsafe.dexcount.source.DexFile,class,6,8,2,6,8,1,0,9,3,0.5833334,0.0,0.0,6,2,3,0,0,3,6,0,0,0,4,0,0,4,0,0,4,0,3,36,4,0,0,1,0,2,0,4,0,4,1,0,0,0,26,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\integrationTest\projects\integration\app\src\main\java\com\getkeepsafe\dexcount\integration\MainActivity.java,com.getkeepsafe.dexcount.integration.MainActivity,class,2,2,0,2,2,2,0,2,1,0.0,0.0,0.0,2,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\DexCountExtension.java,com.getkeepsafe.dexcount.DexCountExtension,class,7,17,10,7,17,1,0,4,90,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,15,0,0,15,0,0,15,0,0,79,15,0,1,0,0,6,1,15,0,15,0,0,0,1,164,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\integrationTest\projects\integration\java-app\src\main\java\com\getkeepsafe\dexcount\integration\SomeClass.java,com.getkeepsafe.dexcount.integration.SomeClass,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\treegen\workers\JarWorker.java,com.getkeepsafe.dexcount.treegen.workers.JarWorker$Params,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\plugin\JavaOnlyApplicator.java,com.getkeepsafe.dexcount.plugin.JavaOnlyApplicator,class,6,7,1,6,3,2,0,6,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,27,0,0,0,0,0,1,0,2,0,3,2,0,1,2,23,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\StringUtils.java,com.getkeepsafe.dexcount.StringUtils,class,0,2,2,0,7,1,0,10,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,23,4,0,2,0,0,1,5,3,0,3,1,0,0,0,14,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\android\dexdeps\DexData.java,com.android.dexdeps.DexData$ProtoIdItem,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\integrationTest\projects\integration\lib\src\main\java\com\getkeepsafe\dexcount\integration\Lib.java,com.getkeepsafe.dexcount.integration.Lib,class,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\source\SourceFiles.java,com.getkeepsafe.dexcount.source.SourceFiles$Anonymous1,anonymous,1,1,0,1,3,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,2,0,0,1,0,3,0,2,0,2,1,0,0,0,28,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\Deobfuscator.java,com.getkeepsafe.dexcount.Deobfuscator,class,1,4,3,1,7,1,0,9,0,0.44444445,0.0,0.0,3,1,3,0,0,0,3,0,0,0,3,2,1,2,0,0,3,0,2,31,4,1,1,0,0,1,2,8,0,8,2,0,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\android\dexdeps\MethodRef.java,com.android.dexdeps.MethodRef,class,2,11,9,2,11,1,0,7,0,0.5,0.0,0.0,9,1,8,1,0,0,8,0,0,0,2,0,0,2,0,0,0,0,3,45,9,1,0,0,1,2,1,7,0,7,1,0,0,0,52,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dexcount-gradle-plugin\src\main\java\com\getkeepsafe\dexcount\report\ReportOutputWorker.java,com.getkeepsafe.dexcount.report.ReportOutputWorker,class,7,9,2,7,6,1,0,17,1,0.33333334,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,32,3,0,2,2,0,3,0,11,0,11,1,0,0,0,47,1025,3
