file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous1,onAnimationStart/1[com.orhanobut.dialogplus.Animation],false,160,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous1,onAnimationRepeat/1[com.orhanobut.dialogplus.Animation],false,176,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous1,onAnimationEnd/1[com.orhanobut.dialogplus.Animation],false,164,1,1,0,1,1,1,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\OnBackPressListener.java,com.orhanobut.dialogplus.OnBackPressListener,onBackPressed/1[com.orhanobut.dialogplus.DialogPlus],false,10,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous3,"onItemClick/3[java.lang.Object,com.orhanobut.dialogplus.View,int]",false,289,3,1,0,1,2,1,6,1,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous5,"onKey/3[com.orhanobut.dialogplus.View,int,com.orhanobut.dialogplus.KeyEvent]",false,352,4,2,0,2,5,3,18,2,0,3,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,"addHeader/2[com.orhanobut.dialogplus.View,boolean]",false,18,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,addFooter/1[com.orhanobut.dialogplus.View],false,26,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,setBackgroundResource/1[int],false,39,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,"getView/2[com.orhanobut.dialogplus.LayoutInflater,com.orhanobut.dialogplus.ViewGroup]",false,44,4,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,getHeader/0,false,50,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,getInflatedView/0,false,48,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,"addFooter/2[com.orhanobut.dialogplus.View,boolean]",false,31,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,addHeader/1[com.orhanobut.dialogplus.View],false,13,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,setOnKeyListener/1[View.OnKeyListener],false,46,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\Holder.java,com.orhanobut.dialogplus.Holder,getFooter/0,false,52,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous4,onClick/1[com.orhanobut.dialogplus.View],false,332,2,1,0,1,2,1,6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\DialogPlus.java,com.orhanobut.dialogplus.DialogPlus$Anonymous6,"onTouch/2[com.orhanobut.dialogplus.View,com.orhanobut.dialogplus.MotionEvent]",false,387,4,2,0,2,3,3,9,1,0,2,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,addFooter/1[com.orhanobut.dialogplus.View],false,44,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,"getView/2[com.orhanobut.dialogplus.LayoutInflater,com.orhanobut.dialogplus.ViewGroup]",false,58,5,1,0,1,1,5,19,1,3,2,5,1,1,0,0,0,0,0,0,5,0,0,1,0,0,30,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,"addContent/3[com.orhanobut.dialogplus.LayoutInflater,com.orhanobut.dialogplus.ViewGroup,com.orhanobut.dialogplus.ViewGroup]",false,77,2,1,1,0,3,4,12,0,1,3,4,0,0,0,2,0,0,0,0,2,0,2,0,0,0,19,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,getInflatedView/0,false,95,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,ViewHolder/1[com.orhanobut.dialogplus.View],true,31,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,"addHeader/2[com.orhanobut.dialogplus.View,boolean]",false,39,2,1,1,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\dialogplus\dialogplus\src\main\java\com\orhanobut\dialogplus\ViewHolder.java,com.orhanobut.dialogplus.ViewHolder,addHeader/1[com.orhanobut.dialogplus.View],false,35,3,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
