file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\EarlyReleaseHandler.java,com.lmax.disruptor.examples.EarlyReleaseHandler,isLogicalChunkOfWorkComplete/0,false,35,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\EarlyReleaseHandler.java,com.lmax.disruptor.examples.EarlyReleaseHandler,processEvent/1[com.lmax.disruptor.examples.support.LongEvent],false,45,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\EarlyReleaseHandler.java,com.lmax.disruptor.examples.EarlyReleaseHandler,setSequenceCallback/1[com.lmax.disruptor.Sequence],false,16,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\EarlyReleaseHandler.java,com.lmax.disruptor.examples.EarlyReleaseHandler,"onEvent/3[com.lmax.disruptor.examples.support.LongEvent,long,boolean]",false,22,3,3,0,3,4,3,8,0,1,3,3,2,1,0,0,0,0,0,1,2,0,1,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\jcstress\java\com\lmax\disruptor\MultiProducerSequencerVarHandleStress.java,com.lmax.disruptor.MultiProducerSequencerVarHandleStress$PublishUpdatesIsAvailableLazily,actor2/1[com.lmax.disruptor.ZZ_Result],false,37,3,1,0,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\jcstress\java\com\lmax\disruptor\MultiProducerSequencerVarHandleStress.java,com.lmax.disruptor.MultiProducerSequencerVarHandleStress$PublishUpdatesIsAvailableLazily,actor1/0,false,30,2,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\DynamicallyAddHandler.java,com.lmax.disruptor.examples.DynamicallyAddHandler,main/1[java.lang.String[]],false,44,5,10,0,10,1,9,15,0,7,1,9,0,0,0,0,0,0,0,1,7,0,0,0,0,0,16,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\main\java\com\lmax\disruptor\NanosecondPauseBatchRewindStrategy.java,com.lmax.disruptor.NanosecondPauseBatchRewindStrategy,NanosecondPauseBatchRewindStrategy/1[long],true,18,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\main\java\com\lmax\disruptor\NanosecondPauseBatchRewindStrategy.java,com.lmax.disruptor.NanosecondPauseBatchRewindStrategy,"handleRewindException/2[com.lmax.disruptor.RewindableException,int]",false,24,2,0,0,0,1,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\examples\java\com\lmax\disruptor\examples\PullWithBatchedPoller.java,com.lmax.disruptor.examples.PullWithBatchedPoller,main/1[java.lang.String[]],false,14,3,4,0,4,2,3,8,0,4,1,3,0,0,0,1,0,0,0,2,4,0,1,0,0,0,11,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\test\java\com\lmax\disruptor\BatchEventProcessorTest.java,com.lmax.disruptor.BatchEventProcessorTest$ExceptionEventHandler,"onEvent/3[com.lmax.disruptor.support.StubEvent,long,boolean]",false,148,1,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\disruptor\src\test\java\com\lmax\disruptor\alternatives\SequenceVarHandle.java,com.lmax.disruptor.alternatives.SequenceVarHandle,(initializer 1),false,50,1,26,0,26,2,3,8,0,0,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,12,8,0,false
