file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\medicao-lab2\repos\dubbo\dubbo-registry\dubbo-registry-api\src\main\java\org\apache\dubbo\registry\integration\InterfaceCompatibleRegistryProtocol.java,org.apache.dubbo.registry.integration.InterfaceCompatibleRegistryProtocol,class,11,11,0,11,6,2,0,11,10,0.0,0.0,0.0,5,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,5,0,0,0,0,0,0,6,0,4,1,0,0,0,30,1,0
C:\medicao-lab2\repos\dubbo\dubbo-demo\dubbo-demo-native\dubbo-demo-native-provider\src\main\java\org\apache\dubbo\demo\graalvm\provider\Application.java,org.apache.dubbo.demo.graalvm.provider.Application,class,9,10,1,9,6,1,0,27,6,0.0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0,0,20,6,9,0,9,1,0,0,0,32,1,0
C:\medicao-lab2\repos\dubbo\dubbo-plugin\dubbo-reactive\src\main\java\org\apache\dubbo\reactive\handler\OneToOneMethodHandler.java,org.apache.dubbo.reactive.handler.OneToOneMethodHandler,class,7,8,1,7,2,1,0,1,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,13,1,0,0,0,0,1,1,4,0,4,0,0,0,0,17,1,0
C:\medicao-lab2\repos\dubbo\dubbo-rpc\dubbo-rpc-dubbo\src\main\java\org\apache\dubbo\rpc\protocol\dubbo\Constants.java,org.apache.dubbo.rpc.protocol.dubbo.Constants,interface,0,1,1,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,15,0,0,0,0,0,11,0,13,0,13,0,0,0,0,65,1,0
C:\medicao-lab2\repos\dubbo\dubbo-rpc\dubbo-rpc-api\src\main\java\org\apache\dubbo\rpc\filter\ActiveLimitFilter.java,org.apache.dubbo.rpc.filter.ActiveLimitFilter,class,11,13,2,11,13,1,0,18,8,0.6,0.0,0.0,5,0,3,2,0,0,3,0,0,0,1,1,0,1,0,0,1,0,4,61,3,1,1,1,0,7,7,18,4,17,4,0,0,0,98,1,0
C:\medicao-lab2\repos\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl2,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,9,0
C:\medicao-lab2\repos\dubbo\dubbo-spring-boot\dubbo-spring-boot-observability-starter\src\main\java\org\apache\dubbo\spring\boot\observability\config\DubboTracingProperties.java,org.apache.dubbo.spring.boot.observability.config.DubboTracingProperties$Sampling,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0,1,2,0,1,0,0,0,0,15,9,0
C:\medicao-lab2\repos\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl1,innerclass,1,1,0,1,6,1,0,1,7,0.5833334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,0,22,3,0,0,0,0,2,1,4,1,2,0,0,0,0,13,9,0
C:\medicao-lab2\repos\dubbo\dubbo-common\src\test\java\org\apache\dubbo\common\bytecode\WrapperTest.java,org.apache.dubbo.common.bytecode.WrapperTest$Impl0,innerclass,0,0,0,0,2,1,0,0,1,1.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,4,1,4,0,0,0,1,0,0,10,0,0,0,0,0,0,1,2,0,6,0,0,0,0,8,9,0
C:\medicao-lab2\repos\dubbo\dubbo-common\src\main\java\org\apache\dubbo\config\context\ConfigMode.java,org.apache.dubbo.config.context.ConfigMode,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0
