file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\main\java\com\google\errorprone\bugpatterns\checkreturnvalue\CanIgnoreReturnValueSuggester.java,com.google.errorprone.bugpatterns.checkreturnvalue.CanIgnoreReturnValueSuggester$1ReturnValuesFromMethodAreIgnorable,innerclass,12,12,0,12,12,2,0,12,4,0.64,0.0,0.0,5,0,3,2,0,0,3,0,0,0,5,0,0,5,0,0,3,0,9,36,5,0,1,0,1,2,0,10,0,8,2,0,0,0,50,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\main\java\com\google\errorprone\bugpatterns\flogger\FloggerLogString.java,com.google.errorprone.bugpatterns.flogger.FloggerLogString,class,8,8,0,8,3,2,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,0,7,1,0,0,0,0,5,1,2,1,2,0,0,0,0,74,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\main\java\com\google\errorprone\bugpatterns\flogger\FloggerRequiredModifiers.java,com.google.errorprone.bugpatterns.flogger.FloggerRequiredModifiers$Goal,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\test\java\com\google\errorprone\bugpatterns\FieldCanBeStaticTest.java,com.google.errorprone.bugpatterns.FieldCanBeStaticTest,class,6,6,0,6,15,1,0,9,0,0.5,0.0,0.0,15,0,15,0,0,0,15,0,0,0,2,0,0,2,0,0,2,0,0,50,0,0,0,0,0,172,0,2,0,2,0,0,0,0,92,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\test\java\com\google\errorprone\bugpatterns\testdata\ComparisonContractViolatedNegativeCases.java,com.google.errorprone.bugpatterns.testdata.ComparisonContractViolatedNegativeCases$IntOrInfinity,innerclass,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1032,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\main\java\com\google\errorprone\bugpatterns\WithSignatureDiscouraged.java,com.google.errorprone.bugpatterns.WithSignatureDiscouraged,class,11,13,2,11,15,2,0,36,6,0.75,NaN,NaN,4,2,1,3,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,52,12,0,4,0,1,16,6,14,3,16,1,0,0,2,75,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\test\java\com\google\errorprone\refaster\UUnionTypeTest.java,com.google.errorprone.refaster.UUnionTypeTest,class,4,4,0,4,2,1,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\main\java\com\google\errorprone\bugpatterns\threadsafety\ImmutableAnnotationChecker.java,com.google.errorprone.bugpatterns.threadsafety.ImmutableAnnotationChecker,class,19,20,1,19,9,2,0,24,1,0.5555556,0.0,0.0,3,0,2,0,0,1,3,0,0,0,3,2,1,2,0,0,3,0,4,35,5,0,1,0,0,8,0,7,2,7,2,0,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\docgen\src\test\java\com\google\errorprone\BugPatternIndexWriterTest.java,com.google.errorprone.BugPatternIndexWriterTest,class,5,5,0,5,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,0,66,0,26,2,8,0,0,0,0,74,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\error-prone\core\src\test\java\com\google\errorprone\bugpatterns\testdata\SelfEqualsPositiveCase.java,com.google.errorprone.bugpatterns.testdata.SelfEqualsPositiveCase$SubClass,innerclass,2,2,0,2,3,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,1,0,0,1,0,1,1,0,0,0,13,10,0
