file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\util\ResultUtils.java,com.demo.util.ResultUtils,"fail/2[com.demo.util.ResultCode,java.lang.String]",false,13,2,2,0,2,1,1,5,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\util\ResultUtils.java,com.demo.util.ResultUtils,success/1[java.lang.Object],false,9,1,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\util\ResultUtils.java,com.demo.util.ResultUtils,success/0,false,5,1,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\util\ResultUtils.java,com.demo.util.ResultUtils,fail/1[com.demo.util.ResultCode],false,19,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,setId/1[String],false,14,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,getProductId/0,false,18,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,toString/0,false,35,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,getScore/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,setProductId/1[String],false,22,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\flink-recommandSystem-demo\web\src\main\java\com\demo\domain\RankProductEntity.java,RankProductEntity,getId/0,false,10,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
