file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\animations\AnimationEndListener.java,com.ramotion.foldingcell.animations.AnimationEndListener,onAnimationStart/1[com.ramotion.foldingcell.animations.Animation],false,11,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\animations\AnimationEndListener.java,com.ramotion.foldingcell.animations.AnimationEndListener,onAnimationRepeat/1[com.ramotion.foldingcell.animations.Animation],false,16,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell-listview-example\src\main\java\com\ramotion\foldingcell\examples\listview\MainActivity.java,com.ramotion.foldingcell.examples.listview.MainActivity$Anonymous3,"onItemClick/4[com.ramotion.foldingcell.examples.listview.AdapterView<?>,com.ramotion.foldingcell.examples.listview.View,int,long]",false,57,4,2,0,2,1,2,4,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,"initialize/4[int,int,int,int]",false,103,0,0,0,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,31,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,"startUnfoldAnimation/4[java.util.ArrayList<com.ramotion.foldingcell.views.FoldingCellView>,com.ramotion.foldingcell.ViewGroup,int,com.ramotion.foldingcell.animations.AnimationEndListener]",false,498,5,5,1,4,5,9,20,0,4,4,9,0,0,1,3,0,0,0,5,6,4,3,0,0,0,45,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,toggle/1[boolean],false,232,1,4,2,2,2,3,9,0,0,1,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,FoldingCell/1[com.ramotion.foldingcell.Context],true,50,1,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,createAndPrepareFoldingContainer/0,false,369,1,2,2,0,1,5,8,1,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,"startCollapseHeightAnimation/2[java.util.ArrayList<java.lang.Integer>,int]",false,410,4,4,1,3,4,9,13,0,4,2,9,1,1,1,1,0,0,1,3,5,1,1,0,0,0,39,4,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\folding-cell-android\folding-cell\src\main\java\com\ramotion\foldingcell\FoldingCell.java,com.ramotion.foldingcell.FoldingCell,"initialize/3[int,int,int]",false,90,0,0,0,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,1,0,true
