file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\InternalCacheDiskCacheFactory.java,com.bumptech.glide.load.engine.cache.InternalCacheDiskCacheFactory,InternalCacheDiskCacheFactory/1[com.bumptech.glide.load.engine.cache.Context],true,13,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\InternalCacheDiskCacheFactory.java,com.bumptech.glide.load.engine.cache.InternalCacheDiskCacheFactory,"InternalCacheDiskCacheFactory/2[com.bumptech.glide.load.engine.cache.Context,int]",true,17,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\InternalCacheDiskCacheFactory.java,com.bumptech.glide.load.engine.cache.InternalCacheDiskCacheFactory,"InternalCacheDiskCacheFactory/3[com.bumptech.glide.load.engine.cache.Context,java.lang.String,int]",true,21,2,1,0,1,1,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\model\file_descriptor\FileDescriptorResourceLoader.java,com.bumptech.glide.load.model.file_descriptor.FileDescriptorResourceLoader,FileDescriptorResourceLoader/1[com.bumptech.glide.load.model.file_descriptor.Context],true,36,3,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\model\file_descriptor\FileDescriptorResourceLoader.java,com.bumptech.glide.load.model.file_descriptor.FileDescriptorResourceLoader,"FileDescriptorResourceLoader/2[com.bumptech.glide.load.model.file_descriptor.Context,com.bumptech.glide.load.model.ModelLoader<com.bumptech.glide.load.model.file_descriptor.Uri,com.bumptech.glide.load.model.file_descriptor.ParcelFileDescriptor>]",true,40,4,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\model\stream\StreamFileLoader.java,com.bumptech.glide.load.model.stream.StreamFileLoader$Factory,"build/2[com.bumptech.glide.load.model.stream.Context,com.bumptech.glide.load.model.GenericLoaderFactory]",false,25,5,2,0,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\model\stream\StreamFileLoader.java,com.bumptech.glide.load.model.stream.StreamFileLoader$Factory,teardown/0,false,30,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"CropImageAnimation/2[com.theartofdev.edmodo.cropper.ImageView,com.theartofdev.edmodo.cropper.CropOverlayView]",true,53,3,1,1,0,1,4,8,0,0,2,4,0,0,0,0,0,0,0,1,2,0,0,0,0,0,16,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,onAnimationRepeat/1[com.theartofdev.edmodo.cropper.Animation],false,120,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setEndState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",false,70,3,2,1,1,1,4,5,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"setStartState/2[float[],com.theartofdev.edmodo.cropper.Matrix]",false,63,3,2,1,1,1,5,6,0,0,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,"applyTransformation/2[float,com.theartofdev.edmodo.cropper.Transformation]",false,77,3,2,0,2,3,8,19,0,3,2,8,0,0,2,0,0,6,0,2,9,18,1,0,0,0,10,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,onAnimationStart/1[com.theartofdev.edmodo.cropper.Animation],false,112,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\theartofdev\edmodo\cropper\CropImageAnimation.java,com.theartofdev.edmodo.cropper.CropImageAnimation,onAnimationEnd/1[com.theartofdev.edmodo.cropper.Animation],false,115,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\main\src\main\java\com\quxianggif\common\view\photoview\OnViewTapListener.java,com.quxianggif.common.view.photoview.OnViewTapListener,"onViewTap/3[com.quxianggif.common.view.photoview.View,float,float]",false,7,1,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,getInstance/0,false,23,1,2,1,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,7,41,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,getSafeKey/1[com.bumptech.glide.load.Key],false,30,3,7,3,4,4,7,23,1,2,1,7,0,0,0,1,1,0,1,0,3,0,2,0,0,0,20,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\engine\cache\SafeKeyGenerator.java,com.bumptech.glide.load.engine.cache.SafeKeyGenerator,SafeKeyGenerator/0,true,19,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\MultiTransformation.java,com.bumptech.glide.load.MultiTransformation,MultiTransformation/1[com.bumptech.glide.load.Transformation<T>[]],true,18,2,0,0,0,2,1,6,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\MultiTransformation.java,com.bumptech.glide.load.MultiTransformation,MultiTransformation/1[java.util.Collection<? extends com.bumptech.glide.load.Transformation<T>>],true,25,2,0,0,0,2,1,6,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\MultiTransformation.java,com.bumptech.glide.load.MultiTransformation,"transform/3[com.bumptech.glide.load.engine.Resource<T>,int,int]",false,33,3,2,0,2,5,3,11,1,2,3,3,0,0,1,1,0,0,0,0,3,0,2,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\MultiTransformation.java,com.bumptech.glide.load.MultiTransformation,getId/0,false,47,2,1,0,1,3,3,10,1,1,0,3,0,0,1,1,0,0,0,0,2,0,2,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,getResource/0,false,158,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"DelayTarget/3[com.bumptech.glide.load.resource.gif.Handler,int,long]",true,152,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\resource\gif\GifFrameLoader.java,com.bumptech.glide.load.resource.gif.GifFrameLoader$DelayTarget,"onResourceReady/2[com.bumptech.glide.load.resource.gif.Bitmap,com.bumptech.glide.request.animation.GlideAnimation<? super com.bumptech.glide.load.resource.gif.Bitmap>]",false,163,3,0,0,0,1,2,5,0,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\load\model\ModelLoader.java,com.bumptech.glide.load.model.ModelLoader,"getResourceFetcher/3[T,int,int]",false,29,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,isPaused/0,false,59,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,restartRequests/0,false,102,2,6,1,5,5,6,13,0,0,0,6,0,0,1,0,0,0,0,0,0,0,3,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,runRequest/1[com.bumptech.glide.request.Request],false,34,1,2,1,1,2,3,9,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,removeRequest/1[com.bumptech.glide.request.Request],false,51,1,1,1,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,clearRequests/0,false,92,2,3,1,2,2,3,6,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\giffun\core\src\main\java\com\bumptech\glide\manager\RequestTracker.java,com.bumptech.glide.manager.RequestTracker,resumeRequests/0,false,79,2,6,1,5,5,6,9,0,0,0,6,0,0,1,0,0,0,0,0,1,0,2,0,0,0,15,1,0,true
