file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\CropSquareTransformation.java,jp.wasabeef.glide.transformations.CropSquareTransformation,updateDiskCacheKey/1[java.security.MessageDigest],false,60,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\CropSquareTransformation.java,jp.wasabeef.glide.transformations.CropSquareTransformation,toString/0,false,45,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\CropSquareTransformation.java,jp.wasabeef.glide.transformations.CropSquareTransformation,hashCode/0,false,55,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\CropSquareTransformation.java,jp.wasabeef.glide.transformations.CropSquareTransformation,equals/1[java.lang.Object],false,50,1,0,0,0,2,0,3,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\CropSquareTransformation.java,jp.wasabeef.glide.transformations.CropSquareTransformation,"transform/5[jp.wasabeef.glide.transformations.Context,jp.wasabeef.glide.transformations.BitmapPool,jp.wasabeef.glide.transformations.Bitmap,int,int]",false,39,4,0,0,0,1,2,4,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\internal\FastBlur.java,jp.wasabeef.glide.transformations.internal.FastBlur,"blur/3[jp.wasabeef.glide.transformations.internal.Bitmap,int,boolean]",false,23,2,1,1,0,15,9,166,2,36,3,9,0,0,7,2,0,16,0,97,141,46,3,0,0,0,48,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\gpu\PixelationFilterTransformation.java,jp.wasabeef.glide.transformations.gpu.PixelationFilterTransformation,PixelationFilterTransformation/0,true,38,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\gpu\PixelationFilterTransformation.java,jp.wasabeef.glide.transformations.gpu.PixelationFilterTransformation,toString/0,false,50,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\gpu\PixelationFilterTransformation.java,jp.wasabeef.glide.transformations.gpu.PixelationFilterTransformation,PixelationFilterTransformation/1[float],true,42,2,1,0,1,1,2,6,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\glide-transformations\transformations\src\main\java\jp\wasabeef\glide\transformations\gpu\PixelationFilterTransformation.java,jp.wasabeef.glide.transformations.gpu.PixelationFilterTransformation,updateDiskCacheKey/1[java.security.MessageDigest],false,65,1,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,1,0,false
