file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\javadoc\Token.java,com.google.googlejavaformat.java.javadoc.Token$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\JavaCommentsHelper.java,com.google.googlejavaformat.java.JavaCommentsHelper,class,6,8,2,6,34,1,0,39,5,0.61904764,0.0,0.0,7,1,2,5,0,0,2,0,0,0,3,1,0,3,0,0,3,0,5,119,12,9,1,0,1,13,15,30,5,25,3,0,0,1,57,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\test\java\com\google\googlejavaformat\java\DiagnosticTest.java,com.google.googlejavaformat.java.DiagnosticTest,class,8,8,0,8,10,1,0,18,13,0.6,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,0,1,1,0,0,0,0,13,119,0,0,0,0,0,41,8,64,0,64,0,0,0,0,73,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\GoogleJavaFormatToolProvider.java,com.google.googlejavaformat.java.GoogleJavaFormatToolProvider,class,2,2,0,2,3,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,1,0,1,1,0,0,0,1,0,0,0,23,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\CloseOp.java,com.google.googlejavaformat.CloseOp,enum,3,6,3,3,3,1,0,3,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\filer\FormattingFiler.java,com.google.googlejavaformat.java.filer.FormattingFiler,class,3,4,1,3,6,1,0,5,0,0.5,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,24,4,0,0,0,0,0,0,3,0,3,0,0,0,0,49,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\TypeNameClassifier.java,com.google.googlejavaformat.java.TypeNameClassifier$TyParseState$Anonymous1,anonymous,2,2,0,2,5,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,1,0,0,0,10,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\java\CommandLineOptions.java,com.google.googlejavaformat.java.CommandLineOptions$Builder,innerclass,4,4,0,4,18,1,0,5,119,0.8888891,0.0,0.0,18,0,0,0,0,18,18,0,0,0,17,0,0,17,0,0,4,0,2,88,18,0,0,0,0,0,0,30,0,17,0,0,0,0,42,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\test\java\com\google\googlejavaformat\java\TypeNameClassifierTest.java,com.google.googlejavaformat.java.TypeNameClassifierTest,class,6,7,1,6,4,1,0,9,6,0.0,0.0,0.0,4,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,38,1,0,0,0,0,27,11,0,0,0,0,0,0,0,16,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\google-java-format\core\src\main\java\com\google\googlejavaformat\Doc.java,com.google.googlejavaformat.Doc$State,innerclass,1,1,0,1,5,1,0,3,0,0.2,0.0,0.0,5,0,2,0,0,3,5,0,0,0,4,0,0,0,0,4,4,0,0,24,3,0,0,0,0,4,0,4,0,4,0,0,0,0,13,25,0
